,lemma,form,tags,family,language
0,mobalik,nibalik,V;PST,2,1
1,mabuhi,mabuhi,V;FUT,2,1
2,mobati,ningbati,V;PROG;PRS,2,1
3,maminaw,nagpaminaw,V;PRS,2,1
4,mogunit,mogunit,V;FUT,2,1
5,moadto,nag-adto,V;PRS,2,1
6,mosayaw,nisayaw,V;PST,2,1
7,mopatay,nipatay,V;PST,2,1
8,mobutang,nagbutang,V;PRS,2,1
9,mamati,nakapamati,V;PST,2,1
10,mohinumdom,nihinumdom,V;PST,2,1
11,molupad,molupad,V;NFIN,2,1
12,makat-on,mokat-on,V;FUT,2,1
13,molingkod,ninglingkod,V;PROG;PRS,2,1
14,mopili,mopili,V;NFIN,2,1
15,mamati,nagpamati,V;PROG;PRS,2,1
16,mobuhat,mobuhat,V;FUT,2,1
17,mopili,nagpili,V;PRS,2,1
18,mangita,nangita,V;PST,2,1
19,motrabaho,ningtrabaho,V;PROG;PRS,2,1
20,moginhawa,ningginhawa,V;PROG;PRS,2,1
21,mohatod,nihatod,V;PST,2,1
22,mokuha,mokuha,V;FUT,2,1
23,mobaligya,nagbaligya,V;PRS,2,1
24,mabuhi,nabuhi,V;PRS,2,1
25,mopatay,ningpatay,V;PROG;PRS,2,1
26,aduna,aduna,V;PRF;PST,2,1
27,mangutana,mangutana,V;FUT,2,1
28,mobuhat,nagbuhat,V;PRS,2,1
29,modaog,nadaog,V;PRF;PST,2,1
30,mopataas,nipataas,V;PST,2,1
31,mohikap,mohikap,V;FUT,2,1
32,mawad-an,mawad-an,V;NFIN,2,1
33,mobuak,mobuak,V;NFIN,2,1
34,mopabilin,mopabilin,V;FUT,2,1
35,mosulti,ningsulti,V;PROG;PRS,2,1
36,magkita,makigkita,V;FUT,2,1
37,mahimo nga,naghimo nga,V;PRS,2,1
38,mopalit,ningpalit,V;PROG;PRS,2,1
39,motabang,nitabang,V;PST,2,1
40,mahulog,naghulog,V;PRS,2,1
41,mohatag,nakahatag,V;PRF;PST,2,1
42,modaog,nidaog,V;PST,2,1
43,moinom,moinom,V;FUT,2,1
44,moaway,moaway,V;FUT,2,1
45,mohigda,mohigda,V;NFIN,2,1
46,mosayaw,nakasayaw,V;PRF;PST,2,1
47,mohigugma,ninghigugma,V;PROG;PRS,2,1
48,moadto,nakaadto,V;PRF;PST,2,1
49,mopagamay,nagpagamay,V;PRS,2,1
50,moginhawa,moginhawa,V;FUT,2,1
51,mamati,mamati,V;FUT,2,1
52,motawag,motawag,V;FUT,2,1
53,mogamit,nagamit,V;PRF;PST,2,1
54,mosyagit,ningsyagit,V;PROG;PRS,2,1
55,aduna,aduna,V;PST,2,1
56,moabli,niabli,V;PST,2,1
57,molakaw,molakaw,V;FUT,2,1
58,motawag,nitawag,V;PST,2,1
59,modesider,modesider,V;NFIN,2,1
60,matulog,natulog,V;PRS,2,1
61,moduwa,nagduwa,V;PRS,2,1
62,mobutang,mobutang,V;FUT,2,1
63,mohuna-huna,nahuna-huna,V;PRF;PST,2,1
64,mogamit,naggamit,V;PRS,2,1
65,mosabot,nagsabot,V;PRS,2,1
66,mosira,nasirad-an,V;PRF;PST,2,1
67,magluto,nagluto,V;PROG;PRS,2,1
68,mangutana,napangutana,V;PRF;PST,2,1
69,mohuwat,mohuwat,V;NFIN,2,1
70,modagan,ningdagan,V;PROG;PRS,2,1
71,aduna,aduna,V;FUT,2,1
72,molupad,molupad,V;FUT,2,1
73,mopatin-aw,ningpatin-aw,V;PROG;PRS,2,1
74,motabang,ningtabang,V;PROG;PRS,2,1
75,mobati,nabati,V;PRF;PST,2,1
76,makabantay,nakabantay,V;PRS,2,1
77,magkinahanglan,nagkinahanglan,V;PROG;PRS,2,1
78,mohigda,nihigda,V;PST,2,1
79,mamati,nakapamati,V;PRF;PST,2,1
80,moabli,naabli,V;PRF;PST,2,1
81,mopaila,mopaila,V;NFIN,2,1
82,motawag,motawag,V;NFIN,2,1
83,mangita,nagpangita,V;PROG;PRS,2,1
84,maganahan,naganahan,V;PST,2,1
85,mousab,mousab,V;FUT,2,1
86,mokatawa,nagkatawa,V;PRS,2,1
87,mohimo,nakaya,V;PST,2,1
88,moangkon,niangkon,V;PST,2,1
89,mohilak,nihilak,V;PST,2,1
90,magkita,nakigkita,V;PST,2,1
91,mosulod,mosulod,V;NFIN,2,1
92,mopatay,nagpatay,V;PRS,2,1
93,molingkod,naglingkod,V;PRS,2,1
94,mobyahe,nagbyahe,V;PRS,2,1
95,moginhawa,niginhawa,V;PST,2,1
96,modawat,nadawat,V;PRF;PST,2,1
97,makahibalo,nakahibalo,V;PST,2,1
98,mobangon,ningbangon,V;PROG;PRS,2,1
99,mobuak,mobuak,V;FUT,2,1
100,mousab,niusab,V;PST,2,1
101,moinom,moinom,V;NFIN,2,1
102,mohatag,mohatag,V;NFIN,2,1
103,mahitabo,mohitabo,V;FUT,2,1
104,masayod,nasayod,V;PRS,2,1
105,moestorya,naestorya,V;PRF;PST,2,1
106,modaog,modaog,V;NFIN,2,1
107,mobalik,nagbalik,V;PRS,2,1
108,mosulod,mosulod,V;FUT,2,1
109,mosugod,mosugod,V;FUT,2,1
110,mopalit,mopalit,V;NFIN,2,1
111,moari,ning-ari,V;PROG;PRS,2,1
112,mosayaw,ningsayaw,V;PROG;PRS,2,1
113,motudlo,nagtudlo,V;PRS,2,1
114,motudlo,motudlo,V;FUT,2,1
115,mohimo,makaya,V;FUT,2,1
116,mohigda,nakahigda,V;PRF;PST,2,1
117,mopaila,nipaila,V;PST,2,1
118,makabantay,nakabantay,V;PST,2,1
119,mopakita,nagpakita,V;PRS,2,1
120,mopatin-aw,nipatin-aw,V;PST,2,1
121,moadto,moadto,V;NFIN,2,1
122,maganahan,giganahan,V;PROG;PRS,2,1
123,mousab,nag-usab,V;PRS,2,1
124,matulog,matulog,V;NFIN,2,1
125,moestorya,niestorya,V;PST,2,1
126,mohigugma,mohigugma,V;FUT,2,1
127,moari,nag-ari,V;PRS,2,1
128,mamatay,namatay,V;PRF;PST,2,1
129,mawad-an,nawad-an,V;PROG;PRS,2,1
130,mosugod,nagsugod,V;PRS,2,1
131,mamatay,namatay,V;PROG;PRS,2,1
132,mamatay,namatay,V;PST,2,1
133,maminaw,ningpapaminaw,V;PROG;PRS,2,1
134,mosulod,nagsulod,V;PRS,2,1
135,modaog,modaog,V;FUT,2,1
136,magkinahanglan,magkinahanglan,V;NFIN,2,1
137,mopabilin,napabilin,V;PRF;PST,2,1
138,mosulti,mosulti,V;NFIN,2,1
139,mosabot,mosabot,V;FUT,2,1
140,mosulat,nasulat,V;PRF;PST,2,1
141,mosyagit,nisyagit,V;PST,2,1
142,mosulod,nakasulod,V;PRF;PST,2,1
143,molingkod,nilingkod,V;PST,2,1
144,mopabilin,ningpabilin,V;PROG;PRS,2,1
145,magtinguha,nagtinguha,V;PST,2,1
146,moestorya,moestorya,V;FUT,2,1
147,mohatod,mohatod,V;NFIN,2,1
148,magtinguha,nagtinguha,V;PRS,2,1
149,mopakita,ningpakita,V;PROG;PRS,2,1
150,mosira,ningsira,V;PROG;PRS,2,1
