,lemma,form,tags,family,language
0,istar,istar,V;NFIN,2,2
1,dalagan,nagdalagan,V;PROG;PST,2,2
2,tudlo,magatudlo,V;FUT,2,2
3,tudlo,nagatudlo,V;PRS,2,2
4,desisyon,nagadesisyon pa,V;PRF+PROG;PRS,2,2
5,tapos,ginatapos pa,V;PRF+PROG;PRS,2,2
6,higda,naghigda na,V;PRF;PST,2,2
7,baligya,nagbaligya,V;PROG;PST,2,2
8,tuon,magatuon,V;PROG;FUT,2,2
9,tabo/katabo,matabo na,V;PRF;FUT,2,2
10,agda,ginaagda na,V;PRF;PRS,2,2
11,paathag,paathag,V;NFIN,2,2
12,yuhom,nagayuhom,V;PROG;PRS,2,2
13,hular,naghular,V;PST,2,2
14,higugma/higugmaon,ginhigugma,V;PST,2,2
15,byahe,magabyahe,V;FUT,2,2
16,pamangkot,nagapamangkot pa,V;PRF+PROG;PRS,2,2
17,pili,nagpili pa,V;PRF+PROG;PST,2,2
18,dalagan,magadalagan,V;PROG;FUT,2,2
19,basa,magabasa pa,V;PRF+PROG;FUT,2,2
20,hambal,magahambal pa,V;PRF+PROG;FUT,2,2
21,gamit,magagamit na,V;PRF;FUT,2,2
22,lupad,naglupad,V;PROG;PST,2,2
23,away,nag-away na,V;PRF;PST,2,2
24,pili,nagapili,V;PROG;PRS,2,2
25,daw,daw,V;NFIN,2,2
26,bakal,nagbakal,V;PST,2,2
27,dalagan,magadalagan na,V;PRF;FUT,2,2
28,kanta,kanta,V;NFIN,2,2
29,tawag,nagatawag,V;PROG;PRS,2,2
30,baton,magabaton,V;PROG;FUT,2,2
31,hular,nagahular,V;PROG;PRS,2,2
32,maneho,maneho,V;NFIN,2,2
33,tuon,magatuon,V;FUT,2,2
34,tawag,tawag,V;NFIN,2,2
35,desisyon,nagdesisyon pa,V;PRF+PROG;PST,2,2
36,talupangdan/talupangod/talupangdon,natalupangdan na,V;PRF;PRS,2,2
37,sugod,nagsugod pa,V;PRF+PROG;PST,2,2
38,uyat/uyatan,ginauyatan,V;PRS,2,2
39,istorya,magaistorya,V;FUT,2,2
40,kanta,nagakanta,V;PRS,2,2
41,byahe,magabyahe pa,V;PRF+PROG;FUT,2,2
42,balik,nagabalik,V;PRS,2,2
43,ginhawa,nagginhawa na,V;PRF;PST,2,2
44,singgit,nagasinggit,V;PROG;PRS,2,2
45,tawag,nagtawag pa,V;PRF+PROG;PST,2,2
46,pamangkot,nagpamangkot pa,V;PRF+PROG;PST,2,2
47,hibalo/hibaluan,ginhibalo pa,V;PRF+PROG;PST,2,2
48,buksan,pagabuksan na,V;PRF;FUT,2,2
49,dula,gindula,V;PROG;PST,2,2
50,saot,nagsaot,V;PST,2,2
51,tabo/katabo,natabo,V;PST,2,2
52,kallimtan,ginakallimtan,V;PROG;PRS,2,2
53,hunahuna,naghunahuna,V;PST,2,2
54,inom,magainom,V;PROG;FUT,2,2
55,mangin/nangin,nangin,V;PRF+PROG;PST,2,2
56,baton,ginabaton,V;PRS,2,2
57,kuha,nagakuha pa,V;PRF+PROG;PRS,2,2
58,gustuhan,nagustuhan,V;PRS,2,2
59,kallimtan,ginkallimtan pa,V;PRF+PROG;PST,2,2
60,balik,balik,V;NFIN,2,2
61,dugang,magadugang pa,V;PRF+PROG;FUT,2,2
62,sabat,ginsabat na,V;PRF;PST,2,2
63,tawag,nagatawag na,V;PRF;PRS,2,2
64,sugata,nagasugata,V;PROG;PRS,2,2
65,pakita,nagpakita pa,V;PRF+PROG;PST,2,2
66,kanta,nagakanta pa,V;PRF+PROG;PRS,2,2
67,tapos,ginatapos na,V;PRF;PRS,2,2
68,halok/halukan,ginhalukan,V;PROG;PST,2,2
69,uyat/uyatan,gin-uyatan pa,V;PRF+PROG;PST,2,2
70,istar,magaistar na,V;PRF;FUT,2,2
71,bulig/buligan,ginabuligan pa,V;PRF+PROG;PRS,2,2
72,pungko,nagapungko pa,V;PRF+PROG;PRS,2,2
73,dalagan,nagdalagan pa,V;PRF+PROG;PST,2,2
74,saot,magasaot pa,V;PRF+PROG;FUT,2,2
75,yuhom,nagyuhom pa,V;PRF+PROG;PST,2,2
76,pamangkot,nagpamangkot,V;PROG;PST,2,2
77,pakilala,nagapakilala na,V;PRF;PRS,2,2
78,hangop/hangpan,mahangpan pa,V;PRF+PROG;FUT,2,2
79,padala,nagpadala,V;PST,2,2
80,sugod,magasugod,V;PROG;FUT,2,2
81,obra,nagaobra na,V;PRF;PRS,2,2
82,maneho,magamaneho,V;FUT,2,2
83,byahe,nagabyahe na,V;PRF;PRS,2,2
84,kallimtan,ginkallimtan,V;PROG;PST,2,2
85,butang,magabutang,V;FUT,2,2
86,kuha,magakuha,V;PROG;FUT,2,2
87,kadlaw,nagakadlaw pa,V;PRF+PROG;PRS,2,2
88,hunahuna,magahunahuna pa,V;PRF+PROG;FUT,2,2
89,singgit,magasinggit na,V;PRF;FUT,2,2
90,aku,nag-aku,V;PROG;PST,2,2
91,tandog,nagtandog,V;PROG;PST,2,2
92,basa,nagbasa na,V;PRF;PST,2,2
93,kita,makita na,V;PRF;FUT,2,2
94,paathag,nagapaathag,V;PRS,2,2
95,kita,nakita,V;PROG;PST,2,2
96,talupangdan/talupangod/talupangdon,matalupangdon,V;FUT,2,2
97,uyat/uyatan,magauyat pa,V;PRF+PROG;FUT,2,2
98,basa,nagabasa,V;PRS,2,2
99,agda,magaagda,V;PROG;FUT,2,2
100,kado,magakado pa,V;PRF+PROG;FUT,2,2
101,tabo/katabo,natabo pa,V;PRF+PROG;PST,2,2
102,dalagan,nagadalagan pa,V;PRF+PROG;PRS,2,2
103,saot,magasaot,V;PROG;FUT,2,2
104,balik,nagabalik,V;PROG;PRS,2,2
105,hampang,magahampang na,V;PRF;FUT,2,2
106,baton,ginabaton,V;PROG;PRS,2,2
107,bati/batian/pamatian,ginpamantian,V;PROG;PRS,2,2
108,sulit,ginasulit,V;PROG;PRS,2,2
109,batyag,nagbatyag na,V;PRF;PST,2,2
110,hular,hular,V;NFIN,2,2
