,lemma,form,tags,family,language
0,waiata,waiatatia,V;PASS,2,3
1,patu,patua,V;PASS,2,3
2,oka,okaina,V;PASS,2,3
3,hono,honoa,V;PASS,2,3
4,rite,rite,V;ACT,2,3
5,kau,kauria,V;PASS,2,3
6,hau,hāua,V;PASS,2,3
7,hākari,hākaritia,V;PASS,2,3
8,hari,haria,V;PASS,2,3
9,horomiti,horomititia,V;PASS,2,3
10,hemo,hemoa,V;PASS,2,3
11,ora,ora,V;ACT,2,3
12,hūtuki,hūtukia,V;PASS,2,3
13,puta,puta,V;ACT,2,3
14,neke,neke,V;ACT,2,3
15,ruaki,ruakina,V;PASS,2,3
16,ua,uaina,V;PASS,2,3
17,horoi,horoi,V;ACT,2,3
18,nehu,nehu,V;ACT,2,3
19,kati,kati,V;ACT,2,3
20,mauāhara,mauāharatia,V;PASS,2,3
21,hinga,hingaia,V;PASS,2,3
22,karanga,karanga,V;ACT,2,3
23,rere,rerea,V;PASS,2,3
24,akiri,akiritia,V;PASS,2,3
25,ruaki,ruaki,V;ACT,2,3
26,kōwhiti,kōwhitia,V;PASS,2,3
27,haere,haerea,V;PASS,2,3
28,mōhio,mōhio,V;ACT,2,3
29,pānui,pānui,V;ACT,2,3
30,hari,hari,V;ACT,2,3
31,tae,tae,V;ACT,2,3
32,whawhai,whawhaitia,V;PASS,2,3
33,ua,ua,V;ACT,2,3
34,kai,kainga,V;PASS,2,3
35,hanga,hanga,V;ACT,2,3
36,whakanui,whakanui,V;ACT,2,3
37,tomo,tomo,V;ACT,2,3
38,tākaro,tākaro,V;ACT,2,3
39,hūtuki,hūtuki,V;ACT,2,3
40,pātai,pātai,V;ACT,2,3
41,tiki,tiki,V;ACT,2,3
42,oma,omakia,V;PASS,2,3
43,mutu,mutu,V;ACT,2,3
44,nehu,nehua,V;PASS,2,3
45,wareware,wareware,V;ACT,2,3
46,keri,keri,V;ACT,2,3
47,āwhina,āwhinatia,V;PASS,2,3
48,pī,pī,V;ACT,2,3
49,hinga,hinga,V;ACT,2,3
50,ruku,ruku,V;ACT,2,3
51,mauhere,mauhere,V;ACT,2,3
52,whakarongo,whakarongona,V;PASS,2,3
53,tīmata,tīmata,V;ACT,2,3
54,tunu,tunu,V;ACT,2,3
55,hau,hau,V;ACT,2,3
56,hoki,hoki,V;ACT,2,3
57,hamu,hamu,V;ACT,2,3
58,tīmata,tīmataria,V;PASS,2,3
59,ārahi,ārahi,V;ACT,2,3
60,eke,ekea,V;PASS,2,3
61,kimi,kimi,V;ACT,2,3
62,pā,pāngia,V;PASS,2,3
63,kohikohi,kohikohia,V;PASS,2,3
64,takahi,takahia,V;PASS,2,3
65,mauhere,mauheretia,V;PASS,2,3
66,mōhio,mōhiotia,V;PASS,2,3
67,tae,taea,V;PASS,2,3
68,hākari,hākari,V;ACT,2,3
69,mauāhara,mauāhara,V;ACT,2,3
70,karanga,karangatia,V;PASS,2,3
71,titiro,titiro,V;ACT,2,3
72,tono,tonoa,V;PASS,2,3
73,kōrero,kōrero,V;ACT,2,3
74,kōwhiti,kōwhiti,V;ACT,2,3
75,tupu,tupu,V;ACT,2,3
76,kimi,kimihia,V;PASS,2,3
77,tuku,tukua,V;PASS,2,3
78,ruruku,ruruku,V;ACT,2,3
79,aru,arumia,V;PASS,2,3
80,oka,oka,V;ACT,2,3
81,mahi,mahi,V;ACT,2,3
82,hui,huia,V;PASS,2,3
83,noho,nōhia,V;PASS,2,3
84,manaaki,manaaki,V;ACT,2,3
85,tono,tono,V;ACT,2,3
86,kai,kai,V;ACT,2,3
87,tuitui,tuituia,V;PASS,2,3
88,kati,katia,V;PASS,2,3
89,ārahi,arahina,V;PASS,2,3
90,takahi,takahi,V;ACT,2,3
91,haere,haere,V;ACT,2,3
92,whakarongo,whakarongo,V;ACT,2,3
93,hoe,hoe,V;ACT,2,3
94,tangi,tangihia,V;PASS,2,3
95,akiri,akiri,V;ACT,2,3
96,hiki,hīkina,V;PASS,2,3
97,maunu,maunuhia,V;PASS,2,3
98,tuhituhi,tuhituhia,V;PASS,2,3
99,parai,paraitia,V;PASS,2,3
100,kaukau,kaukauria,V;PASS,2,3
101,wharirū,wharirūtia,V;PASS,2,3
102,ako,ākona,V;PASS,2,3
103,tuku,tuku,V;ACT,2,3
104,āmine,āmine,V;ACT,2,3
105,tahu,tahu,V;ACT,2,3
106,pānui,pānuitia,V;PASS,2,3
107,rite,ritea,V;PASS,2,3
108,whawhai,whawhai,V;ACT,2,3
109,rongo,rangona,V;PASS,2,3
110,motu,motu,V;ACT,2,3
111,kite,kite,V;ACT,2,3
112,oho,oho,V;ACT,2,3
113,tango,tango,V;ACT,2,3
114,mau,mauria,V;PASS,2,3
115,tangi,tangi,V;ACT,2,3
116,hīkoi,hīkoi,V;ACT,2,3
117,hui,hui,V;ACT,2,3
118,hoki,hokia,V;PASS,2,3
119,inu,inu,V;ACT,2,3
120,momotu,momotu,V;ACT,2,3
121,horoi,horoia,V;PASS,2,3
122,paki,pākia,V;PASS,2,3
123,tango,tangohia,V;PASS,2,3
124,ora,orangia,V;PASS,2,3
125,neke,nekehia,V;PASS,2,3
126,aroha,arohaina,V;PASS,2,3
127,hoko,hokona,V;PASS,2,3
128,oma,oma,V;ACT,2,3
129,horomiti,horomiti,V;ACT,2,3
130,tākaro,tākarohia,V;PASS,2,3
131,inu,inumia,V;PASS,2,3
132,whāngai,whāngaia,V;PASS,2,3
133,hoko,hoko,V;ACT,2,3
134,patu,patu,V;ACT,2,3
135,mau,mau,V;ACT,2,3
136,whakanui,whakanuitia,V;PASS,2,3
137,tahi,tahi,V;ACT,2,3
138,kī,kīa,V;PASS,2,3
139,maunu,maunu,V;ACT,2,3
140,āwhina,āwhina,V;ACT,2,3
141,kaukau,kaukau,V;ACT,2,3
142,noho,noho,V;ACT,2,3
143,tao,tao,V;ACT,2,3
144,aru,aru,V;ACT,2,3
