,lemma,form,tags,family,language
0,itsoka,mitsoka,V;PRS,2,4
1,ampianatra,mampianatra,V;PRS,2,4
2,anakora,anakora,V;NFIN,2,4
3,ianatra,nianatra,V;PST,2,4
4,igigagiga,igigagiga,V;NFIN,2,4
5,amempina,namempina,V;PST,2,4
6,anorina,hanorina,V;FUT,2,4
7,itangorona,mitangorona,V;PRS,2,4
8,ilalao,milalao,V;PRS,2,4
9,anampy,hanampy,V;FUT,2,4
10,tonga,ntonga,V;PST,2,4
11,tonga,htonga,V;FUT,2,4
12,amisavisa,amisavisa,V;NFIN,2,4
13,analady,nanalady,V;PST,2,4
14,anafy,hanafy,V;FUT,2,4
15,anatsika,anatsika,V;NFIN,2,4
16,ihevaheva,nihevaheva,V;PST,2,4
17,ahadikitra,mahadikitra,V;PRS,2,4
18,ihinana,nihinana,V;PST,2,4
19,anampy,nanampy,V;PST,2,4
20,iboboka,miboboka,V;PRS,2,4
21,anangona,anangona,V;NFIN,2,4
22,amisavisa,mamisavisa,V;PRS,2,4
23,ifohaza,hifohaza,V;FUT,2,4
24,andihy,handihy,V;FUT,2,4
25,iantsoantso,iantsoantso,V;NFIN,2,4
26,ibango,mibango,V;PRS,2,4
27,ahary,nahary,V;PST,2,4
28,itangorona,nitangorona,V;PST,2,4
29,andringana,handringana,V;FUT,2,4
30,amisavisa,hamisavisa,V;FUT,2,4
31,anohy,hanohy,V;FUT,2,4
32,analady,analady,V;NFIN,2,4
33,ihira,nihira,V;PST,2,4
34,ahafantatra,mahafantatra,V;PRS,2,4
35,analemy,nanalemy,V;PST,2,4
36,ihaminkamina,ihaminkamina,V;NFIN,2,4
37,iresaka,iresaka,V;NFIN,2,4
38,ampaharikivy,nampaharikivy,V;PST,2,4
39,ahazo,mahazo,V;PRS,2,4
40,amitsobitsoka,hamitsobitsoka,V;FUT,2,4
41,ankatelina,hankatelina,V;FUT,2,4
42,andohalika,mandohalika,V;PRS,2,4
43,ihomehy,hihomehy,V;FUT,2,4
44,iraharaha,hiraharaha,V;FUT,2,4
45,idradradradra,hidradradradra,V;FUT,2,4
46,anatitra,nanatitra,V;PST,2,4
47,anontany,anontany,V;NFIN,2,4
48,ihaino,hihaino,V;FUT,2,4
49,anameloka,hanameloka,V;FUT,2,4
50,anamaizina,hanamaizina,V;FUT,2,4
51,angarika,angarika,V;NFIN,2,4
52,ivaivay,ivaivay,V;NFIN,2,4
53,itsoka,itsoka,V;NFIN,2,4
