,lemma,form,tags,family,language
0,patay,magpapatay,V;AGFOC;LGSPEC1,2,5
1,tulak,itutulak,V;PFOC;LGSPEC1,2,5
2,bagsak,magbabagsak,V;AGFOC;LGSPEC1,2,5
3,dalaw,dumadalaw,V;IPFV;AGFOC,2,5
4,ipon,ipon,V;NFIN,2,5
5,gupit,ginugupitan,V;IPFV;PFOC,2,5
6,sará,sará,V;NFIN,2,5
7,sanlá',sinasanlá',V;IPFV;PFOC,2,5
8,kamay,kinamay,V;PFV;PFOC,2,5
9,tanggap,tumatanggap,V;IPFV;AGFOC,2,5
10,sigaw,sisigaw,V;AGFOC;LGSPEC1,2,5
11,saká,saká,V;NFIN,2,5
12,alaga,nag-aalaga,V;IPFV;AGFOC,2,5
13,imbita,iniimbita,V;IPFV;PFOC,2,5
14,akyat,iaakyat,V;PFOC;LGSPEC1,2,5
15,tanggal,tatanggalin,V;PFOC;LGSPEC1,2,5
16,kasal,magpapakasal,V;AGFOC;LGSPEC1,2,5
17,kopya,kinokopya,V;IPFV;PFOC,2,5
18,silip,silip,V;NFIN,2,5
19,alaga,mag-aalaga,V;AGFOC;LGSPEC1,2,5
20,bihis,magbibihis,V;AGFOC;LGSPEC1,2,5
21,kíta,magkikíta,V;AGFOC;LGSPEC1,2,5
22,tuloy,tutuluyan,V;PFOC;LGSPEC1,2,5
23,ibig,umibig,V;PFV;AGFOC,2,5
24,ábot,nag-aábot,V;IPFV;AGFOC,2,5
25,arkila,aarkilahin,V;PFOC;LGSPEC1,2,5
26,laga,naglalaga,V;IPFV;AGFOC,2,5
27,pasa,pasa,V;NFIN,2,5
28,balik,bunabalik,V;IPFV;AGFOC,2,5
29,kumusta,kukumustahin,V;PFOC;LGSPEC1,2,5
30,tanan,magtatanan,V;AGFOC;LGSPEC1,2,5
31,gamot,ginamot,V;PFV;PFOC,2,5
32,garahe,naggagarahe,V;IPFV;AGFOC,2,5
33,alaga,inalagaan,V;PFV;PFOC,2,5
34,taka,ipagtataka,V;PFOC;LGSPEC1,2,5
35,garahe,maggagarahe,V;AGFOC;LGSPEC1,2,5
36,lakbay,lalakbayin,V;PFOC;LGSPEC1,2,5
37,tángo',tumángo',V;PFV;AGFOC,2,5
38,walis,nagwalis,V;PFV;AGFOC,2,5
39,higa',hihigaan,V;PFOC;LGSPEC1,2,5
40,masahe,minamasahe,V;IPFV;PFOC,2,5
41,pasan,papasanin,V;PFOC;LGSPEC1,2,5
42,subo',isusubo',V;PFOC;LGSPEC1,2,5
43,kain,pinakain,V;PFV;PFOC,2,5
44,laki,laki,V;NFIN,2,5
45,boto,bumoboto,V;IPFV;AGFOC,2,5
46,sukó',sukó',V;NFIN,2,5
47,hanap,hahanap,V;AGFOC;LGSPEC1,2,5
48,bati',bumati',V;PFV;AGFOC,2,5
49,tulak,tinutulak,V;IPFV;PFOC,2,5
50,sirá',maninirá',V;AGFOC;LGSPEC1,2,5
51,senyas,sesenyasan,V;PFOC;LGSPEC1,2,5
52,daan,daan,V;NFIN,2,5
53,dagdag,dinaragdagan,V;IPFV;PFOC,2,5
54,hingí',hiningí',V;PFV;PFOC,2,5
55,lungkot,ikinalulungkot,V;IPFV;PFOC,2,5
56,kipkip,kinikipkip,V;IPFV;PFOC,2,5
57,gayat,gayat,V;NFIN,2,5
58,ganda,ganda,V;NFIN,2,5
59,kinig,pinakinggan,V;PFV;PFOC,2,5
60,sunong,nagsunong,V;PFV;AGFOC,2,5
61,suklam,isusuklam,V;PFOC;LGSPEC1,2,5
62,sugal,sinugal,V;PFV;PFOC,2,5
63,paalam,magpapaalam,V;AGFOC;LGSPEC1,2,5
64,táyo',táyo',V;NFIN,2,5
65,trabaho,magtatrabaho,V;AGFOC;LGSPEC1,2,5
66,hila,hila,V;NFIN,2,5
67,sundó',susundúin,V;PFOC;LGSPEC1,2,5
68,daan,dumadaan dumaraan,V;IPFV;AGFOC,2,5
69,sukó',isinukó',V;PFV;PFOC,2,5
70,alis,nag-aalis,V;IPFV;AGFOC,2,5
71,bilang,binilang,V;PFV;PFOC,2,5
72,limot,nakalimutan,V;PFV;PFOC,2,5
73,regalo,reregaluhan,V;PFOC;LGSPEC1,2,5
74,dala,nagdala,V;PFV;AGFOC,2,5
75,palit,magpapalit,V;AGFOC;LGSPEC1,2,5
76,handá',ihahandá',V;PFOC;LGSPEC1,2,5
77,dusa,pagdudusahan,V;PFOC;LGSPEC1,2,5
78,katay,kinakatay,V;IPFV;PFOC,2,5
79,dighay,dighay,V;NFIN,2,5
80,sinungaling,sinisinu- ngalingan,V;IPFV;PFOC,2,5
81,lungkot,nalungkot,V;PFV;AGFOC,2,5
82,utang,uutangin,V;PFOC;LGSPEC1,2,5
83,dama,dadamhin,V;PFOC;LGSPEC1,2,5
84,kuha',kukuha',V;AGFOC;LGSPEC1,2,5
85,gusto,nagustuhan,V;PFV;PFOC,2,5
86,bilang,binibilang,V;IPFV;PFOC,2,5
87,alis,inalis,V;PFV;PFOC,2,5
88,suot,nagsusuot,V;IPFV;AGFOC,2,5
89,tulong,tumutulong,V;IPFV;AGFOC,2,5
90,hiwa',hinihiwa',V;IPFV;PFOC,2,5
91,hinto',hinto',V;NFIN,2,5
92,tanim,nagtatanim,V;IPFV;AGFOC,2,5
93,handá',naghahandá',V;IPFV;AGFOC,2,5
94,tulong,tulong,V;NFIN,2,5
95,bába',ibinába',V;PFV;PFOC,2,5
96,takip,takip,V;NFIN,2,5
97,inis,ininis,V;PFV;PFOC,2,5
98,labas,lalabas,V;AGFOC;LGSPEC1,2,5
99,ayos,aayusin,V;PFOC;LGSPEC1,2,5
100,taas,nagtaas,V;PFV;AGFOC,2,5
101,tanggal,tinatanggal,V;IPFV;PFOC,2,5
102,guhit,guguhitin,V;PFOC;LGSPEC1,2,5
103,lakad,nilakad,V;PFV;PFOC,2,5
104,sumbong,nagsusumbong,V;IPFV;AGFOC,2,5
105,búkas,bumúkas,V;PFV;AGFOC,2,5
106,kamay,magkakamay,V;AGFOC;LGSPEC1,2,5
107,galit,ikinagalit,V;PFV;PFOC,2,5
108,taguyod,taguyod,V;NFIN,2,5
109,bihis,nagbihis,V;PFV;AGFOC,2,5
110,tuloy,tinutuluyan,V;IPFV;PFOC,2,5
111,lakad,nilalakad,V;IPFV;PFOC,2,5
