,lemma,form,tags,family,language
0,trucian,trucode,V;SBJV;SG;PST,1,1
1,gadrian,gadriġe,V;IND;SG;1;PRS,1,1
2,bleo,blēo,N;ACC;PL,1,1
3,wifian,wīfode,V;SBJV;SG;PST,1,1
4,gesprecan,ġesprycst,V;IND;SG;2;PRS,1,1
5,cunnan,cūþest,V;IND;SG;2;PST,1,1
6,deagol,dēagol,ADJ;NOM;NEUT;SG;LGSPEC2,1,1
7,has,hāsan,ADJ;NOM;MASC;PL;LGSPEC1,1,1
8,ealdorleas,ealdorlēases,ADJ;GEN;NEUT;SG;LGSPEC2,1,1
9,findig,findġu,ADJ;NOM;NEUT;PL;LGSPEC2,1,1
10,ænlic,ǣnlīċena,ADJ;GEN;MASC;PL;LGSPEC1,1,1
11,hersum,hērsume,ADJ;NOM;MASC;PL;LGSPEC2,1,1
12,wæflian,wæfliġaþ,V;IND;PL;PRS,1,1
13,holian,holiġen,V;SBJV;PL;PRS,1,1
14,clipol,clipolum,ADJ;INS;MASC;PL;LGSPEC2,1,1
15,lemian,lemian,V;NFIN,1,1
16,lieg,līeġ,N;ACC;SG,1,1
17,frec,frecum,ADJ;INS;NEUT;PL;LGSPEC2,1,1
18,afor,āfore,ADJ;ACC;MASC;PL;LGSPEC2,1,1
19,wregendlic,wrēġendlīċra,ADJ;GEN;NEUT;PL;LGSPEC1,1,1
20,gifu,ġife,N;DAT;SG,1,1
21,clipol,clipole,ADJ;ACC;NEUT;SG;LGSPEC1,1,1
22,bilewit,bilewite,ADJ;ACC;FEM;SG;LGSPEC2,1,1
23,solian,solodon,V;IND;PL;PST,1,1
24,georn,ġeornan,ADJ;ACC;FEM;SG;LGSPEC1,1,1
25,ficol,ficolan,ADJ;ACC;MASC;SG;LGSPEC1,1,1
26,sæternesdæg,sæternesdæġes,N;GEN;SG,1,1
27,beneotan,benēat,V;IND;SG;1;PST,1,1
28,drencan,drencte,V;IND;SG;3;PST,1,1
29,gadrian,gadrodon,V;IND;PL;PST,1,1
