,lemma,form,tags,family,language
0,billige,billige,V;NFIN;ACT,1,2
1,vandmand,vandmænds,N;GEN;INDF;PL,1,2
2,bindeord,bindeordets,N;NOM;DEF;SG,1,2
3,skulder,skulder,N;NOM;INDF;SG,1,2
4,helhest,helhestenes,N;NOM;DEF;PL,1,2
5,lastbil,lastbilens,N;NOM;DEF;SG,1,2
6,svane,svanernes,N;NOM;DEF;PL,1,2
7,lystre,lystres,V;IND;PRS;PASS,1,2
8,veteran,veterans,N;GEN;INDF;SG,1,2
9,terzet,terzetternes,N;NOM;DEF;PL,1,2
10,mavesaft,mavesafts,N;GEN;INDF;SG,1,2
11,kunst,kunsten,N;NOM;DEF;SG,1,2
12,annullation,annullations,N;GEN;INDF;SG,1,2
13,frænde,frænde,N;NOM;INDF;SG,1,2
14,kontaktinformation,kontaktinformationers,N;GEN;INDF;PL,1,2
15,balkon,balkoners,N;GEN;INDF;PL,1,2
16,betegnelse,betegnelsernes,N;NOM;DEF;PL,1,2
17,basketballspiller,basketballspillerene,N;NOM;DEF;PL,1,2
18,faktotum,faktotummers,N;GEN;INDF;PL,1,2
19,korridor,korridorernes,N;NOM;DEF;PL,1,2
20,birkes,birkes',N;GEN;INDF;PL,1,2
21,metatese,metatese,N;NOM;INDF;SG,1,2
22,lejlighed,lejlighed,N;NOM;INDF;SG,1,2
23,dekagram,dekagrammets,N;NOM;DEF;SG,1,2
24,kiste,kistes,N;GEN;INDF;SG,1,2
25,bil,bilen,N;NOM;DEF;SG,1,2
26,cirkelafsnit,cirkelafsnittets,N;NOM;DEF;SG,1,2
27,egern,egernene,N;NOM;DEF;PL,1,2
28,chok,chokkets,N;NOM;DEF;SG,1,2
29,angreb,angrebene,N;NOM;DEF;PL,1,2
30,flyvemaskine,flyvemaskinernes,N;NOM;DEF;PL,1,2
31,salatfad,salatfades,N;GEN;INDF;PL,1,2
32,despoti,despotier,N;NOM;INDF;PL,1,2
33,vals,valsens,N;NOM;DEF;SG,1,2
34,mayonnaise,mayonnaisers,N;GEN;INDF;PL,1,2
35,skarpskytte,skarpskyttens,N;NOM;DEF;SG,1,2
36,endestation,endestation,N;NOM;INDF;SG,1,2
37,teori,teori,N;NOM;INDF;SG,1,2
38,bevægelse,bevægelsen,N;NOM;DEF;SG,1,2
39,hofteben,hoftebenets,N;NOM;DEF;SG,1,2
40,tortur,torturers,N;GEN;INDF;PL,1,2
41,stød,støds,N;GEN;INDF;PL,1,2
42,mutagen,mutagen,N;NOM;INDF;SG,1,2
43,kontrovers,kontroversers,N;GEN;INDF;PL,1,2
44,skøjte,skøjtens,N;NOM;DEF;SG,1,2
45,charabanc,charabancers,N;GEN;INDF;PL,1,2
46,effekt,effekt,N;NOM;INDF;SG,1,2
47,elev,eleven,N;NOM;DEF;SG,1,2
48,procentpoint,procentpoints,N;GEN;INDF;SG,1,2
