,lemma,form,tags,family,language
0,creaturize,creaturize,V;NFIN,1,4
1,dephlegmate,dephlegmate,V;NFIN,1,4
2,gelatinize,gelatinizing,V.PTCP;PRS,1,4
3,enode,enoded,V.PTCP;PST,1,4
4,naphthalize,naphthalizes,V;SG;3;PRS,1,4
5,steven,stevens,V;SG;3;PRS,1,4
6,ameliorate,ameliorates,V;SG;3;PRS,1,4
7,miscalibrate,miscalibrated,V;PST,1,4
8,scrutinise,scrutinised,V;PST,1,4
9,incense,incensed,V.PTCP;PST,1,4
10,onlap,onlapping,V.PTCP;PRS,1,4
11,pen,penned,V.PTCP;PST,1,4
12,quat,quat,V;NFIN,1,4
13,greenlight,greenlit,V;PST,1,4
14,vitaminize,vitaminizes,V;SG;3;PRS,1,4
15,polygamise,polygamised,V.PTCP;PST,1,4
16,harlequin,harlequin,V;NFIN,1,4
17,decerp,decerps,V;SG;3;PRS,1,4
18,exaugurate,exaugurates,V;SG;3;PRS,1,4
19,hard-wire,hard-wiring,V.PTCP;PRS,1,4
20,inflesh,infleshed,V.PTCP;PST,1,4
21,covenaunt,covenaunted,V.PTCP;PST,1,4
22,resod,resodding,V.PTCP;PRS,1,4
23,sanctuarize,sanctuarizes,V;SG;3;PRS,1,4
24,entrench,entrenches,V;SG;3;PRS,1,4
25,adorn,adorned,V.PTCP;PST,1,4
26,frontload,frontloaded,V;PST,1,4
27,brown-bag,brown-bagged,V;PST,1,4
28,communalise,communalised,V.PTCP;PST,1,4
29,decant,decanted,V.PTCP;PST,1,4
30,seclude,secluding,V.PTCP;PRS,1,4
31,nock,nocked,V.PTCP;PST,1,4
32,fog,fogging,V.PTCP;PRS,1,4
33,streak,streaks,V;SG;3;PRS,1,4
34,poke,poke,V;NFIN,1,4
35,gabble,gabbled,V.PTCP;PST,1,4
36,overtwist,overtwists,V;SG;3;PRS,1,4
37,resubstitute,resubstituted,V.PTCP;PST,1,4
38,emerge,emerged,V.PTCP;PST,1,4
39,mediatise,mediatised,V.PTCP;PST,1,4
40,plasmolyze,plasmolyzes,V;SG;3;PRS,1,4
41,reregister,reregistering,V.PTCP;PRS,1,4
42,snipe,sniping,V.PTCP;PRS,1,4
43,curtain-raise,curtain-raising,V.PTCP;PRS,1,4
44,demetallize,demetallizes,V;SG;3;PRS,1,4
45,spraff,spraffed,V;PST,1,4
46,depower,depowering,V.PTCP;PRS,1,4
47,tug,tugging,V.PTCP;PRS,1,4
48,stucco,stucco,V;NFIN,1,4
49,refamiliarize,refamiliarized,V;PST,1,4
50,evidence,evidence,V;NFIN,1,4
51,marmalise,marmalise,V;NFIN,1,4
52,pirl,pirls,V;SG;3;PRS,1,4
53,fathom,fathoming,V.PTCP;PRS,1,4
54,overcloud,overcloud,V;NFIN,1,4
55,get,getting,V.PTCP;PRS,1,4
56,go,going,V.PTCP;PRS,1,4
57,velarize,velarizes,V;SG;3;PRS,1,4
58,hose,hosed,V;PST,1,4
59,reenergize,reenergized,V.PTCP;PST,1,4
60,flaw,flaws,V;SG;3;PRS,1,4
61,inclose,inclosed,V.PTCP;PST,1,4
62,piece,piece,V;NFIN,1,4
63,succor,succored,V;PST,1,4
64,counterbrace,counterbraces,V;SG;3;PRS,1,4
65,chillax,chillax,V;NFIN,1,4
66,avolate,avolated,V;PST,1,4
67,bequeath,bequeaths,V;SG;3;PRS,1,4
68,disordre,disordred,V.PTCP;PST,1,4
69,scur,scur,V;NFIN,1,4
70,homogenise,homogenises,V;SG;3;PRS,1,4
71,audioconference,audioconferenced,V;PST,1,4
72,teleprint,teleprints,V;SG;3;PRS,1,4
73,reorder,reorders,V;SG;3;PRS,1,4
74,backtest,backtested,V.PTCP;PST,1,4
75,unscreen,unscreened,V.PTCP;PST,1,4
76,photoengrave,photoengraves,V;SG;3;PRS,1,4
77,jellygraph,jellygraphed,V.PTCP;PST,1,4
78,pile,piled,V.PTCP;PST,1,4
79,expend,expended,V.PTCP;PST,1,4
80,provocate,provocates,V;SG;3;PRS,1,4
81,dogleg,dogleg,V;NFIN,1,4
82,war-drive,war-drives,V;SG;3;PRS,1,4
