,lemma,form,tags,family,language
0,frååge,hääwe frååged,V;PRF;IND;PL;3;PST,1,5
1,ferliise,hääwe ferlääsen,V;PRF;IND;PL;3;PST,1,5
2,bååge,bök,V;PFV;IND;SG;1;PST,1,5
3,breege,bräk,V;PFV;IND;SG;1;PST,1,5
4,greewe,hääst grääwen,V;PRF;IND;SG;2;PST,1,5
5,jiiw,hee jewen,V;PRF;IND;SG;3;PST,1,5
6,mötj,tu mötjen,V;NFIN,1,5
7,lees,leest,V;IND;SG;3;PRS,1,5
8,koone,kööst,V;PFV;IND;SG;2;PST,1,5
9,bliwe,blaawen,V;IMP;SG,1,5
10,skriiw,skrafst,V;IND;SG;2;PRS,1,5
11,wan,hed wonen,V;PRF;IND;SG;3;PST+RMT,1,5
12,weese,bän wään,V;PRF;IND;SG;1;PST,1,5
13,weese,win weese,V;IND;PL;1;FUT;LGSPEC2,1,5
14,bine,bine,V;IND;PL;3;PRS,1,5
15,heewe,hääst heet,V;PRF;IND;SG;2;PST,1,5
16,baag,baag,V;IND;PL;3;PRS,1,5
17,maage,wal maage,V;IND;SG;3;FUT;LGSPEC2,1,5
18,bliiw,bliiw,V;IND;PL;2;PRS,1,5
19,breege,wårde breege,V;IND;PL;1;FUT;LGSPEC1,1,5
20,greew,gruf,V;PFV;IND;SG;3;PST,1,5
21,frååge,frååget,V;IND;SG;3;PRS,1,5
22,jeewe,jäifen,V;PFV;IND;PL;3;PST,1,5
23,jeewe,jeewe,V;IND;PL;2;PRS,1,5
24,bliwe,san blaawen,V;PRF;IND;PL;1;PST,1,5
25,bååge,bååged,V;PFV;IND;SG;3;PST,1,5
26,kaame,as kiimen,V;PRF;IND;SG;3;PST,1,5
27,dreeg,dreeg,V;IND;PL;2;PRS,1,5
28,lees,skääl lees,V;IND;SG;2;FUT;LGSPEC1,1,5
29,bine,häin bünen,V;PRF;IND;PL;1;PST+RMT,1,5
30,kem,kaam,V;PFV;IND;PL;3;PST,1,5
31,jiiw,jiiw,V;IND;PL;3;PRS,1,5
32,heewe,häin hädj,V;PRF;IND;PL;3;PST+RMT,1,5
33,wan,skal wan,V;IND;SG;3;FUT;LGSPEC1,1,5
34,jooge,jooge,V;IND;PL;2;PRS,1,5
35,pluuge,pluugi'm,V;IMP;PL,1,5
36,maage,maaget,V;PFV;IND;SG;1;PST,1,5
37,bine,bün,V;PFV;IND;SG;1;PST,1,5
38,gripe,hääwe gram,V;PRF;IND;DU;2;PST,1,5
39,wan,skel wan,V;IND;DU;1;FUT;LGSPEC1,1,5
40,kaame,wjarst kiimen,V;PRF;IND;SG;2;PST+RMT,1,5
41,frååge,häist frååged,V;PRF;IND;SG;2;PST+RMT,1,5
42,lees,hee leesen,V;PRF;IND;SG;3;PST,1,5
43,bååge,bååge,V;IND;DU;1;PRS,1,5
44,breeg,hee breegen,V;PRF;IND;SG;3;PST,1,5
45,breege,wårde breege,V;IND;DU;1;FUT;LGSPEC1,1,5
46,faal,wiar feelen,V;PRF;IND;DU;1;PST+RMT,1,5
47,pluuge,skel pluuge,V;IND;PL;2;FUT;LGSPEC1,1,5
48,dreege,häi dräägen,V;PRF;IND;SG;1;PST+RMT,1,5
49,bliiw,wiar blewen,V;PRF;IND;PL;3;PST+RMT,1,5
50,röp,wel röp,V;IND;DU;2;FUT;LGSPEC2,1,5
51,kem,wiar kimen,V;PRF;IND;PL;1;PST+RMT,1,5
52,drank,skel drank,V;IND;DU;1;FUT;LGSPEC1,1,5
