,lemma,form,tags,family,language
0,triegen,triege,V;SBJV;SG;1;PRS,1,6
1,slahen,sleget,V;IND;SG;3;PRS,1,6
2,werden,geworden,V.PTCP;PST,1,6
3,überganc,übergangen,N;DAT;PL,1,6
4,sieden,sieden,V;SBJV;PL;1;PRS,1,6
5,ziehen,zühe,V;IND;SG;2;PST,1,6
6,kiesen,küse,V;IND;SG;2;PST,1,6
7,helfen,hëlfen,V;SBJV;PL;1;PRS,1,6
8,betriegen,betrüge,V;SBJV;SG;1;PST,1,6
9,ziehen,zühe,V;SBJV;SG;1;PST,1,6
10,swimmen,swamm,V;IND;SG;1;PST,1,6
11,helfen,hëlfen,V;IND;PL;1;PRS,1,6
12,swimmen,swümme,V;SBJV;SG;3;PST,1,6
13,singen,singet,V;IMP;PL;2,1,6
14,biegen,biegent,V;IND;PL;3;PRS,1,6
15,tac,tage,N;NOM;PL,1,6
16,sieden,sutet,V;IND;PL;2;PST,1,6
17,werfen,wirfet,V;IND;SG;3;PRS,1,6
18,betriegen,betriuget,V;IND;SG;3;PRS,1,6
19,wahsen,wahse,V;IND;SG;1;PRS,1,6
20,wahsen,wahsen,V;IMP;PL;1,1,6
21,trinken,trünket,V;SBJV;PL;2;PST,1,6
22,beginnen,begünnest,V;SBJV;SG;2;PST,1,6
23,verswinden,verswinden,V;SBJV;PL;1;PRS,1,6
24,rinnen,rünnest,V;SBJV;SG;2;PST,1,6
25,helfen,hëlfen,V;IMP;PL;1,1,6
26,göu,göuwen,N;DAT;PL,1,6
27,rinnen,rann,V;IND;SG;3;PST,1,6
28,wahsen,wuohsen,V;IND;PL;3;PST,1,6
29,singen,gesungen,V.PTCP;PST,1,6
30,swern,swüren,V;SBJV;PL;3;PST,1,6
31,binden,binden,V;IMP;PL;1,1,6
32,triegen,triegest,V;SBJV;SG;2;PRS,1,6
33,sieden,siedet,V;IMP;PL;2,1,6
34,werfen,warf,V;IND;SG;3;PST,1,6
35,swern,swern,V;NFIN,1,6
36,trinken,trinket,V;IND;SG;3;PRS,1,6
37,swern,sweret,V;SBJV;SG;3;PRS,1,6
38,kiesen,kiesen,V;SBJV;PL;3;PRS,1,6
39,rinnen,rünnen,V;SBJV;PL;1;PST,1,6
40,binden,bünden,V;SBJV;PL;1;PST,1,6
41,werfen,wërfent,V;IND;PL;3;PRS,1,6
42,ziehen,ziehende,V.PTCP;PRS,1,6
43,vinden,vunden,V;IND;PL;1;PST,1,6
44,bruoder,bruoder,N;NOM;SG,1,6
45,sieden,siut,V;IMP;SG;2,1,6
46,betriegen,betrouc,V;IND;SG;3;PST,1,6
47,bruoder,bruoder,N;GEN;PL,1,6
48,enpfinden,enpfand,V;IND;SG;1;PST,1,6
49,werfen,wirfe,V;IND;SG;1;PRS,1,6
50,burcgrave,burcgrâven,N;DAT;PL,1,6
51,wahsen,wahset,V;SBJV;SG;3;PRS,1,6
52,binden,bindet,V;IND;PL;2;PRS,1,6
53,rinnen,rinnen,V;IMP;PL;1,1,6
54,swern,swuoret,V;IND;PL;2;PST,1,6
55,trinken,trünken,V;SBJV;PL;1;PST,1,6
56,wahsen,wahsen,V;IND;PL;1;PRS,1,6
57,sieden,süte,V;SBJV;SG;1;PST,1,6
58,wahsen,wuohs,V;IND;SG;1;PST,1,6
59,verswinden,verswinden,V;IND;PL;1;PRS,1,6
60,engel,engelen,N;DAT;PL,1,6
61,betriegen,betriugest,V;IND;SG;2;PRS,1,6
62,betriegen,betrieget,V;IND;PL;2;PRS,1,6
63,verswinden,verswindent,V;IND;PL;3;PRS,1,6
64,trinken,trinken,V;SBJV;PL;3;PRS,1,6
65,sieden,siedest,V;SBJV;SG;2;PRS,1,6
66,trinken,trinket,V;IMP;PL;2,1,6
67,werfen,würfet,V;SBJV;PL;2;PST,1,6
68,sieden,sieden,V;IND;PL;1;PRS,1,6
69,triegen,triuget,V;IND;SG;3;PRS,1,6
70,helfen,hulfen,V;IND;PL;3;PST,1,6
71,singen,singet,V;IND;PL;2;PRS,1,6
72,binden,band,V;IND;SG;3;PST,1,6
73,triegen,trieget,V;SBJV;SG;3;PRS,1,6
74,werfen,wurfen,V;IND;PL;3;PST,1,6
75,kiesen,kiesen,V;NFIN,1,6
76,ziehen,ziehen,V;NFIN,1,6
77,bruoder,bruodere,N;DAT;SG,1,6
78,helfen,hëlfet,V;SBJV;PL;2;PRS,1,6
79,swimmen,swimm,V;IMP;SG;2,1,6
80,vinden,vindest,V;IND;SG;2;PRS,1,6
81,swern,swere,V;SBJV;SG;1;PRS,1,6
82,binden,binden,V;NFIN,1,6
83,engel,engele,N;ACC;PL,1,6
84,betriegen,betrieget,V;SBJV;SG;3;PRS,1,6
85,bruoder,bruoder,N;NOM;PL,1,6
86,triegen,trieget,V;IND;PL;2;PRS,1,6
87,werden,wird,V;IMP;SG;2,1,6
88,binden,bindende,V.PTCP;PRS,1,6
89,sieden,siudet,V;IND;SG;3;PRS,1,6
90,triegen,triegen,V;SBJV;PL;1;PRS,1,6
91,triegen,trügen,V;SBJV;PL;1;PST,1,6
92,betriegen,betriegen,V;IMP;PL;1,1,6
93,singen,sunget,V;IND;PL;2;PST,1,6
94,swimmen,swümmet,V;SBJV;PL;2;PST,1,6
95,singen,singen,V;IMP;PL;1,1,6
96,ziehen,zühen,V;SBJV;PL;3;PST,1,6
97,enpfinden,enpfindet,V;IND;SG;3;PRS,1,6
98,tac,tage,N;ACC;PL,1,6
99,verswinden,verswünden,V;SBJV;PL;1;PST,1,6
100,werden,wërdet,V;SBJV;PL;2;PRS,1,6
101,kiesen,kieset,V;IND;PL;2;PRS,1,6
102,betriegen,betriegent,V;IND;PL;3;PRS,1,6
103,grave,grâven,N;ACC;SG,1,6
104,wahsen,wüehset,V;SBJV;PL;2;PST,1,6
105,vinden,vinden,V;IMP;PL;1,1,6
106,werden,wërdet,V;IND;PL;2;PRS,1,6
107,enpfinden,enpfindet,V;SBJV;PL;2;PRS,1,6
108,beginnen,beginnen,V;SBJV;PL;1;PRS,1,6
109,kiesen,kurn,V;IND;PL;3;PST,1,6
110,sieden,suten,V;IND;PL;3;PST,1,6
111,biegen,bieget,V;IND;PL;2;PRS,1,6
112,helfen,hilf,V;IMP;SG;2,1,6
113,swimmen,swümme,V;SBJV;SG;1;PST,1,6
114,werden,wërden,V;SBJV;PL;1;PRS,1,6
115,triegen,truget,V;IND;PL;2;PST,1,6
116,kiesen,kiesende,V.PTCP;PRS,1,6
117,werfen,wurfen,V;IND;PL;1;PST,1,6
118,ziehen,ziehe,V;SBJV;SG;1;PRS,1,6
119,überganc,überganc,N;NOM;SG,1,6
120,swimmen,swümmen,V;SBJV;PL;1;PST,1,6
121,verswinden,verswinden,V;IMP;PL;1,1,6
122,swern,swüre,V;SBJV;SG;1;PST,1,6
123,rinnen,gerunnen,V.PTCP;PST,1,6
124,werden,wërde,V;SBJV;SG;1;PRS,1,6
125,biegen,büget,V;SBJV;PL;2;PST,1,6
126,binden,gebunden,V.PTCP;PST,1,6
127,swimmen,swimmet,V;SBJV;SG;3;PRS,1,6
128,beginnen,begünne,V;SBJV;SG;1;PST,1,6
129,sieden,siedet,V;SBJV;SG;3;PRS,1,6
130,swimmen,swimmet,V;IND;SG;3;PRS,1,6
131,beginnen,beginnet,V;IND;SG;3;PRS,1,6
132,beginnen,begunnen,V.PTCP;PST,1,6
133,helfen,half,V;IND;SG;3;PST,1,6
134,burcgrave,burcgrâven,N;ACC;SG,1,6
135,vinden,vinde,V;SBJV;SG;1;PRS,1,6
136,triegen,trüge,V;SBJV;SG;3;PST,1,6
137,kiesen,kiusest,V;IND;SG;2;PRS,1,6
138,kiesen,küsest,V;SBJV;SG;2;PST,1,6
139,triegen,triuc,V;IMP;SG;2,1,6
140,slahen,slüege,V;SBJV;SG;3;PST,1,6
141,slahen,slage,V;SBJV;SG;1;PRS,1,6
142,swimmen,swimmen,V;SBJV;PL;1;PRS,1,6
143,rinnen,rinnent,V;IND;PL;3;PRS,1,6
144,betriegen,betriuge,V;IND;SG;1;PRS,1,6
145,rinnen,runnet,V;IND;PL;2;PST,1,6
146,biegen,biegen,V;SBJV;PL;3;PRS,1,6
147,trinken,trinke,V;SBJV;SG;1;PRS,1,6
148,göugrave,göugrâven,N;DAT;SG,1,6
149,triegen,triegen,V;IND;PL;1;PRS,1,6
150,binden,bindet,V;IMP;PL;2,1,6
151,göugrave,göugrâven,N;NOM;PL,1,6
152,swimmen,swümmen,V;SBJV;PL;3;PST,1,6
153,trinken,trünke,V;SBJV;SG;3;PST,1,6
154,binden,bundet,V;IND;PL;2;PST,1,6
155,verswinden,verswindet,V;SBJV;SG;3;PRS,1,6
156,biegen,bieget,V;SBJV;PL;2;PRS,1,6
157,slahen,slüegen,V;SBJV;PL;3;PST,1,6
