,lemma,form,tags,family,language
0,kýli,kýlið,N;ACC;DEF;SG,1,7
1,loðna,loðnu,N;DAT;INDF;SG,1,7
2,afklæða,afklæðið,V;IND;PL;2;PRS,1,7
3,jafntefli,jafnteflis,N;GEN;INDF;SG,1,7
4,harmóníum,harmóníuminu,N;DAT;DEF;SG,1,7
5,vöndur,vöndinn,N;ACC;DEF;SG,1,7
6,brottvísun,brottvísananna,N;GEN;DEF;PL,1,7
7,hafna,hafna,V;NFIN,1,7
8,afmælisveisla,afmælisveislur,N;NOM;INDF;PL,1,7
9,hvirfilbylur,hvirfilbyljunum,N;DAT;DEF;PL,1,7
10,bútur,búta,N;GEN;INDF;PL,1,7
11,rægja,rægjandi,V.PTCP;PRS,1,7
12,flæði,flæðisins,N;GEN;DEF;SG,1,7
13,kuti,kuta,N;ACC;INDF;PL,1,7
14,smásaga,smásagan,N;NOM;DEF;SG,1,7
15,ósk,óskarinnar,N;GEN;DEF;SG,1,7
16,cé,céið,N;NOM;DEF;SG,1,7
17,tónlist,tónlistina,N;ACC;DEF;SG,1,7
18,hvína,hvín,V;IND;SG;3;PRS,1,7
19,verufall,verufall,N;NOM;INDF;SG,1,7
20,marra,marrið,V;SBJV;PL;2;PRS,1,7
21,reim,reimarinnar,N;GEN;DEF;SG,1,7
22,skeiðklukka,skeiðklukkunnar,N;GEN;DEF;SG,1,7
23,aukafallsliður,aukafallsliðanna,N;GEN;DEF;PL,1,7
24,granni,granna,N;DAT;INDF;SG,1,7
25,ventill,ventlar,N;NOM;INDF;PL,1,7
26,laspra,laspraðir,V;IND;SG;2;PST,1,7
27,strumpur,strumpana,N;ACC;DEF;PL,1,7
28,gatnamót,gatnamót,N;ACC;INDF;SG,1,7
29,þríleikur,þríleiknum,N;DAT;DEF;SG,1,7
30,brottvísun,brottvísun,N;NOM;INDF;SG,1,7
31,ljóseind,ljóseindunum,N;DAT;DEF;PL,1,7
32,njósna,njósnar,V;IND;SG;3;PST,1,7
33,skriðdýr,skriðdýrin,N;ACC;DEF;PL,1,7
34,þvarga,þvörguðu,V;IND;PL;3;PST,1,7
35,svæfa,svæfi,V;SBJV;SG;3;PRS,1,7
36,skott,skottin,N;ACC;DEF;PL,1,7
37,spæla,spæli,V;SBJV;SG;1;PRS,1,7
38,pottur,pott,N;ACC;INDF;SG,1,7
39,hæð,hæð,N;NOM;INDF;SG,1,7
40,dauðadómur,dauðadómana,N;ACC;DEF;PL,1,7
41,daður,daður,N;NOM;INDF;SG,1,7
42,mát,mátinu,N;DAT;DEF;SG,1,7
43,andeind,andeinda,N;GEN;INDF;PL,1,7
44,greiðslukort,greiðslukortin,N;NOM;DEF;PL,1,7
45,svæði,svæðisins,N;GEN;DEF;SG,1,7
46,afsaka,afsakið,V;IND;PL;2;PRS,1,7
47,skápur,skáparnir,N;NOM;DEF;PL,1,7
48,blóðbogi,blóðbogann,N;ACC;DEF;SG,1,7
49,innfeldi,innfeldunum,N;DAT;DEF;PL,1,7
50,laspra,lasprandi,V.PTCP;PRS,1,7
51,vetrarvegur,vetrarvegar,N;GEN;INDF;SG,1,7
52,þistill,þistlum,N;DAT;INDF;PL,1,7
53,sjónvarp,sjónvarp,N;ACC;INDF;SG,1,7
54,greifi,greifa,N;ACC;INDF;PL,1,7
55,hnoð,hnoð,N;NOM;INDF;SG,1,7
56,hálfbróðir,hálfbróður,N;ACC;INDF;SG,1,7
57,kaffivél,kaffivélarnar,N;ACC;DEF;PL,1,7
58,leiðbeining,leiðbeining,N;NOM;INDF;SG,1,7
59,stari,starann,N;ACC;DEF;SG,1,7
60,veina,veinaði,V;IND;SG;1;PST,1,7
61,ólífa,ólífurnar,N;NOM;DEF;PL,1,7
62,okra,okri,V;SBJV;PL;3;PRS,1,7
63,menga,mengaðir,V;IND;SG;2;PST,1,7
64,fægja,fægðu,V;SBJV;PL;3;PST,1,7
65,lauf,laufið,N;NOM;DEF;SG,1,7
66,markgreifi,markgreifana,N;ACC;DEF;PL,1,7
67,saurblað,saurblaðið,N;ACC;DEF;SG,1,7
68,brúða,brúða,N;GEN;INDF;PL,1,7
69,postuli,postulum,N;DAT;INDF;PL,1,7
70,pláneta,plánetunni,N;DAT;DEF;SG,1,7
71,glans,glansins,N;GEN;DEF;SG,1,7
72,nágrenni,nágrennisins,N;GEN;DEF;SG,1,7
73,sveppur,sveppir,N;NOM;INDF;PL,1,7
74,kontrafagott,kontrafagottanna,N;GEN;DEF;PL,1,7
75,kögur,kögrið,N;NOM;DEF;SG,1,7
76,þarmur,þarmarnir,N;NOM;DEF;PL,1,7
77,slag,slögin,N;ACC;DEF;PL,1,7
78,úrskurða,úrskurðið,V;SBJV;PL;2;PRS,1,7
79,grænmetisæta,grænmetisætan,N;NOM;DEF;SG,1,7
80,pirra,pirrið,V;SBJV;PL;2;PRS,1,7
81,ævi,ævinni,N;DAT;DEF;SG,1,7
82,frammistaða,frammistöðu,N;DAT;INDF;SG,1,7
83,úruxi,úruxans,N;GEN;DEF;SG,1,7
84,gramm,grömmunum,N;DAT;DEF;PL,1,7
85,fótbolti,fótboltunum,N;DAT;DEF;PL,1,7
86,trefill,trefilinn,N;ACC;DEF;SG,1,7
87,trölladeig,trölladeigið,N;NOM;DEF;SG,1,7
88,bannfæra,bannfærðir,V;SBJV;SG;2;PST,1,7
