,lemma,form,tags,family,language
0,vervoeren,vervoerden,V;SBJV;PL;PST,1,8
1,huichelen,huichelen,V;IND;PL;PRS,1,8
2,accelereren,accelereren,V;NFIN,1,8
3,bepalen,bepaalde,V;IND;SG;3;PST,1,8
4,verkrachten,verkrachtten,V;IND;PL;PST,1,8
5,verkeren,verkeren,V;SBJV;PL;PRS,1,8
6,negeren,negeer,V;IND;SG;1;PRS,1,8
7,dragelijk,dragelijkste,ADJ;SPRL;DEF,1,8
8,redeneren,redeneerde,V;SBJV;SG;PST,1,8
9,ontzettend,ontzettendere,ADJ;SPRL;INDF;NEUT;SG,1,8
10,mogolisch,mogolisch,ADJ;INDF;NEUT;SG,1,8
11,Portugees,Portugese,ADJ;DEF,1,8
12,richten,richt,V;IMP;SG,1,8
13,puberen,puberden,V;SBJV;PL;PST,1,8
14,kelderen,keldert,V;IND;SG;3;PRS,1,8
15,onderscheppen,onderscheppen,V;SBJV;PL;PRS,1,8
16,onteren,onteren,V;SBJV;PL;PRS,1,8
17,ontbloten,ontbloot,V;IND;SG;3;PRS,1,8
18,fijn,fijnste,ADJ;SPRL;INDF;PL,1,8
19,transformeren,transformere,V;SBJV;SG;PRS,1,8
20,bekruipen,bekrope,V;SBJV;SG;PST,1,8
21,kietelen,kietelen,V;SBJV;PL;PRS,1,8
22,sceptisch,sceptischte,ADJ;SPRL;INDF;PL,1,8
23,intiem,intiemere,ADJ;SPRL;INDF;NEUT;SG,1,8
24,IJslands,IJslandsere,ADJ;CMPR;DEF,1,8
25,tragisch,tragisch,ADJ;INDF;NEUT;SG,1,8
26,benauwen,benauwen,V;IND;PL;PRS,1,8
27,tweetallig,tweetallig,ADJ;INDF;NEUT;SG,1,8
28,Amharisch,Amharische,ADJ;INDF;PL,1,8
29,verchromen,verchroomde,V;IND;SG;3;PST,1,8
30,lichtblauw,lichtblauwer,ADJ;CMPR;INDF;PL,1,8
31,vervoeren,vervoerden,V;IND;PL;PST,1,8
32,gewennen,gewent,V;IND;SG;3;PRS,1,8
33,seculier,seculierdere,ADJ;CMPR;DEF,1,8
34,technisch,technischte,ADJ;SPRL;INDF;PL,1,8
35,versperren,versperren,V;IND;PL;PRS,1,8
36,spinnijdig,spinnijdigere,ADJ;CMPR;INDF;PL,1,8
37,ondertekenen,ondertekende,V;IND;SG;1;PST,1,8
38,duelleren,duelleert,V;IMP;PL,1,8
39,noodzakelijk,noodzakelijkere,ADJ;SPRL;INDF;NEUT;SG,1,8
40,buitensporig,buitensporigere,ADJ;SPRL;INDF;NEUT;SG,1,8
41,betoveren,betovere,V;SBJV;SG;PRS,1,8
42,troosten,troost,V;IMP;PL,1,8
43,bezichtigen,bezichtigt,V;IND;SG;3;PRS,1,8
44,confirmeren,confirmeer,V;IMP;SG,1,8
45,koortsachtig,koortsachtig,ADJ;INDF;NEUT;SG,1,8
46,selecteren,selecteer,V;IND;SG;1;PRS,1,8
47,pandoeren,pandoerde,V;IND;SG;3;PST,1,8
48,lanceren,lanceerde,V;IND;SG;2;PST,1,8
49,krukken,krukte,V;IND;SG;3;PST,1,8
50,bevaarbaar,bevaarbaarder,ADJ;CMPR;INDF;PL,1,8
51,compileren,compileert,V;IND;SG;2;PRS,1,8
52,verliezen,verliezen,V;NFIN,1,8
53,fladderen,fladdert,V;IND;SG;2;PRS,1,8
54,marcheren,marcheren,V;IND;PL;PRS,1,8
55,abnormaal,abnormale,ADJ;CMPR;INDF;NEUT;SG,1,8
56,racistisch,racistische,ADJ;DEF,1,8
57,spoken,spoke,V;SBJV;SG;PRS,1,8
58,vertroosten,vertroost,V;IND;SG;2;PRS,1,8
59,stug,stugge,ADJ;CMPR;INDF;NEUT;SG,1,8
60,hinten,hintte,V;IND;SG;3;PST,1,8
61,economisch,economischte,ADJ;SPRL;DEF,1,8
62,tippen,tip,V;IND;SG;1;PRS,1,8
63,zwiepen,zwiepen,V;IND;PL;PRS,1,8
64,herbergen,herbergden,V;IND;PL;PST,1,8
65,versnipperen,versnippere,V;SBJV;SG;PRS,1,8
66,loeren,loeren,V;IND;PL;PRS,1,8
67,omvatten,omvat,V;IND;SG;3;PRS,1,8
68,nietszeggend,nietszeggendste,ADJ;SPRL;INDF;PL,1,8
69,racen,racen,V;SBJV;PL;PRS,1,8
70,wemelen,wemelden,V;IND;PL;PST,1,8
71,verergeren,verergeren,V;SBJV;PL;PRS,1,8
72,klikken,klikte,V;IND;SG;2;PST,1,8
73,breien,breien,V;NFIN,1,8
74,duizelingwekkend,duizelingwekkend,ADJ;INDF;NEUT;SG,1,8
75,gulzig,gulziger,ADJ;CMPR;INDF;PL,1,8
76,verkrijgen,verkrijgt,V;IND;SG;2;PRS,1,8
77,isoleren,isoleerden,V;SBJV;PL;PST,1,8
78,betreuren,betreurt,V;IND;SG;2;PRS,1,8
79,repareren,repareren,V;SBJV;PL;PRS,1,8
80,moorden,moordt,V;IMP;PL,1,8
81,gelijkvloers,gelijkvloerse,ADJ;DEF,1,8
82,sip,sipste,ADJ;SPRL;DEF,1,8
83,vermorsen,vermors,V;IMP;SG,1,8
84,smachten,smachtten,V;IND;PL;PST,1,8
85,ongelooflijk,ongelooflijkste,ADJ;SPRL;INDF;PL,1,8
86,besmetten,besmet,V;IND;SG;1;PRS,1,8
87,oneerbiedig,oneerbiedigste,ADJ;SPRL;INDF;PL,1,8
88,doodziek,doodziekste,ADJ;SPRL;INDF;PL,1,8
89,memoriseren,gememoriseerd,V.PTCP;PST,1,8
90,excentriek,excentrieker,ADJ;CMPR;INDF;PL,1,8
91,verhongeren,verhongert,V;IND;SG;3;PRS,1,8
92,klinken,klonk,V;IND;SG;3;PST,1,8
93,neerwaarts,neerwaartse,ADJ;DEF,1,8
94,betreuren,betreurde,V;SBJV;SG;PST,1,8
95,ontkoppelen,ontkoppelt,V;IND;SG;3;PRS,1,8
96,dierbaar,dierbare,ADJ;DEF,1,8
97,onscheidbaar,onscheidbare,ADJ;DEF,1,8
98,sleutelen,gesleuteld,V.PTCP;PST,1,8
99,evolueren,evolueren,V;IND;PL;PRS,1,8
100,goochelen,goochelde,V;SBJV;SG;PST,1,8
101,rappen,rapte,V;IND;SG;1;PST,1,8
102,opperen,opperde,V;IND;SG;3;PST,1,8
103,bemiddelen,bemiddelen,V;NFIN,1,8
104,converseren,converseren,V;IND;PL;PRS,1,8
105,onzorgvuldig,onzorgvuldigste,ADJ;SPRL;DEF,1,8
106,angstwekkend,angstwekkende,ADJ;INDF;PL,1,8
107,smeden,smeedde,V;IND;SG;1;PST,1,8
108,onverslaanbaar,onverslaanbaar,ADJ;INDF;NEUT;SG,1,8
109,sjorren,sjorden,V;SBJV;PL;PST,1,8
110,glaceren,glaceert,V;IND;SG;3;PRS,1,8
111,semantisch,semantische,ADJ;INDF;PL,1,8
112,vergiftigen,vergiftigen,V;IND;PL;PRS,1,8
113,ronselen,ronsel,V;IND;SG;1;PRS,1,8
114,kicken,kick,V;IMP;SG,1,8
115,geleiden,geleide,V;SBJV;SG;PRS,1,8
116,heuvelachtig,heuvelachtige,ADJ;CMPR;INDF;NEUT;SG,1,8
117,nadrukkelijk,nadrukkelijke,ADJ;CMPR;INDF;NEUT;SG,1,8
118,walmen,walmde,V;IND;SG;1;PST,1,8
119,vreedzaam,vreedzaam,ADJ;INDF;NEUT;SG,1,8
120,verdrinken,verdronk,V;IND;SG;3;PST,1,8
121,onderdrukken,onderdrukt,V;IND;SG;3;PRS,1,8
122,geus,geuze,ADJ;DEF,1,8
123,globaal,globaler,ADJ;CMPR;INDF;PL,1,8
124,aarzelen,aarzelen,V;SBJV;PL;PRS,1,8
125,penetreren,penetreren,V;NFIN,1,8
126,realiseren,realiseren,V;SBJV;PL;PRS,1,8
127,e-mailen,e-maile,V;SBJV;SG;PRS,1,8
128,eivormig,eivormige,ADJ;INDF;PL,1,8
129,culmineren,culmineerde,V;SBJV;SG;PST,1,8
130,kosteloos,kosteloze,ADJ;DEF,1,8
131,spruiten,spruit,V;IND;SG;2;PRS,1,8
132,ontaarden,ontaard,V.PTCP;PST,1,8
133,zagen,zaagde,V;SBJV;SG;PST,1,8
134,dralen,drale,V;SBJV;SG;PRS,1,8
135,regenachtig,regenachtige,ADJ;INDF;PL,1,8
136,drenken,drenkte,V;IND;SG;3;PST,1,8
137,ploeteren,ploeterde,V;IND;SG;2;PST,1,8
138,vereenvoudigen,vereenvoudigde,V;IND;SG;2;PST,1,8
139,Maltees,Malteser,ADJ;CMPR;INDF;PL,1,8
140,blunderen,blunderden,V;IND;PL;PST,1,8
141,formeren,formeerden,V;SBJV;PL;PST,1,8
142,hagelen,hagelen,V;IND;PL;PRS,1,8
143,bevoorraden,bevoorraadde,V;IND;SG;3;PST,1,8
144,snurken,snurk,V;IND;SG;1;PRS,1,8
145,onbevreesd,onbevreesde,ADJ;DEF,1,8
146,heropenen,heropene,V;SBJV;SG;PRS,1,8
147,herkennen,herkent,V;IND;SG;2;PRS,1,8
148,perfectioneren,perfectioneer,V;IND;SG;1;PRS,1,8
149,verschrikkelijk,verschrikkelijkste,ADJ;SPRL;INDF;PL,1,8
150,smokkelen,smokkelt,V;IND;SG;2;PRS,1,8
151,objectief,objectiever,ADJ;CMPR;INDF;PL,1,8
152,besparen,bespaart,V;IND;SG;2;PRS,1,8
153,adopteren,adopteerden,V;IND;PL;PST,1,8
154,wensen,wens,V;IND;SG;1;PRS,1,8
155,kalven,kalfden,V;SBJV;PL;PST,1,8
156,arriveren,arriveerden,V;IND;PL;PST,1,8
157,speels,speelser,ADJ;CMPR;INDF;PL,1,8
158,modificeren,gemodificeerd,V.PTCP;PST,1,8
159,betichten,beticht,V;IND;SG;2;PRS,1,8
160,ontdekken,ontdekten,V;IND;PL;PST,1,8
161,bevreesd,bevreesdere,ADJ;SPRL;INDF;NEUT;SG,1,8
162,hurken,hurk,V;IMP;SG,1,8
163,verengelsen,verengelsen,V;SBJV;PL;PRS,1,8
164,groeven,groefde,V;IND;SG;2;PST,1,8
165,rechten,recht,V;IND;SG;2;PRS,1,8
166,gezamenlijk,gezamenlijke,ADJ;INDF;PL,1,8
167,brullen,brul,V;IND;SG;1;PRS,1,8
168,sommeren,sommeer,V;IMP;SG,1,8
169,verhouden,verhielde,V;SBJV;SG;PST,1,8
170,dominant,dominante,ADJ;DEF,1,8
171,haten,haat,V;IND;SG;1;PRS,1,8
172,afdoend,afdoend,ADJ;INDF;NEUT;SG,1,8
173,rouwen,rouwe,V;SBJV;SG;PRS,1,8
174,gelaagd,gelaagde,ADJ;CMPR;INDF;NEUT;SG,1,8
175,blozen,gebloosd,V.PTCP;PST,1,8
176,zindelijk,zindelijkste,ADJ;SPRL;INDF;PL,1,8
177,discrimineren,discrimineerden,V;IND;PL;PST,1,8
178,onbezonnen,onbezonnen,ADJ;INDF;PL,1,8
179,galvaniseren,galvaniseert,V;IND;SG;2;PRS,1,8
180,kissebissen,kissebist,V;IMP;PL,1,8
181,overwinnen,overwinne,V;SBJV;SG;PRS,1,8
182,vervagen,vervaagden,V;IND;PL;PST,1,8
183,verstijven,verstijf,V;IND;SG;1;PRS,1,8
184,fragiel,fragiel,ADJ;INDF;NEUT;SG,1,8
185,fixen,fixen,V;SBJV;PL;PRS,1,8
186,radioactief,radioactieve,ADJ;DEF,1,8
187,zichtbaar,zichtbaarste,ADJ;SPRL;DEF,1,8
188,studentikoos,studentikooste,ADJ;SPRL;INDF;PL,1,8
189,meewarig,meewarigere,ADJ;SPRL;INDF;NEUT;SG,1,8
190,prikken,prikten,V;SBJV;PL;PST,1,8
191,beplaten,beplaatte,V;IND;SG;3;PST,1,8
192,babbelen,babbelden,V;SBJV;PL;PST,1,8
193,sporten,sporten,V;IND;PL;PRS,1,8
194,lonken,lonkte,V;IND;SG;2;PST,1,8
195,loslippig,loslippige,ADJ;DEF,1,8
196,goeden,goedt,V;IND;SG;3;PRS,1,8
197,kroelen,kroelden,V;IND;PL;PST,1,8
198,gisten,gistte,V;IND;SG;2;PST,1,8
199,subsidiëren,subsidieerden,V;IND;PL;PST,1,8
200,rollebollen,gerollebold,V.PTCP;PST,1,8
201,verstoren,verstoorde,V;IND;SG;3;PST,1,8
202,floppen,flopten,V;IND;PL;PST,1,8
203,vlechten,vlecht,V;IMP;PL,1,8
204,verhullen,verhuld,V.PTCP;PST,1,8
205,zwaaien,zwaaide,V;SBJV;SG;PST,1,8
206,schatplichtig,schatplichtigere,ADJ;CMPR;DEF,1,8
207,verprutsen,verprutste,V;IND;SG;2;PST,1,8
208,funderen,fundere,V;SBJV;SG;PRS,1,8
209,lichtgrijs,lichtgrijzere,ADJ;SPRL;INDF;NEUT;SG,1,8
210,haten,haatte,V;SBJV;SG;PST,1,8
211,verdrinken,verdronk,V;IND;SG;2;PST,1,8
212,sluik,sluikere,ADJ;SPRL;INDF;NEUT;SG,1,8
213,lucratief,lucratieve,ADJ;CMPR;INDF;NEUT;SG,1,8
214,melodieus,melodieuze,ADJ;INDF;PL,1,8
215,geëmotioneerd,geëmotioneerde,ADJ;CMPR;INDF;NEUT;SG,1,8
216,richten,richt,V;IND;SG;2;PRS,1,8
217,huilen,huilt,V;IND;SG;2;PRS,1,8
218,breidelen,breidelt,V;IND;SG;2;PRS,1,8
219,damastachtig,damastachtigere,ADJ;CMPR;DEF,1,8
220,konings,koningse,ADJ;INDF;PL,1,8
221,stedelijk,stedelijke,ADJ;DEF,1,8
222,onderling,onderlinge,ADJ;DEF,1,8
223,definiëren,definieerden,V;IND;PL;PST,1,8
224,pijnlijk,pijnlijke,ADJ;INDF;PL,1,8
225,voederen,voeder,V;IMP;SG,1,8
226,onterecht,onterechte,ADJ;CMPR;INDF;NEUT;SG,1,8
227,hydrostatisch,hydrostatisch,ADJ;INDF;NEUT;SG,1,8
228,vervolgen,vervolgen,V;IND;PL;PRS,1,8
229,lusten,lustte,V;IND;SG;3;PST,1,8
230,overeenkomstig,overeenkomstiger,ADJ;CMPR;INDF;PL,1,8
231,ontmoeten,ontmoete,V;SBJV;SG;PRS,1,8
232,roodachtig,roodachtigste,ADJ;SPRL;INDF;PL,1,8
233,beslissen,beslissen,V;SBJV;PL;PRS,1,8
234,bespotten,bespotten,V;SBJV;PL;PRS,1,8
235,benemen,beneem,V;IMP;SG,1,8
236,orgelen,orgelen,V;IND;PL;PRS,1,8
237,nestelen,genesteld,V.PTCP;PST,1,8
238,gehoorzamen,gehoorzaamde,V;IND;SG;1;PST,1,8
239,vlammen,vlammen,V;SBJV;PL;PRS,1,8
240,afgelegen,afgelegen,ADJ;INDF;PL,1,8
241,behoeven,behoefden,V;IND;PL;PST,1,8
242,becijferen,becijferde,V;IND;SG;2;PST,1,8
243,rijpen,rijpen,V;SBJV;PL;PRS,1,8
244,veroorzaken,veroorzaakte,V;IND;SG;1;PST,1,8
245,gewennen,gewenne,V;SBJV;SG;PRS,1,8
246,verplichten,verplichtte,V;IND;SG;1;PST,1,8
247,begeren,begeerde,V;IND;SG;3;PST,1,8
248,Luxemburgs,Luxemburgse,ADJ;DEF,1,8
249,relativeren,relativeerde,V;IND;SG;1;PST,1,8
250,barbaars,barbaarse,ADJ;CMPR;INDF;NEUT;SG,1,8
251,vertroosten,vertroostte,V;IND;SG;3;PST,1,8
252,kerkelijk,kerkelijke,ADJ;CMPR;INDF;NEUT;SG,1,8
253,gelig,geligste,ADJ;SPRL;INDF;PL,1,8
254,volgen,volgde,V;IND;SG;2;PST,1,8
255,roerloos,roerlozere,ADJ;SPRL;INDF;NEUT;SG,1,8
256,roerig,roerigere,ADJ;SPRL;INDF;NEUT;SG,1,8
257,verzwinden,verzwind,V;IND;SG;1;PRS,1,8
258,vergaren,vergaar,V;IND;SG;1;PRS,1,8
259,zorgzaam,zorgzame,ADJ;CMPR;INDF;NEUT;SG,1,8
260,parkachtig,parkachtiger,ADJ;CMPR;INDF;PL,1,8
261,trotseren,trotseren,V;IND;PL;PRS,1,8
262,schiften,schiften,V;SBJV;PL;PRS,1,8
263,kut,kuttere,ADJ;SPRL;INDF;NEUT;SG,1,8
264,beminnelijk,beminnelijke,ADJ;DEF,1,8
265,ridderen,ridderde,V;IND;SG;2;PST,1,8
266,ageren,ageerden,V;IND;PL;PST,1,8
267,roestvrij,roestvrijste,ADJ;SPRL;DEF,1,8
268,bekruipen,bekruip,V;IND;SG;1;PRS,1,8
269,gebieden,gebieden,V;NFIN,1,8
270,hopeloos,hopelooste,ADJ;SPRL;INDF;PL,1,8
271,meesmuilen,meesmuil,V;IMP;SG,1,8
272,zwaar,zwaar,ADJ;INDF;NEUT;SG,1,8
273,joggen,jogge,V;SBJV;SG;PRS,1,8
274,rommelen,rommelde,V;SBJV;SG;PST,1,8
275,drammen,dramt,V;IND;SG;3;PRS,1,8
276,oxideren,oxideer,V;IMP;SG,1,8
277,islamitisch,islamitischere,ADJ;CMPR;DEF,1,8
278,bevoordelen,bevoordele,V;SBJV;SG;PRS,1,8
279,krioelen,krioelen,V;SBJV;PL;PRS,1,8
280,defect,defectere,ADJ;CMPR;DEF,1,8
281,vervagen,vervage,V;SBJV;SG;PRS,1,8
282,betrappen,betrapte,V;IND;SG;3;PST,1,8
283,kwetsen,kwetsen,V;SBJV;PL;PRS,1,8
284,ongunstig,ongunstige,ADJ;INDF;PL,1,8
285,bezetten,bezet,V;IMP;SG,1,8
286,incongruent,incongruentere,ADJ;SPRL;INDF;NEUT;SG,1,8
287,correct,correct,ADJ;INDF;NEUT;SG,1,8
288,radiaal,radiaal,ADJ;INDF;NEUT;SG,1,8
289,onverbeterlijk,onverbeterlijke,ADJ;INDF;PL,1,8
290,ontduiken,ontdoken,V;IND;PL;PST,1,8
291,huichelen,huichelden,V;IND;PL;PST,1,8
292,gemeenschappelijk,gemeenschappelijke,ADJ;CMPR;INDF;NEUT;SG,1,8
293,koelen,koelden,V;IND;PL;PST,1,8
294,spiritueel,spirituele,ADJ;DEF,1,8
295,vijfvoudig,vijfvoudige,ADJ;INDF;PL,1,8
296,kostbaar,kostbare,ADJ;CMPR;INDF;NEUT;SG,1,8
297,provoceren,provoceren,V;IND;PL;PRS,1,8
298,zappen,zapte,V;SBJV;SG;PST,1,8
299,zegevieren,zegeviert,V;IND;SG;2;PRS,1,8
300,flikkeren,flikkert,V;IMP;PL,1,8
301,berispen,berispte,V;IND;SG;3;PST,1,8
302,intrigeren,intrigeerde,V;IND;SG;3;PST,1,8
303,roemen,roem,V;IMP;SG,1,8
304,knagen,knaag,V;IMP;SG,1,8
305,onsamenhangend,onsamenhangendste,ADJ;SPRL;DEF,1,8
306,wetteloos,wetteloze,ADJ;DEF,1,8
307,efficiënt,efficiënte,ADJ;DEF,1,8
308,suggereren,gesuggereerd,V.PTCP;PST,1,8
309,masturberen,masturbeerde,V;IND;SG;1;PST,1,8
310,ontmaagden,ontmaagdde,V;IND;SG;3;PST,1,8
311,bestrijken,bestreke,V;SBJV;SG;PST,1,8
312,sudderen,suddert,V;IND;SG;2;PRS,1,8
313,concipiëren,concipieerde,V;IND;SG;1;PST,1,8
314,variëren,varieer,V;IMP;SG,1,8
315,zweefvliegen,zweefvliegt,V;IMP;PL,1,8
316,decoderen,decoderen,V;NFIN,1,8
