,lemma,form,tags,family,language
0,steindød,steindøde,ADJ;DEF;SG+PL,1,9
1,konglomerat,konglomerater,N;NDEF;PL,1,9
2,konkurranse,konkurranser,N;NDEF;PL,1,9
3,forstå,forstår,V;PRS,1,9
4,adverb,adverbet,N;DEF;SG,1,9
5,flyplass,flyplasser,N;NDEF;PL,1,9
6,pasient,pasientene,N;DEF;PL,1,9
7,behov,behov,N;NDEF;PL,1,9
8,gjest,gjesten,N;DEF;SG,1,9
9,mikrobiolog,mikrobiologer,N;NDEF;PL,1,9
10,hoste,hostende,V.PTCP;PRS,1,9
11,flyselskap,flyselskapa,N;DEF;PL,1,9
12,anekdote,anekdoter,N;NDEF;PL,1,9
13,eksemplarisk,eksemplariske,ADJ;DEF;SG+PL,1,9
14,folkevogn,folkevogner,N;NDEF;PL,1,9
15,postkort,postkortet,N;DEF;SG,1,9
16,postkontor,postkontoret,N;DEF;SG,1,9
17,steikepanne,steikepannen,N;DEF;SG,1,9
18,liste,list,V;IMP,1,9
19,privatlærer,privatlærere,N;NDEF;PL,1,9
20,under,under,N;NDEF;SG,1,9
21,kondensere,kondensert,V.PTCP;PST,1,9
22,standard,standardene,N;DEF;PL,1,9
23,undervurdering,undervurderingen,N;DEF;SG,1,9
24,algoritme,algoritmen,N;DEF;SG,1,9
25,villfarelse,villfarelser,N;NDEF;PL,1,9
26,biometrisk,biometrisk,ADJ;NEUT;SG,1,9
27,monument,monumentene,N;DEF;PL,1,9
28,krangel,krangler,N;NDEF;PL,1,9
29,kaste,kaster,N;NDEF;PL,1,9
30,avfyre,avfyrer,V;PRS,1,9
31,svovel,svovelen,N;DEF;SG,1,9
32,renessanse,renessanser,N;NDEF;PL,1,9
33,vadested,vadesteder,N;NDEF;PL,1,9
34,pakke,pakker,N;NDEF;PL,1,9
35,dverg,dverger,N;NDEF;PL,1,9
36,anneks,annekser,N;NDEF;PL,1,9
37,evangelium,evangelier,N;NDEF;PL,1,9
38,kjerub,kjeruber,N;NDEF;PL,1,9
39,dynetrekk,dynetrekkene,N;DEF;PL,1,9
40,volum,volumene,N;DEF;PL,1,9
41,kollektiv,kollektive,ADJ;DEF;SG+PL,1,9
42,hærverk,hærverkene,N;DEF;PL,1,9
43,industrialisere,industrialiser,V;IMP,1,9
44,libyer,libyerne,N;DEF;PL,1,9
45,kran,kranene,N;DEF;PL,1,9
46,nøtt,nøtten,N;DEF;SG,1,9
47,avdød,avdøde,ADJ;DEF;SG+PL,1,9
48,martyr,martyrene,N;DEF;PL,1,9
49,hånd,hender,N;NDEF;PL,1,9
50,nese,nesene,N;DEF;PL,1,9
51,avrunde,avrundet,V;PST,1,9
52,fiken,fikener,N;NDEF;PL,1,9
53,basalt,basaltene,N;DEF;PL,1,9
54,erosjon,erosjonen,N;DEF;SG,1,9
55,nummen,numment,ADJ;NEUT,1,9
56,tusjpenn,tusjpenner,N;NDEF;PL,1,9
57,portugiser,portugiseren,N;DEF;SG,1,9
58,punkt,punkter,N;NDEF;PL,1,9
59,dagbok,dagboka,N;DEF;SG,1,9
60,byge,byger,N;NDEF;PL,1,9
61,a,a-er,N;NDEF;PL,1,9
62,colombianer,colombianeren,N;DEF;SG,1,9
63,sofistikert,sofistikert,ADJ;NEUT;SG,1,9
64,aldring,aldringa,N;DEF;SG,1,9
65,hoppe,hopper,V;PRS,1,9
66,mor,mora,N;DEF;SG,1,9
67,oppdage,oppdag,V;IMP,1,9
68,sort,sortere,ADJ;CMPR,1,9
69,alge,algen,N;DEF;SG,1,9
70,male,mal,V;IMP,1,9
71,USA-amerikaner,USA-amerikaneren,N;DEF;SG,1,9
72,bestilling,bestillingene,N;DEF;PL,1,9
73,korn,korna,N;DEF;SG,1,9
74,algebra,algebraer,N;NDEF;PL,1,9
75,verdenshav,verdenshavet,N;DEF;SG,1,9
76,familie,familien,N;DEF;SG,1,9
77,teller,telleren,N;DEF;SG,1,9
78,forandre,forandra,V;PST,1,9
79,askebeger,askebegra,N;DEF;PL,1,9
80,akrobat,akrobatene,N;DEF;PL,1,9
81,børste,børstet,V;PST,1,9
82,turve,tuevte,V;PST,1,9
83,ravn,ravnene,N;DEF;PL,1,9
84,rev,reva,N;DEF;PL,1,9
85,piggsvin,piggsvinet,N;DEF;SG,1,9
86,ideologi,ideologien,N;DEF;SG,1,9
87,rotere,roterer,V;PRS,1,9
88,vinterlig,vinterlige,ADJ;DEF;SG+PL,1,9
89,analysere,analysert,V.PTCP;PST,1,9
90,klon,klonene,N;DEF;PL,1,9
91,effekt,effekten,N;DEF;SG,1,9
92,skuespiller,skuespillerne,N;DEF;PL,1,9
93,multiplum,multiplumer,N;NDEF;PL,1,9
94,manøver,manøvere,N;NDEF;PL,1,9
95,korporal,korporalen,N;DEF;SG,1,9
96,dobbeltseng,dobbeltsengene,N;DEF;PL,1,9
97,makrell,makrellene,N;DEF;PL,1,9
98,holdning,holdningene,N;DEF;PL,1,9
99,øyelokk,øyelokka,N;DEF;PL,1,9
100,bispedømme,bispedømma,N;DEF;PL,1,9
101,akselerasjon,akselerasjonene,N;DEF;PL,1,9
102,tibetaner,tibetanere,N;NDEF;PL,1,9
103,rockering,rockeringene,N;DEF;PL,1,9
104,nær,nærmere,ADJ;CMPR,1,9
105,vanskeliggjøre,vanskeliggjorde,V;PST,1,9
106,hjørne,hjørnene,N;DEF;PL,1,9
107,kontakte,kontakta,V;PST,1,9
108,glemme,glemmer,V;PRS,1,9
109,operasjon,operasjonene,N;DEF;PL,1,9
110,tuvaler,tuvaleren,N;DEF;SG,1,9
111,vandre,vandra,V;PST,1,9
112,telle,talte,V;PST,1,9
113,rasistisk,rasistiske,ADJ;DEF;SG+PL,1,9
114,sukkerrør,sukkerrørene,N;DEF;PL,1,9
115,and,anda,N;DEF;SG,1,9
116,seilbåt,seilbåten,N;DEF;SG,1,9
117,geologi,geologien,N;DEF;SG,1,9
118,kamera,kameraet,N;DEF;SG,1,9
119,skihopping,skihoppingen,N;DEF;SG,1,9
120,sabbat,sabbaten,N;DEF;SG,1,9
121,stjerneskudd,stjerneskuddene,N;DEF;PL,1,9
122,pall,pallen,N;DEF;SG,1,9
123,løp,løpene,N;DEF;PL,1,9
124,halvtime,halvtimen,N;DEF;SG,1,9
125,hammer,hamrene,N;DEF;PL,1,9
126,blåbær,blåbær,N;NDEF;PL,1,9
127,hodetelefon,hodetelefonene,N;DEF;PL,1,9
128,drammenser,drammensere,N;NDEF;PL,1,9
129,ekvator,ekvatoren,N;DEF;SG,1,9
130,veiskilt,veiskilta,N;DEF;PL,1,9
131,bregne,bregna,N;DEF;SG,1,9
132,dørslag,dørslagene,N;DEF;PL,1,9
133,vadested,vadestedet,N;DEF;SG,1,9
134,invasjon,invasjonene,N;DEF;PL,1,9
135,likestrøm,likestrømmer,N;NDEF;PL,1,9
136,rulleskøyte,rulleskøyter,N;NDEF;PL,1,9
137,åkle,åkleet,N;DEF;SG,1,9
138,older,oldra,N;DEF;SG,1,9
139,smile,smiler,V;PRS,1,9
140,drikke,drikk,V;IMP,1,9
141,lære,læren,N;DEF;SG,1,9
142,kanin,kaninene,N;DEF;PL,1,9
143,ordbok,ordbøker,N;NDEF;PL,1,9
144,stær,stærene,N;DEF;PL,1,9
145,børs,børsene,N;DEF;PL,1,9
146,pinnsvin,pinnsvina,N;DEF;PL,1,9
147,kjøl,kjølen,N;DEF;SG,1,9
148,hypnose,hypnoser,N;NDEF;PL,1,9
149,vogntog,vogntog,N;NDEF;PL,1,9
150,tru,truer,N;NDEF;PL,1,9
151,skifte,skiftet,V;PST,1,9
152,udødelig,udødelig,ADJ;NEUT;SG,1,9
153,tillegg,tillegga,N;DEF;PL,1,9
154,varsler,varslerne,N;DEF;PL,1,9
155,sylindrisk,sylindriske,ADJ;DEF;SG+PL,1,9
156,fossefall,fossefallet,N;DEF;SG,1,9
157,bakteriell,bakterielt,ADJ;NEUT;SG,1,9
158,industrialisere,industrialiserende,V.PTCP;PRS,1,9
