,lemma,form,tags,family,language
0,graviditet,graviditeters,N;GEN;INDF;PL,1,10
1,framåtskridande,framåtskridande,N;NOM;INDF;SG,1,10
2,hungersnöd,hungersnöds,N;GEN;INDF;SG,1,10
3,dokumentera,dokumenterar,V;IND;PRS;ACT,1,10
4,extrapolera,extrapolerade,V;IND;PST;ACT,1,10
5,tiotusental,tiotusentalen,N;NOM;DEF;PL,1,10
6,halsband,halsband,N;NOM;INDF;PL,1,10
7,reformator,reformatorerna,N;NOM;DEF;PL,1,10
8,remsläsare,remsläsarnas,N;GEN;DEF;PL,1,10
9,imma,immans,N;GEN;DEF;SG,1,10
10,förföljelse,förföljelse,N;NOM;INDF;SG,1,10
11,il,ils,N;GEN;INDF;SG,1,10
12,elektron,elektronernas,N;GEN;DEF;PL,1,10
13,katodstrålerör,katodstrålerör,N;NOM;INDF;SG,1,10
14,ecuadorianska,ecuadorianskas,N;GEN;INDF;SG,1,10
15,skilling,skillingars,N;GEN;INDF;PL,1,10
16,EU-minister,EU-ministrarna,N;NOM;DEF;PL,1,10
17,tratt,trattens,N;GEN;DEF;SG,1,10
18,isflak,isflak,N;NOM;INDF;SG,1,10
19,emblem,emblem,N;NOM;INDF;SG,1,10
20,erövra,erövras,V;IND;PRS;PASS,1,10
21,erektion,erektionen,N;NOM;DEF;SG,1,10
22,gudfader,gudfader,N;NOM;INDF;SG,1,10
23,juliamängd,juliamängdens,N;GEN;DEF;SG,1,10
24,anslutningsakt,anslutningsakters,N;GEN;INDF;PL,1,10
25,hjässa,hjässornas,N;GEN;DEF;PL,1,10
26,örtte,örtteerna,N;NOM;DEF;PL,1,10
27,rekryt,rekryternas,N;GEN;DEF;PL,1,10
28,lins,linsers,N;GEN;INDF;PL,1,10
29,nordpol,nordpol,N;NOM;INDF;SG,1,10
30,stubin,stubinernas,N;GEN;DEF;PL,1,10
31,filma,filmas,V;NFIN;PASS,1,10
32,urna,urnornas,N;GEN;DEF;PL,1,10
33,bulevard,bulevardens,N;GEN;DEF;SG,1,10
34,spelpjäs,spelpjäsers,N;GEN;INDF;PL,1,10
35,tesaurus,tesaurusars,N;GEN;INDF;PL,1,10
36,statsminister,statsministern,N;NOM;DEF;SG,1,10
37,homofon,homofonens,N;GEN;DEF;SG,1,10
38,fjättra,fjättrande,V.PTCP;PRS,1,10
39,parabel,parabeln,N;NOM;DEF;SG,1,10
40,stavningskontroll,stavningskontroll,N;NOM;INDF;SG,1,10
41,materiel,materielens,N;GEN;DEF;SG,1,10
42,usurpator,usurpatorns,N;GEN;DEF;SG,1,10
