,lemma,form,tags,family,language
0,boro,bɛboroee,V;PST+IMMED,3,1
1,tow .. mu,tow .. mu,V;HAB;PRS,3,1
2,dum,dumee,V;HAB;PST,3,1
3,ba,ammbɛba,V;NEG;PST+IMMED,3,1
4,yi ayɛw,nnkɔyi ayɛwee,V;PRF;NEG;PRS;LGSPEC1,3,1
5,yi,annyi,V;HAB;NEG;PST,3,1
6,ma so,nnkɔma so,V;NEG;PRS;LGSPEC1,3,1
7,di nkonim,nna nndi nkonimee,V;HAB+PRF;NEG;PST,3,1
8,kyiri,nna rekɔkyiri,V;PROG;PST;LGSPEC1,3,1
9,mia,akɔmia,V;PRF;PRS;LGSPEC1,3,1
10,kenkan,rebɛkenkan,V;PROG;PRS+IMMED,3,1
11,guare,mma nnguare,V;IMP;NEG;PRS,3,1
12,tow,renntow,V;HAB;NEG;FUT,3,1
13,nyam,nna akɔnyam,V;PRF;PST;LGSPEC1,3,1
14,yɛ adwuma,annyɛ adwuma,V;HAB;NEG;PST,3,1
15,gu nsu,nna rekɔgu nsu,V;PROG;PST;LGSPEC1,3,1
16,nyam,mmbɛnyamee,V;PRF;NEG;PRS+IMMED,3,1
17,da,da,V;HAB;PRS,3,1
18,kyereɛw,mma nnkyereɛw,V;IMP;NEG;PRS,3,1
19,wo,ammbɛwo,V;NEG;PST+IMMED,3,1
20,yew,nna remmbɛyew,V;PROG;NEG;PST+IMMED,3,1
21,hyina,nhyina,V;SBJV;PRS,3,1
22,kɔ,nkɔ,V;SBJV;PRS,3,1
23,huruw,huruw,V;HAB;PRS,3,1
24,siw,kɔsiwee,V;PST;LGSPEC1,3,1
25,tew,bɛtew,V;HAB;FUT,3,1
26,yi,nna rennyi,V;HAB+PROG;NEG;PST,3,1
27,ma,mmbɛmaee,V;PRF;NEG;PRS+IMMED,3,1
28,guare,abɛguare,V;PRF;PRS+IMMED,3,1
29,tɔn,abɛtɔn,V;PRF;PRS+IMMED,3,1
30,gu nsu,rennkɔgu nsu,V;PROG;NEG;PRS;LGSPEC1,3,1
31,kyia,rennkɔkyia,V;PROG;NEG;PRS;LGSPEC1,3,1
32,da,bɛda,V;HAB;FUT,3,1
33,hwehwɛ,nnhwehwɛ,V;HAB;NEG;PRS,3,1
34,kasa,nna rekasa,V;HAB+PROG;PST,3,1
35,da ase,reda ase,V;HAB+PROG;PRS,3,1
36,bɔ waw,nna rennkɔbɔ waw,V;PROG;NEG;PST;LGSPEC1,3,1
37,pɛ,pɛee,V;HAB;PST,3,1
38,fow,fowee,V;HAB;PST,3,1
39,soɛr,ammbɛsoɛr,V;NEG;PST+IMMED,3,1
40,hunti,nnhunti,V;HAB;NEG;PRS,3,1
41,guare,aguare,V;HAB+PRF;PRS,3,1
42,yew,reyew,V;HAB+PROG;PRS,3,1
43,tena,rebɛtena,V;PROG;PRS+IMMED,3,1
44,bɔ waw,nnkɔbɔ waw,V;NEG;PRS;LGSPEC1,3,1
45,wosow,awosow,V;HAB+PRF;PRS,3,1
46,da ase,nna reda ase,V;HAB+PROG;PST,3,1
47,da,nda,V;SBJV;PRS,3,1
