,lemma,form,tags,family,language
0,gbele,gbele,V;HAB;PRS,3,2
1,joo,joo,V;NFIN,3,2
2,he,he,V;NFIN,3,2
3,ŋa,ŋako,V;HAB;NEG;PRS,3,2
4,gbi,gbi,V;NFIN,3,2
5,sele,seleko,V;HAB;NEG;PRS,3,2
6,kɔɔ,baakɔɔ,V;HAB;FUT,3,2
7,wɔlɔmɔ,wɔlɔmɔ,V;NFIN,3,2
8,kɔɔ,kɔɔee,V;NEG;PRS,3,2
9,sɔle,sɔle,V;NFIN,3,2
10,joo,baajoo,V;HAB;FUT,3,2
11,la,laee,V;HAB;NEG;FUT,3,2
12,bɔ,bɔ,V;NFIN,3,2
13,faa,faaee,V;NEG;PRS,3,2
14,sele,seleee,V;HAB;NEG;PST,3,2
15,tsɔɔ,baatsɔɔ,V;HAB;FUT,3,2
16,fɔ,fɔee,V;NEG;PRS,3,2
17,sɔle,sɔleee,V;HAB;NEG;FUT,3,2
18,tsa,tsaee,V;HAB;NEG;FUT,3,2
19,kota,kotako,V;HAB;NEG;PRS,3,2
20,joo,jooee,V;HAB;NEG;PST,3,2
21,sumɔ,baasumɔ,V;HAB;FUT,3,2
22,kpasa,ŋkpasa,V;PRS,3,2
23,gbi,gbi,V;HAB;PST,3,2
24,joo,jooko,V;HAB;NEG;PRS,3,2
25,na,nako,V;HAB;NEG;PRS,3,2
26,tsɔse,ŋtsɔse,V;PRS,3,2
27,fee,ŋfee,V;PRS,3,2
28,fala,fala,V;HAB;PST,3,2
29,wɔdɔi,wɔdɔiee,V;NEG;PRS,3,2
30,la,laee,V;NEG;PRS,3,2
31,gblɛ,gblɛee,V;HAB;NEG;FUT,3,2
32,hi,hiee,V;NEG;PRS,3,2
33,wɔ,wɔee,V;HAB;NEG;PST,3,2
34,la,baala,V;HAB;FUT,3,2
35,tsi,tsi,V;HAB;PRS,3,2
36,nyiɛ,nyiɛee,V;NEG;PRS,3,2
37,kase,ŋkase,V;PRS,3,2
38,kpe,kpeee,V;NEG;PRS,3,2
39,kpasa,baakpasa,V;HAB;FUT,3,2
40,sele,sele,V;HAB;PRS,3,2
41,na,ŋna,V;PRS,3,2
42,kpasa,kpasaee,V;NEG;PRS,3,2
43,fɔ,fɔee,V;HAB;NEG;PST,3,2
44,hiɛ,hiɛee,V;HAB;NEG;PST,3,2
45,daa,daako,V;HAB;NEG;PRS,3,2
46,na,na,V;NFIN,3,2
47,kwɛ,kwɛ,V;HAB;PRS,3,2
48,daa,daaee,V;HAB;NEG;FUT,3,2
49,kota,kota,V;HAB;PRS,3,2
50,hia,hia,V;NFIN,3,2
51,lɛmɔ,lɛmɔko,V;HAB;NEG;PRS,3,2
52,futu,futuee,V;HAB;NEG;PST,3,2
53,kase,kase,V;HAB;PRS,3,2
54,jie,jie,V;HAB;PRS,3,2
55,lɛmɔ,lɛmɔ,V;HAB;PRS,3,2
56,tsuku,tsuku,V;HAB;PRS,3,2
57,tsɔɔ,ŋtsɔɔ,V;PRS,3,2
58,joo,joo,V;HAB;PST,3,2
59,kpɛtɛ,kpɛtɛko,V;HAB;NEG;PRS,3,2
60,mi,baami,V;HAB;FUT,3,2
61,kai,kaiko,V;HAB;NEG;PRS,3,2
62,ku,kuee,V;NEG;PRS,3,2
63,tee,baatee,V;HAB;FUT,3,2
64,fɔ,fɔ,V;HAB;PST,3,2
65,shamɔ,ŋshamɔ,V;PRS,3,2
66,da,dako,V;HAB;NEG;PRS,3,2
67,kafo,kafo,V;HAB;PST,3,2
68,hiɛ,hiɛee,V;HAB;NEG;FUT,3,2
69,wo,woko,V;HAB;NEG;PRS,3,2
70,fu,fuee,V;HAB;NEG;PST,3,2
71,gbi,baagbi,V;HAB;FUT,3,2
72,gbi,gbiee,V;HAB;NEG;PST,3,2
73,yɛ,yɛ,V;NFIN,3,2
74,tawɔ,ŋtawɔ,V;PRS,3,2
75,le,baale,V;HAB;FUT,3,2
76,kɔ,ŋkɔ,V;PRS,3,2
77,sɔle,sɔleee,V;NEG;PRS,3,2
78,kase,kaseee,V;NEG;PRS,3,2
79,tsine,ŋtsine,V;PRS,3,2
80,hi,hi,V;HAB;PRS,3,2
81,tswaa,tswaa,V;HAB;PRS,3,2
82,bɛɛ,bɛɛ,V;NFIN,3,2
83,du,duko,V;HAB;NEG;PRS,3,2
84,he,baahe,V;HAB;FUT,3,2
85,tee,teeko,V;HAB;NEG;PRS,3,2
86,kpɛtɛ,ŋkpɛtɛ,V;PRS,3,2
87,ju,juko,V;HAB;NEG;PRS,3,2
88,wɔ,wɔ,V;HAB;PRS,3,2
89,ha,ha,V;HAB;PRS,3,2
90,shamɔ,shamɔee,V;HAB;NEG;PST,3,2
91,sɔle,sɔle,V;HAB;PRS,3,2
92,hiɛ,hiɛ,V;HAB;PST,3,2
93,sumɔ,sumɔee,V;NEG;PRS,3,2
94,kɔ,kɔ,V;HAB;PRS,3,2
95,ha,baaha,V;HAB;FUT,3,2
96,tsu,ŋtsu,V;PRS,3,2
97,tawɔ,tawɔ,V;HAB;PST,3,2
98,wɔlɔmɔ,wɔlɔmɔ,V;HAB;PRS,3,2
99,fo,fo,V;NFIN,3,2
100,wɔdɔi,wɔdɔiee,V;HAB;NEG;FUT,3,2
101,tawɔ,baatawɔ,V;HAB;FUT,3,2
102,tuu,tuuee,V;NEG;PRS,3,2
103,mɔ,mɔ,V;HAB;PST,3,2
104,bo,boee,V;NEG;PRS,3,2
105,fo,baafo,V;HAB;FUT,3,2
106,ku,kuee,V;HAB;NEG;PST,3,2
107,gbo,gboko,V;HAB;NEG;PRS,3,2
108,ye nkunim,ye nkunimko,V;HAB;NEG;PRS,3,2
109,tsɛ,tsɛee,V;HAB;NEG;FUT,3,2
110,na,na,V;HAB;PRS,3,2
111,ŋmɔ,ŋmɔee,V;NEG;PRS,3,2
112,taa,taa,V;HAB;PST,3,2
113,hiɛ,baahiɛ,V;HAB;FUT,3,2
114,kɔ,kɔee,V;HAB;NEG;FUT,3,2
115,wa,waee,V;HAB;NEG;PST,3,2
116,tsɔɔ,tsɔɔko,V;HAB;NEG;PRS,3,2
117,gbla,gblako,V;HAB;NEG;PRS,3,2
118,lɛmɔ,lɛmɔee,V;NEG;PRS,3,2
119,kane,kane,V;HAB;PRS,3,2
120,tsɔse,tsɔse,V;NFIN,3,2
121,kai,kai,V;HAB;PST,3,2
122,jie,ŋjie,V;PRS,3,2
123,mi,miee,V;NEG;PRS,3,2
124,gbele,ŋgbele,V;PRS,3,2
125,fala,falaee,V;HAB;NEG;FUT,3,2
126,bi,biee,V;HAB;NEG;PST,3,2
127,tsɔɔ,tsɔɔ,V;HAB;PST,3,2
128,ya,yaee,V;NEG;PRS,3,2
129,tuu,tuu,V;HAB;PST,3,2
130,kane,kaneko,V;HAB;NEG;PRS,3,2
131,hi,baahi,V;HAB;FUT,3,2
132,hi,ŋhi,V;PRS,3,2
133,jaa,jaaee,V;HAB;NEG;PST,3,2
134,la,ŋla,V;PRS,3,2
135,hɔɔ,hɔɔ,V;HAB;PRS,3,2
136,gbele,gbeleee,V;NEG;PRS,3,2
137,jɔ,jɔee,V;HAB;NEG;FUT,3,2
138,wɔ,ŋwɔ,V;PRS,3,2
139,ŋmɔɔ,ŋmɔɔ,V;NFIN,3,2
140,bɔ,bɔ,V;HAB;PST,3,2
141,fala,baafala,V;HAB;FUT,3,2
142,ku,ŋku,V;PRS,3,2
143,fɔflɔ,fɔflɔ,V;HAB;PST,3,2
144,futu,futuko,V;HAB;NEG;PRS,3,2
145,nu,nuee,V;HAB;NEG;PST,3,2
146,daa,ŋdaa,V;PRS,3,2
147,wɔdɔi,wɔdɔiko,V;HAB;NEG;PRS,3,2
148,tawɔ,tawɔ,V;NFIN,3,2
149,taa,taaee,V;HAB;NEG;PST,3,2
150,futu,futuee,V;HAB;NEG;FUT,3,2
151,kpe,baakpe,V;HAB;FUT,3,2
152,bɔ,baabɔ,V;HAB;FUT,3,2
153,kase,kaseko,V;HAB;NEG;PRS,3,2
154,jɔ,ŋjɔ,V;PRS,3,2
155,sha,ŋsha,V;PRS,3,2
156,yɛ,yɛko,V;HAB;NEG;PRS,3,2
157,wɔ,wɔ,V;NFIN,3,2
158,tsɔɔ,tsɔɔee,V;HAB;NEG;FUT,3,2
159,blɛ,baablɛ,V;HAB;FUT,3,2
160,gbla,gblaee,V;HAB;NEG;FUT,3,2
161,wa,wa,V;HAB;PRS,3,2
162,bɔ,ŋbɔ,V;PRS,3,2
163,tsa,tsa,V;HAB;PST,3,2
164,yɛ,ŋyɛ,V;PRS,3,2
165,shwishwia,ŋshwishwia,V;PRS,3,2
166,tsuku,tsuku,V;HAB;PST,3,2
167,tee,ŋtee,V;PRS,3,2
168,ta,taee,V;HAB;NEG;FUT,3,2
169,mɛ,mɛ,V;HAB;PST,3,2
170,na,na,V;HAB;PST,3,2
171,taa,baataa,V;HAB;FUT,3,2
172,hiɛ,hiɛee,V;NEG;PRS,3,2
173,wɔlɔmɔ,ŋwɔlɔmɔ,V;PRS,3,2
174,le,ŋle,V;PRS,3,2
175,ŋmɔɔ,baaŋmɔɔ,V;HAB;FUT,3,2
