,lemma,form,tags,family,language
0,sanisina,ke sanisina,V;PRS,3,3
1,nwa,kunwa,V;NFIN,3,3
2,nwa,ke nwa,V;PRS,3,3
3,teta,kuteta,V;NFIN,3,3
4,sasula,ta kusasula,V;FUT,3,3
5,sompisa,sompisaka,V;PST,3,3
6,ta,kuta,V;NFIN,3,3
7,tonganana,tongananaka,V;PST,3,3
8,tunga,kutunga,V;NFIN,3,3
9,dia,ke dia,V;PRS,3,3
10,tuika,kutuika,V;NFIN,3,3
11,tatamana,tatamanaka,V;PST,3,3
12,pamuka,ke pamuka,V;PRS,3,3
13,tanguna ,tanguna ka,V;PST,3,3
14,sobasana,ta kusobasana,V;FUT,3,3
15,simbidila,ta kusimbidila,V;FUT,3,3
16,tina,ta kutina,V;FUT,3,3
17,tangisa,tangisaka,V;PST,3,3
18,sekisa,sekisaka,V;PST,3,3
19,vambana,ta kuvambana,V;FUT,3,3
20,tunga,ta kutunga,V;FUT,3,3
21,toma,kutoma,V;NFIN,3,3
22,tengola,ke tengola,V;PRS,3,3
23,sanisina,kusanisina,V;NFIN,3,3
24,sosila,ke sosila,V;PRS,3,3
25,pisuka,ta kupisuka,V;FUT,3,3
26,sadila,ta kusadila,V;FUT,3,3
27,zieta,ta kuzieta,V;FUT,3,3
28,sampuka,sampukaka,V;PST,3,3
29,sivika,kusivika,V;NFIN,3,3
30,tengika,tengikaka,V;PST,3,3
31,vambana,kuvambana,V;NFIN,3,3
32,klikia,ta kuklikia,V;FUT,3,3
33,susumuka,ke susumuka,V;PRS,3,3
34,tonganana,ke tonganana,V;PRS,3,3
35,sakana,sakanaka,V;PST,3,3
36,sungama,kusungama,V;NFIN,3,3
37,tuela,ke tuela,V;PRS,3,3
38,tilumuka,kutilumuka,V;NFIN,3,3
39,tomisa,kutomisa,V;NFIN,3,3
40,tunga,tungaka,V;PST,3,3
41,singa,kusinga,V;NFIN,3,3
42,tengama,ke tengama,V;PRS,3,3
43,toboka,kutoboka,V;NFIN,3,3
44,panza,ta kupanza,V;FUT,3,3
45,tambudila,kutambudila,V;NFIN,3,3
46,tutisa,tutisaka,V;PST,3,3
47,nwa,ta kunwa,V;FUT,3,3
48,sabula,ke sabula,V;PRS,3,3
49,tatika ,ke tatika ,V;PRS,3,3
50,samuna ,samuna ka,V;PST,3,3
51,toloka,tolokaka,V;PST,3,3
52,sakalala,ta kusakalala,V;FUT,3,3
53,sindisa,ta kusindisa,V;FUT,3,3
54,sasula,kusasula,V;NFIN,3,3
55,tsoka,ke tsoka,V;PRS,3,3
56,songa,kusonga,V;NFIN,3,3
57,simbisa,ke simbisa,V;PRS,3,3
58,suasuana,kusuasuana,V;NFIN,3,3
59,suama,suamaka,V;PST,3,3
60,tsubula,tsubulaka,V;PST,3,3
61,tutana,kotutana,V;NFIN,3,3
62,timbula,ke timbula,V;PRS,3,3
63,tsubuka,ke tsubuka,V;PRS,3,3
64,tunta,ke tunta,V;PRS,3,3
65,sakumuna,sakumunaka,V;PST,3,3
66,tinguna,ke tinguna,V;PRS,3,3
67,tuba,kutuba,V;NFIN,3,3
68,tengama,tengamaka,V;PST,3,3
69,tedika,ke tedika,V;PRS,3,3
70,sonikina,sonikinaka,V;PST,3,3
71,pamuka,kupamuka,V;NFIN,3,3
72,tekita,ta kutekita,V;FUT,3,3
73,tina,ke tina,V;PRS,3,3
74,tilumuna,tilumunaka,V;PST,3,3
75,tuika,tuikaka,V;PST,3,3
76,santisa ,kusantisa ,V;NFIN,3,3
77,klikia,ke klikia,V;PRS,3,3
78,tumama,ke tumama,V;PRS,3,3
79,savukisa ,savukisa ka,V;PST,3,3
80,panza,kupanza,V;NFIN,3,3
81,tala,talaka,V;PST,3,3
82,sobasana,kusobasana,V;NFIN,3,3
83,sobasana,sobasanaka,V;PST,3,3
84,sasa,kusasa,V;NFIN,3,3
85,tafuna,tafunaka,V;PST,3,3
86,tuadisa,kutuadisa,V;NFIN,3,3
87,singa,ke singa,V;PRS,3,3
88,sonika,kusonika,V;NFIN,3,3
89,tambula,ta kutambula,V;FUT,3,3
90,sana,sanaka,V;PST,3,3
91,tunta,ta kutunta,V;FUT,3,3
92,panza,panzaka,V;PST,3,3
93,sakumuna,ta kusakumuna,V;FUT,3,3
94,tolola,tololaka,V;PST,3,3
95,pitakasa,ke pitakasa,V;PRS,3,3
96,sinzila,kusinzila,V;NFIN,3,3
97,tina,kutina,V;NFIN,3,3
98,tomisa,tomisaka,V;PST,3,3
99,sisila,ta kusisila,V;FUT,3,3
100,tanina ,tanina ka,V;PST,3,3
101,tonta,ke tonta,V;PRS,3,3
102,tafuna,kutafuna,V;NFIN,3,3
103,sambisa,sambisaka,V;PST,3,3
104,tuma,kutuma,V;NFIN,3,3
105,tsona ,ke tsona ,V;PRS,3,3
106,tambika,ke tambika,V;PRS,3,3
107,tumbula,ke tumbula,V;PRS,3,3
108,sinsana,ta kusinsana,V;FUT,3,3
109,panza,ke panza,V;PRS,3,3
110,pamuna,pamunaka,V;PST,3,3
111,seka,sekaka,V;PST,3,3
112,sakana,ke sakana,V;PRS,3,3
113,sinzila,sinzilaka,V;PST,3,3
114,sobasana,ke sobasana,V;PRS,3,3
115,sampuka,ke sampuka,V;PRS,3,3
116,tabula,ke tabula,V;PRS,3,3
117,vwata,ta kuvwata,V;FUT,3,3
118,tekila,kutekila,V;NFIN,3,3
119,tenda,ke tenda,V;PRS,3,3
120,sonikisa,ke sonikisa,V;PRS,3,3
121,sangana ,kusangana ,V;NFIN,3,3
122,temoka,temokaka,V;PST,3,3
123,dia,diaka,V;PST,3,3
124,temoka,kutemoka,V;NFIN,3,3
125,samuna ,ke samuna ,V;PRS,3,3
126,sunda,kusunda,V;NFIN,3,3
127,zieta,zietaka,V;PST,3,3
128,sakalala,kusakalala,V;NFIN,3,3
129,tangisa,ke tangisa,V;PRS,3,3
130,sumuna,kusumuna,V;NFIN,3,3
131,tsamuna,ke tsamuna,V;PRS,3,3
132,tambika,ta kutambika,V;FUT,3,3
133,pola,polaka,V;PST,3,3
134,sueka,kusueka,V;NFIN,3,3
135,simbidila,ke simbidila,V;PRS,3,3
136,tatula,kutatula,V;NFIN,3,3
137,tensika,ke tensika,V;PRS,3,3
138,tekita,ke tekita,V;PRS,3,3
139,tanina ,kutanina ,V;NFIN,3,3
140,pasula,ke pasula,V;PRS,3,3
141,sisila,kusisila,V;NFIN,3,3
142,suba,ta kusuba,V;FUT,3,3
143,soba,ke soba,V;PRS,3,3
144,sekula,ke sekula,V;PRS,3,3
145,sambisa,kusambisa,V;NFIN,3,3
146,sampuka,ta kusampuka,V;FUT,3,3
147,sabula,kusabula,V;NFIN,3,3
148,songa,ke songa,V;PRS,3,3
149,sivika,sivikaka,V;PST,3,3
150,sansa,ta kusansa,V;FUT,3,3
151,sana,ta kusana,V;FUT,3,3
152,sikimisa,ta kusikimisa,V;FUT,3,3
153,timba,ta kutimba,V;FUT,3,3
154,vova,ta kuvova,V;FUT,3,3
155,timbula,kutimbula,V;NFIN,3,3
156,sonika,ke sonika,V;PRS,3,3
157,sakumuna,ke sakumuna,V;PRS,3,3
158,tilumuka,ke tilumuka,V;PRS,3,3
159,sadila,kusadila,V;NFIN,3,3
160,suasuanisa,ta kusuasuanisa,V;FUT,3,3
161,sanduka,ta kusanduka,V;FUT,3,3
162,seva,ke seva,V;PRS,3,3
163,tonta,kutonta,V;NFIN,3,3
164,toloka,kutoloka,V;NFIN,3,3
165,senda,ta kusenda,V;FUT,3,3
166,tungulula,ta kutungulula,V;FUT,3,3
167,songisa,songisaka,V;PST,3,3
168,tsoka,kutsoka,V;NFIN,3,3
169,seva,sevaka,V;PST,3,3
170,sindisa,kusindisa,V;NFIN,3,3
171,tota,ke tota,V;PRS,3,3
172,sasuka,ke sasuka,V;PRS,3,3
173,pasula,ta kupasula,V;FUT,3,3
174,sisa,sisaka,V;PST,3,3
175,tulula,ke tulula,V;PRS,3,3
176,sueka,ke sueka,V;PRS,3,3
177,soka,kusoka,V;NFIN,3,3
178,tala,ta kutala,V;FUT,3,3
179,pungula,ta kupungula,V;FUT,3,3
180,enda,ta kuenda,V;FUT,3,3
181,sika,kusika,V;NFIN,3,3
182,sevisa,kusevisa,V;NFIN,3,3
183,sunda,ta kusunda,V;FUT,3,3
184,tsoma,tsomaka,V;PST,3,3
185,pitakasa,pitakasaka,V;PST,3,3
186,songa,ta kusonga,V;FUT,3,3
187,sika,ke sika,V;PRS,3,3
188,tuka ,ke tuka ,V;PRS,3,3
189,tatamana,kutatamana,V;NFIN,3,3
190,sekisa,ke sekisa,V;PRS,3,3
191,tobola,kutobola,V;NFIN,3,3
192,panzana,kupanzana,V;NFIN,3,3
193,tulula,ta kutulula,V;FUT,3,3
194,sokumuna,ta kusokumuna,V;FUT,3,3
195,tabula,tabulaka,V;PST,3,3
196,telemisa,telemisaka,V;PST,3,3
197,tatuka ,ke tatuka ,V;PRS,3,3
198,tsuma,ke tsuma,V;PRS,3,3
199,tuka ,kutuka ,V;NFIN,3,3
200,saka,ta kusaka,V;FUT,3,3
201,tengama,ta kutengama,V;FUT,3,3
202,tuma,tumaka,V;PST,3,3
203,sumba,ta kusumba,V;FUT,3,3
204,teta,tetaka,V;PST,3,3
205,sikama,sikamaka,V;PST,3,3
206,sonika,sonikaka,V;PST,3,3
207,telemisa,kutelemisa,V;NFIN,3,3
208,temona,temonaka,V;PST,3,3
209,enda,ke enda,V;PRS,3,3
210,susumuka,kususumuka,V;NFIN,3,3
211,tsubuka,ta kutsubuka,V;FUT,3,3
212,tuka ,tuka ka,V;PST,3,3
