,lemma,form,tags,family,language
0,yok,koyoka,V;FUT,3,4
1,bongis,kobongisa,V;FUT,3,4
2,zal,kozala,V;FUT,3,4
3,pes,kopesa,V;NFIN,3,4
4,yamb,yambi,V;PRS,3,4
5,telem,kotelema,V;NFIN,3,4
6,kom,komi,V;PRS,3,4
7,li,liaki,V;PST,3,4
8,lel,lelaki,V;PST,3,4
9,li,lii,V;PRS,3,4
10,tang,tangaki,V;PST,3,4
11,lumb,kolumba,V;FUT,3,4
12,sek,koseka,V;FUT,3,4
13,kol,kokola,V;FUT,3,4
14,bongis,kobongisa,V;NFIN,3,4
15,yekol,koyekola,V;NFIN,3,4
16,zel,kozela,V;FUT,3,4
17,fungol,kofungola,V;NFIN,3,4
18,tangis,kotangisa,V;FUT,3,4
19,kabwan,kokabwana,V;FUT,3,4
20,mem,komema,V;FUT,3,4
21,tang,kotanga,V;NFIN,3,4
22,tun,tuni,V;PRS,3,4
23,salis,kosalisa,V;NFIN,3,4
24,yib,koyiba,V;NFIN,3,4
25,yeb,yebi,V;PRS,3,4
26,band,bandaki,V;PST,3,4
27,sek,koseka,V;NFIN,3,4
28,tik,tiki,V;PRS,3,4
29,mem,memaki,V;PST,3,4
30,simb,simbaki,V;PST,3,4
31,kutan,kutanaki,V;PST,3,4
32,vand,kovanda,V;NFIN,3,4
33,fungol,fungoli,V;PRS,3,4
34,fungol,kofungola,V;FUT,3,4
35,pulis,kopulisa,V;FUT,3,4
36,kutan,kutani,V;PRS,3,4
37,pulis,pulisaki,V;PST,3,4
38,lumb,lumbi,V;PRS,3,4
39,beng,kobenga,V;FUT,3,4
40,pes,pesi,V;PRS,3,4
41,tangis,tangisi,V;PRS,3,4
42,kabwan,kabwani,V;PRS,3,4
43,fand,fandaki,V;PST,3,4
44,yemb,yembaki,V;PST,3,4
45,lumb,kolumba,V;NFIN,3,4
46,lel,kolela,V;FUT,3,4
47,tik,tikaki,V;PST,3,4
48,yamb,koyamba,V;FUT,3,4
49,tek,tekaki,V;PST,3,4
50,kang,kakanga,V;NFIN,3,4
51,yok,yoki,V;PRS,3,4
52,tong,kotonga,V;NFIN,3,4
53,kang,kokanga,V;FUT,3,4
54,bom,koboma,V;FUT,3,4
55,bom,bomaki,V;PST,3,4
56,lob,lobi,V;PRS,3,4
57,tek,teki,V;PRS,3,4
58,lamb,lambi,V;PRS,3,4
59,tal,talaki,V;PST,3,4
60,somb,kosomba,V;FUT,3,4
61,pumbu,pumbui,V;PRS,3,4
62,beng,kobenga,V;NFIN,3,4
63,tangis,tangisaki,V;PST,3,4
64,su,kosua,V;FUT,3,4
65,tong,tongi,V;PRS,3,4
66,pulis,pulisi,V;PRS,3,4
67,yamb,yambaki,V;PST,3,4
68,kol,kolaki,V;PST,3,4
