,lemma,form,tags,family,language
0,soma,nsoma,V;1;PRS,3,5
1,somesa,okyasomesa,V;PROG;2;PRS,3,5
2,ba,yali,V;3;PST+RMT,3,5
3,tta,anatta,V;3;FUT+IMMED,3,5
4,galamira,wagalamidde,V;2;PST+RCT,3,5
5,ba,aliba,V;3;FUT+RMT,3,5
6,yimirira,banaayimirira,V;PL;3;FUT+IMMED,3,5
7,lowooza,onoolowooza,V;2;FUT+IMMED,3,5
8,elabira,neerabidde,V;1;PST+RCT,3,5
9,wa,tunaawa,V;PL;1;FUT+IMMED,3,5
10,ggalawo,twaggalawo,V;PL;1;PST+RMT,3,5
11,fumba,akyafumba,V;PROG;3;PRS,3,5
12,wuliriza,munaawuliriza,V;PL;2;FUT+IMMED,3,5
13,laga,walaze,V;2;PST+RCT,3,5
14,yongera,muliyongera,V;PL;2;FUT+RMT,3,5
15,buuka,mubuuse,V;PL;2;PST+RCT,3,5
16,yiga,tetunnayiga,V;INTEN;PL;1;FUT,3,5
17,labika nga,bakyalabika nga,V;PROG;PL;3;PRS,3,5
18,salawo,osalawo,V;2;PRS,3,5
19,menya,alimenya,V;3;FUT+RMT,3,5
20,wangula,bawangudde,V;PL;3;PST+RCT,3,5
21,wandiika,oliwandiika,V;2;FUT+RMT,3,5
22,fumba,twafumba,V;PL;1;PST+RMT,3,5
23,situka,asituse,V;SG;3;PST+RCT,3,5
24,jjukira,balijjukira,V;PL;3;FUT+RMT,3,5
25,yimba,ayimba,V;3;PRS,3,5
26,yita,yaakayita,V;PROG;3;PST,3,5
27,linda,twalinda,V;PL;1;PST+RMT,3,5
28,wereza,mwakaweereza,V;PROG;PL;2;PST,3,5
29,kwaata,banaakwata,V;PL;3;FUT+IMMED,3,5
30,kendeza,twakakendeeza,V;PROG;PL;1;PST,3,5
31,buuza,twaakabuuza,V;PROG;PL;1;PST,3,5
32,tandika,yaakatandika,V;PROG;3;PST,3,5
33,tunda,otunze,V;SG;2;PST+RCT,3,5
34,lwaana,tukyalwana,V;PROG;PL;1;PRS,3,5
35,londa,olonze,V;SG;2;PST+RCT,3,5
36,tunda,atunze,V;SG;3;PST+RCT,3,5
37,seka,basese,V;PL;3;PST+RCT,3,5
38,yingira,ayingidde,V;SG;3;PST+RCT,3,5
39,gwa,bagwa,V;PL;3;PRS,3,5
40,fuuka,mwafuuka,V;PL;2;PST+RMT,3,5
41,ggulawo,oggulawo,V;2;PRS,3,5
42,sigala,naasigala,V;1;FUT+IMMED,3,5
43,yanjula,banaayanjula,V;PL;3;FUT+IMMED,3,5
44,gamba,tugambye,V;PL;1;PST+RCT,3,5
45,dduka,akyadduka,V;PROG;3;PRS,3,5
46,lya,baakalya,V;PROG;PL;3;PST,3,5
47,kozesa,nakozeseza,V;1;PST+RCT,3,5
48,sisinkana,asisinkanye,V;SG;3;PST+RCT,3,5
49,jjukira,munajjukira,V;PL;2;FUT+IMMED,3,5
50,soma,mwasoma,V;PL;2;PST+RMT,3,5
51,funa,munaafuna,V;PL;2;FUT+IMMED,3,5
52,situka,anaasituka,V;3;FUT+IMMED,3,5
53,gula,muligula,V;PL;2;FUT+RMT,3,5
54,wandiika,muliwandiika,V;PL;2;FUT+RMT,3,5
55,ggalawo,waakaggalawo,V;PROG;2;PST,3,5
56,komawo,mwakomyevo,V;PL;2;PST+RCT,3,5
57,yimirira,aliyimirira,V;3;FUT+RMT,3,5
58,baawo,onoobaawo,V;2;FUT+IMMED,3,5
59,jjukira,tonnajjukira,V;INTEN;2;FUT,3,5
60,vuga,tonnavuga,V;INTEN;2;FUT,3,5
61,baawo,okyabaawo,V;PROG;2;PRS,3,5
62,zannya,mukyazannya,V;PROG;PL;2;PRS,3,5
63,teka,wateese,V;2;PST+RCT,3,5
64,buuza,yaakabuuza,V;PROG;3;PST,3,5
65,wulira,bawulidde,V;PL;3;PST+RCT,3,5
66,yimba,temunnayimba,V;INTEN;PL;2;FUT,3,5
67,yanjula,ayanjudde,V;SG;3;PST+RCT,3,5
68,wuliriza,mpuliriza,V;1;PRS,3,5
69,sigala,naakasigala,V;PROG;1;PST,3,5
70,situka,twakasituka,V;PROG;PL;1;PST,3,5
71,gamba,baagambye,V;PL;3;PST+RCT,3,5
72,ffa,tannafa,V;INTEN;3;FUT,3,5
73,salawo,balisalawo,V;PL;3;FUT+RMT,3,5
74,gula,nagula,V;1;PST+RMT,3,5
75,komawo,nkyakomawo,V;PROG;1;PRS,3,5
76,kozesa,nakozesa,V;1;PST+RMT,3,5
77,tegeera,mutegedde,V;PL;2;PST+RCT,3,5
78,tambula,naakatambula,V;PROG;1;PST,3,5
79,yogera,ndiyogera,V;1;FUT+RMT,3,5
80,salawo,naakasalawo,V;PROG;1;PST,3,5
81,beera,anaabeera,V;3;FUT+IMMED,3,5
82,lya,twalidde,V;PL;1;PST+RCT,3,5
83,tta,otta,V;2;PRS,3,5
84,buuza,mukyabuuza,V;PROG;PL;2;PRS,3,5
85,genda,ogenda,V;2;PRS,3,5
86,lekana,tannaleekaana,V;INTEN;3;FUT,3,5
87,tegeera,ategedde,V;SG;3;PST+RCT,3,5
88,menya,banaamenya,V;PL;3;FUT+IMMED,3,5
89,ggulawo,nziguddewo,V;SG;1;PST+RCT,3,5
90,zina,mwakazina,V;PROG;PL;2;PST,3,5
91,wa,yawa,V;3;PST+RMT,3,5
92,fuuka,baafuuse,V;PL;3;PST+RCT,3,5
93,vuga,waakavuga,V;PROG;2;PST,3,5
94,galamira,twagalamidde,V;PL;1;PST+RCT,3,5
95,yimirira,sinnayimirira,V;INTEN;1;FUT,3,5
96,gwa,twagudde,V;PL;1;PST+RCT,3,5
97,sigala,mulisigala,V;PL;2;FUT+RMT,3,5
98,kwaata,mukyakwata,V;PROG;PL;2;PRS,3,5
99,somesa,naakasomesa,V;PROG;1;PST,3,5
100,yiga,baakayiga,V;PROG;PL;3;PST,3,5
101,vuga,tetunnavuga,V;INTEN;PL;1;FUT,3,5
102,tunda,tonnatunda,V;INTEN;2;FUT,3,5
