,lemma,form,tags,family,language
0,taya,mumataya,V;SG;2;PRS,3,6
1,sonkha,timasonkha,V;PL;1;PRS,3,6
2,patsa,ndimapatsa,V;SG;1;PRS,3,6
3,pala,kupala,V;NFIN,3,6
4,sochera,munasochera,V;PL;2;PST,3,6
5,peza,mumapeza,V;PL;2;PRS,3,6
6,lamula,tinalamula,V;PL;1;PST,3,6
7,chuluka,munachuluka,V;PL;2;PST,3,6
8,khuta,adzakhuta,V;PL;3;FUT,3,6
9,sirira,mumasirira,V;PL;2;PRS,3,6
10,lungama,adzalungama,V;SG;3;FUT,3,6
11,reruka,munareruka,V;PL;2;PST,3,6
12,psya,mudzapsya,V;PL;2;FUT,3,6
13,kana,anakana,V;PL;3;PST,3,6
14,thyola,mumathyola,V;PL;2;PRS,3,6
15,nyenga,tidzanyenga,V;PL;1;FUT,3,6
16,manga,amamanga,V;PL;3;PRS,3,6
17,kwana,munakwana,V;PL;2;PST,3,6
18,ganiza,kuganiza,V;NFIN,3,6
19,pambana,kupambana,V;NFIN,3,6
20,pulumutsa,adzapulumutsa,V;SG;3;FUT,3,6
21,pambana,ndinapambana,V;SG;1;PST,3,6
22,sankha,ndidzasankha,V;SG;1;FUT,3,6
23,tsanzira,tinatsanzira,V;PL;1;PST,3,6
24,khuta,adzakhuta,V;SG;3;FUT,3,6
25,khuta,munakhuta,V;PL;2;PST,3,6
26,ongola,tidzaongola,V;PL;1;FUT,3,6
27,fika,anafika,V;PL;3;PST,3,6
28,batiza,kubatiza,V;NFIN,3,6
29,pitani,mudzapitani,V;SG;2;FUT,3,6
30,ba,mumaba,V;PL;2;PRS,3,6
31,itana,adzaitana,V;SG;3;FUT,3,6
32,gula,ndidzagula,V;SG;1;FUT,3,6
33,peza,tidzapeza,V;PL;1;FUT,3,6
34,thyola,mudzathyola,V;SG;2;FUT,3,6
35,thira,adzathira,V;PL;3;FUT,3,6
36,dziwa,mudzadziwa,V;SG;2;FUT,3,6
37,chenjera,adzachenjera,V;SG;3;FUT,3,6
38,pindula,ndidzapindula,V;SG;1;FUT,3,6
39,mwa,ndidzamwa,V;SG;1;FUT,3,6
40,fika,adzafika,V;PL;3;FUT,3,6
41,dza,ndinadza,V;SG;1;PST,3,6
42,chinya,anachinya,V;PL;3;PST,3,6
43,yaka,adzayaka,V;PL;3;FUT,3,6
44,khulupira,adzakhulupira,V;PL;3;FUT,3,6
45,bzala,munabzala,V;SG;2;PST,3,6
46,puma,mudzapuma,V;PL;2;FUT,3,6
47,tsutsa,amatsutsa,V;SG;3;PRS,3,6
48,chapa,mudzachapa,V;SG;2;FUT,3,6
49,dya,mudzadya,V;PL;2;FUT,3,6
50,lankhula,timalankhula,V;PL;1;PRS,3,6
51,fewa,adzafewa,V;PL;3;FUT,3,6
52,sowa,anasowa,V;SG;3;PST,3,6
53,bisala,mudzabisala,V;PL;2;FUT,3,6
54,lipira,analipira,V;PL;3;PST,3,6
55,lima,mumalima,V;PL;2;PRS,3,6
56,siya,ndimasiya,V;SG;1;PRS,3,6
57,pitani,ndinapitani,V;SG;1;PST,3,6
58,sakaniza,timasakaniza,V;PL;1;PRS,3,6
59,pitani,anapitani,V;SG;3;PST,3,6
60,khudza,ndidzakhudza,V;SG;1;FUT,3,6
61,ntchito,mudzantchito,V;PL;2;FUT,3,6
62,weruza,munaweruza,V;PL;2;PST,3,6
63,gwa,munagwa,V;SG;2;PST,3,6
64,tsata,tidzatsata,V;PL;1;FUT,3,6
65,gunda,ndimagunda,V;SG;1;PRS,3,6
66,bisala,adzabisala,V;PL;3;FUT,3,6
67,dalira,ndidzadalira,V;SG;1;FUT,3,6
68,zindikira,ndimazindikira,V;SG;1;PRS,3,6
69,bisa,ndimabisa,V;SG;1;PRS,3,6
70,itana,mudzaitana,V;PL;2;FUT,3,6
71,patsa,munapatsa,V;PL;2;PST,3,6
72,fana,anafana,V;SG;3;PST,3,6
73,ganiza,ndinaganiza,V;SG;1;PST,3,6
74,pweteka,amapweteka,V;SG;3;PRS,3,6
75,cheka,tinacheka,V;PL;1;PST,3,6
76,lema,mumalema,V;SG;2;PRS,3,6
77,zolowera,amazolowera,V;PL;3;PRS,3,6
78,oloka,mumaoloka,V;SG;2;PRS,3,6
79,tentha,mudzatentha,V;SG;2;FUT,3,6
80,da,ndimada,V;SG;1;PRS,3,6
81,ng'amba,ndimang'amba,V;SG;1;PRS,3,6
82,pereka,ndinapereka,V;SG;1;PST,3,6
83,itana,anaitana,V;PL;3;PST,3,6
84,tseka,adzatseka,V;PL;3;FUT,3,6
85,zunza,ndidzazunza,V;SG;1;FUT,3,6
86,cha,mudzacha,V;PL;2;FUT,3,6
87,sanduka,mudzasanduka,V;PL;2;FUT,3,6
88,gwira,amagwira,V;PL;3;PRS,3,6
89,bereka,mumabereka,V;PL;2;PRS,3,6
90,gula,anagula,V;PL;3;PST,3,6
91,dala,ndimadala,V;SG;1;PRS,3,6
92,gona,ndidzagona,V;SG;1;FUT,3,6
93,landa,kulanda,V;NFIN,3,6
94,yaka,mumayaka,V;SG;2;PRS,3,6
95,siya,adzasiya,V;PL;3;FUT,3,6
96,khumudwa,mudzakhumudwa,V;PL;2;FUT,3,6
97,dya,amadya,V;PL;3;PRS,3,6
98,tsiriza,anatsiriza,V;PL;3;PST,3,6
99,gona,adzagona,V;SG;3;FUT,3,6
100,tsala,mumatsala,V;PL;2;PRS,3,6
101,chuluka,kuchuluka,V;NFIN,3,6
102,itana,munaitana,V;PL;2;PST,3,6
103,phika,amaphika,V;SG;3;PRS,3,6
104,ona,timaona,V;PL;1;PRS,3,6
105,sinja,anasinja,V;SG;3;PST,3,6
106,chinya,mumachinya,V;PL;2;PRS,3,6
107,thawa,adzathawa,V;PL;3;FUT,3,6
108,itana,timaitana,V;PL;1;PRS,3,6
109,tsiriza,ndimatsiriza,V;SG;1;PRS,3,6
110,kwata,adzakwata,V;PL;3;FUT,3,6
111,yamba,ndidzayamba,V;SG;1;FUT,3,6
112,langa,amalanga,V;SG;3;PRS,3,6
113,gawa,munagawa,V;SG;2;PST,3,6
114,bvala,amabvala,V;SG;3;PRS,3,6
115,kondwa,adzakondwa,V;PL;3;FUT,3,6
116,yerekeza,amayerekeza,V;SG;3;PRS,3,6
117,phunzira,adzaphunzira,V;PL;3;FUT,3,6
118,gwira,anagwira,V;SG;3;PST,3,6
119,zizira,tinazizira,V;PL;1;PST,3,6
120,mva,anamva,V;SG;3;PST,3,6
121,ona,anaona,V;SG;3;PST,3,6
122,bisa,adzabisa,V;SG;3;FUT,3,6
123,siya,tidzasiya,V;PL;1;FUT,3,6
124,biriwira,ndidzabiriwira,V;SG;1;FUT,3,6
125,ponda,mumaponda,V;PL;2;PRS,3,6
126,sefuka,mumasefuka,V;PL;2;PRS,3,6
127,loia,timaloia,V;PL;1;PRS,3,6
128,konza,anakonza,V;SG;3;PST,3,6
129,pweteka,mumapweteka,V;SG;2;PRS,3,6
130,kwera,mudzakwera,V;SG;2;FUT,3,6
131,lima,analima,V;SG;3;PST,3,6
132,ng'amba,adzang'amba,V;PL;3;FUT,3,6
133,chapa,tinachapa,V;PL;1;PST,3,6
134,zunza,mumazunza,V;PL;2;PRS,3,6
135,cheza,mudzacheza,V;PL;2;FUT,3,6
136,sokoneza,mumasokoneza,V;SG;2;PRS,3,6
137,ona,mumaona,V;SG;2;PRS,3,6
138,khala,mumakhala,V;SG;2;PRS,3,6
139,talika,munatalika,V;SG;2;PST,3,6
140,pambana,anapambana,V;PL;3;PST,3,6
141,nena,munanena,V;SG;2;PST,3,6
142,yang'ana,amayang'ana,V;SG;3;PRS,3,6
143,werenga,amawerenga,V;PL;3;PRS,3,6
144,reruka,ndimareruka,V;SG;1;PRS,3,6
145,itana,mudzaitana,V;SG;2;FUT,3,6
146,zolowera,tidzazolowera,V;PL;1;FUT,3,6
147,nunkha,ananunkha,V;PL;3;PST,3,6
148,leka,munaleka,V;SG;2;PST,3,6
149,bvoma,amabvoma,V;SG;3;PRS,3,6
150,sirira,munasirira,V;PL;2;PST,3,6
151,tsutsa,mumatsutsa,V;PL;2;PRS,3,6
152,yenera,anayenera,V;SG;3;PST,3,6
153,pita,anapita,V;PL;3;PST,3,6
154,khuta,ndidzakhuta,V;SG;1;FUT,3,6
155,dzuka,ndinadzuka,V;SG;1;PST,3,6
156,weruza,tidzaweruza,V;PL;1;FUT,3,6
157,kamba,anakamba,V;PL;3;PST,3,6
158,choka,ndimachoka,V;SG;1;PRS,3,6
159,pereka,kupereka,V;NFIN,3,6
160,sauka,anasauka,V;SG;3;PST,3,6
161,tha,mumatha,V;PL;2;PRS,3,6
162,biriwira,mumabiriwira,V;SG;2;PRS,3,6
163,gona,mudzagona,V;PL;2;FUT,3,6
164,loia,munaloia,V;PL;2;PST,3,6
165,khulupira,munakhulupira,V;PL;2;PST,3,6
166,dalira,timadalira,V;PL;1;PRS,3,6
167,dzala,mumadzala,V;SG;2;PRS,3,6
168,dzola,tidzadzola,V;PL;1;FUT,3,6
169,kumbuka,anakumbuka,V;PL;3;PST,3,6
170,mva,amamva,V;PL;3;PRS,3,6
171,nyada,mudzanyada,V;SG;2;FUT,3,6
172,thawa,kuthawa,V;NFIN,3,6
173,sanduka,kusanduka,V;NFIN,3,6
174,thyola,munathyola,V;SG;2;PST,3,6
175,werenga,timawerenga,V;PL;1;PRS,3,6
176,nama,ananama,V;PL;3;PST,3,6
177,ocha,anaocha,V;SG;3;PST,3,6
178,gula,tinagula,V;PL;1;PST,3,6
179,limba,analimba,V;PL;3;PST,3,6
180,kula,adzakula,V;PL;3;FUT,3,6
181,ba,anaba,V;SG;3;PST,3,6
182,pala,timapala,V;PL;1;PRS,3,6
183,kamba,adzakamba,V;SG;3;FUT,3,6
184,dikira,mudzadikira,V;SG;2;FUT,3,6
185,ntchito,munantchito,V;SG;2;PST,3,6
186,ganiza,amaganiza,V;PL;3;PRS,3,6
187,fulumira,anafulumira,V;PL;3;PST,3,6
188,bereka,ndinabereka,V;SG;1;PST,3,6
189,da,adzada,V;PL;3;FUT,3,6
190,thokoza,amathokoza,V;SG;3;PRS,3,6
191,dikira,ndidzadikira,V;SG;1;FUT,3,6
