,lemma,form,tags,family,language
0,tloo,ngiyatloo,V;SG;1;PRS,3,7
1,lula,ngilula,V;SG;1;FUT,3,7
2,utloa,uyautloa,V;SG;3;PRS,3,7
3,reka,bazoreka,V;PL;3;PST,3,7
4,rekisa,sizorekisa,V;PL;2;PST,3,7
5,sututsa,uyasututsa,V;PL;1;PRS,3,7
6,haufi,uyahaufi,V;SG;3;PRS,3,7
7,reka,uyareka,V;SG;2;PRS,3,7
8,boroko,baboroko,V;PL;3;FUT,3,7
9,ya,uyaya,V;SG;2;PRS,3,7
10,bala,ngizobala,V;SG;2;PST,3,7
11,lumela,niyalumela,V;PL;3;PRS,3,7
12,ngola,ngingola,V;SG;1;FUT,3,7
13,hulaa,ngiyahulaa,V;SG;1;PRS,3,7
14,ebe,uzoebe,V;PL;1;PST,3,7
15,reka,nireka,V;PL;2;FUT,3,7
16,ja,ngiyaja,V;SG;1;PRS,3,7
17,lumela,nilumela,V;PL;2;FUT,3,7
18,qete,uyaqete,V;SG;2;PRS,3,7
19,tloo,uyatloo,V;SG;3;PRS,3,7
20,qala,niqala,V;SG;2;FUT,3,7
21,ema,uema,V;SG;3;FUT,3,7
22,nwa,uyanwa,V;SG;2;PRS,3,7
23,e,uyae,V;SG;3;PRS,3,7
24,boroko,siboroko,V;PL;1;FUT,3,7
25,phomolo,uzophomolo,V;SG;3;PST,3,7
26,nwa,ngizonwa,V;SG;2;PST,3,7
27,ithute,bayaithute,V;SG;1;PST,3,7
28,ja,uyaja,V;SG;3;PRS,3,7
29,hulaa,sihulaa,V;PL;1;FUT,3,7
30,sututsa,usututsa,V;SG;3;FUT,3,7
31,qala,uyaqala,V;SG;2;PRS,3,7
32,tloo,nitloo,V;SG;2;FUT,3,7
33,ngola,ngiyangola,V;SG;1;PRS,3,7
34,sututsa,uzosututsa,V;SG;3;PST,3,7
35,ya,siya,V;PL;1;FUT,3,7
36,bala,uyabala,V;SG;2;PRS,3,7
37,ebe,niyaebe,V;PL;3;PRS,3,7
38,hulaa,sizohulaa,V;PL;2;PST,3,7
39,fofa,uzofofa,V;PL;1;PST,3,7
40,bula,ngiyabula,V;SG;1;PRS,3,7
41,ngola,ungola,V;SG;3;FUT,3,7
42,ya,sizoya,V;PL;2;PST,3,7
43,sututsa,nisututsa,V;SG;2;FUT,3,7
44,ja,uzoja,V;PL;1;PST,3,7
45,phomolo,siyaphomolo,V;PL;2;PRS,3,7
46,ya,baya,V;PL;3;FUT,3,7
47,ithute,bazoithute,V;PL;3;PST,3,7
48,ngola,uyangola,V;SG;2;PRS,3,7
49,rekisa,siyarekisa,V;PL;2;PRS,3,7
50,fofa,uzofofa,V;SG;3;PST,3,7
51,ngola,bazongola,V;PL;3;PST,3,7
52,fofa,sizofofa,V;PL;2;PST,3,7
53,ja,nija,V;PL;2;FUT,3,7
54,haufi,ngizohaufi,V;SG;2;PST,3,7
55,tloo,tlooea,V;NFIN,3,7
56,thusa,nithusa,V;SG;2;FUT,3,7
57,bula,uyabula,V;SG;3;PRS,3,7
58,lula,lulaea,V;NFIN,3,7
59,ya,uzoya,V;SG;3;PST,3,7
60,reka,ngizoreka,V;SG;2;PST,3,7
61,ya,uyaya,V;SG;3;PRS,3,7
62,qete,niyaqete,V;PL;3;PRS,3,7
63,hulaa,uzohulaa,V;SG;3;PST,3,7
64,lula,sizolula,V;PL;2;PST,3,7
65,lumela,ngilumela,V;SG;1;FUT,3,7
66,ithute,uyaithute,V;SG;2;PRS,3,7
67,qete,uzoqete,V;SG;3;PST,3,7
