,lemma,form,tags,family,language
0,piga,amepiga,V;PRF;FIN;IND;SG;3;PST,3,8
1,kamilisha,wangekamilisha,V;FIN;COND;PL;3;PRS,3,8
2,fuata,walifuata,V;FIN;IND;PL;3;PST,3,8
3,tengeneza,nitatengeneza,V;FIN;IND;SG;1;FUT,3,8
4,uwa,anauwa,V;DEF;FIN;IND;SG;3;PRS,3,8
5,safisha,nimesafisha,V;PRF;FIN;IND;SG;1;PST,3,8
6,bandika,tungebandika,V;FIN;COND;PL;1;PRS,3,8
7,leta,wataleta,V;FIN;IND;PL;3;FUT,3,8
8,kimbia,ungekimbia,V;FIN;COND;SG;2;PRS,3,8
9,fagia,nimefagia,V;PRF;FIN;IND;SG;1;PST,3,8
10,fika,tutafika,V;FIN;IND;PL;1;FUT,3,8
11,choma,ulichoma,V;FIN;IND;SG;2;PST,3,8
12,panguza,anapanguza,V;DEF;FIN;IND;SG;3;PRS,3,8
13,tafuna,wametafuna,V;PRF;FIN;IND;PL;3;PST,3,8
14,ponda,mmeponda,V;PRF;FIN;IND;PL;2;PST,3,8
15,ambia,nihuambia,V;HAB;FIN;IND;SG;1;PRS,3,8
16,kausha,mnakausha,V;DEF;FIN;IND;PL;2;PRS,3,8
17,pika,mapika,V;INDF;FIN;IND;PL;2;PRS,3,8
18,omba,waaomba,V;INDF;FIN;IND;PL;3;PRS,3,8
19,pea,wanapea,V;DEF;FIN;IND;PL;3;PRS,3,8
20,ondoa,tungaliondoa,V;FIN;COND;PL;1;PST,3,8
21,ruka,ninaruka,V;DEF;FIN;IND;SG;1;PRS,3,8
22,ficha,maficha,V;INDF;FIN;IND;PL;2;PRS,3,8
23,panguza,mnapanguza,V;DEF;FIN;IND;PL;2;PRS,3,8
24,ota,mnaota,V;DEF;FIN;IND;PL;2;PRS,3,8
25,pea,niapea,V;INDF;FIN;IND;SG;1;PRS,3,8
26,jisikia,mmejisikia,V;PRF;FIN;IND;PL;2;PST,3,8
27,kumbuka,tutakumbuka,V;FIN;IND;PL;1;FUT,3,8
28,safisha,ningesafisha,V;FIN;COND;SG;1;PRS,3,8
29,changanya,walichanganya,V;FIN;IND;PL;3;PST,3,8
30,jua,wamejua,V;PRF;FIN;IND;PL;3;PST,3,8
31,soma,amesoma,V;PRF;FIN;IND;SG;3;PST,3,8
32,kamata,wangekamata,V;FIN;COND;PL;3;PRS,3,8
33,ondoa,mnaondoa,V;DEF;FIN;IND;PL;2;PRS,3,8
34,ngoja,ningalingoja,V;FIN;COND;SG;1;PST,3,8
35,shikilia,mashikilia,V;INDF;FIN;IND;PL;2;PRS,3,8
36,ruka,tuhuruka,V;HAB;FIN;IND;PL;1;PRS,3,8
37,saidia,anasaidia,V;DEF;FIN;IND;SG;3;PRS,3,8
38,pika,atapika,V;FIN;IND;SG;3;FUT,3,8
39,ongea,ahuongea,V;HAB;FIN;IND;SG;3;PRS,3,8
40,saga,mngalisaga,V;FIN;COND;PL;2;PST,3,8
41,kumbuka,ahukumbuka,V;HAB;FIN;IND;SG;3;PRS,3,8
42,tembea,mngalitembea,V;FIN;COND;PL;2;PST,3,8
43,sukuma,mhusukuma,V;HAB;FIN;IND;PL;2;PRS,3,8
44,endesha,mngeendesha,V;FIN;COND;PL;2;PRS,3,8
45,fungua,tunafungua,V;DEF;FIN;IND;PL;1;PRS,3,8
46,kausha,watakausha,V;FIN;IND;PL;3;FUT,3,8
47,tazama,tumetazama,V;PRF;FIN;IND;PL;1;PST,3,8
48,tafuta,nilitafuta,V;FIN;IND;SG;1;PST,3,8
49,kusanya,uakusanya,V;INDF;FIN;IND;SG;2;PRS,3,8
50,kunja,nimekunja,V;PRF;FIN;IND;SG;1;PST,3,8
51,changanya,mnachanganya,V;DEF;FIN;IND;PL;2;PRS,3,8
52,inua,mngaliinua,V;FIN;COND;PL;2;PST,3,8
53,sema,wangalisema,V;FIN;COND;PL;3;PST,3,8
54,funga,utafunga,V;FIN;IND;SG;2;FUT,3,8
55,tembea,mhutembea,V;HAB;FIN;IND;PL;2;PRS,3,8
56,uza,aauza,V;INDF;FIN;IND;SG;3;PRS,3,8
57,tembea,atatembea,V;FIN;IND;SG;3;FUT,3,8
58,kopa,anakopa,V;DEF;FIN;IND;SG;3;PRS,3,8
59,fuata,mmefuata,V;PRF;FIN;IND;PL;2;PST,3,8
60,omba,uaomba,V;INDF;FIN;IND;SG;2;PRS,3,8
61,piga,mngepiga,V;FIN;COND;PL;2;PRS,3,8
62,vuta,tuhuvuta,V;HAB;FIN;IND;PL;1;PRS,3,8
63,tafuta,tunatafuta,V;DEF;FIN;IND;PL;1;PRS,3,8
64,andika,kuandika,V;FIN,3,8
65,gusa,niligusa,V;FIN;IND;SG;1;PST,3,8
66,cheka,mnacheka,V;DEF;FIN;IND;PL;2;PRS,3,8
67,choma,uhuchoma,V;HAB;FIN;IND;SG;2;PRS,3,8
68,saidia,wangalisaidia,V;FIN;COND;PL;3;PST,3,8
69,piga,walipiga,V;FIN;IND;PL;3;PST,3,8
70,ota,ninaota,V;DEF;FIN;IND;SG;1;PRS,3,8
71,sikiliza,anasikiliza,V;DEF;FIN;IND;SG;3;PRS,3,8
72,lala,walilala,V;FIN;IND;PL;3;PST,3,8
73,anza,aaanza,V;INDF;FIN;IND;SG;3;PRS,3,8
74,pika,mhupika,V;HAB;FIN;IND;PL;2;PRS,3,8
75,kopa,alikopa,V;FIN;IND;SG;3;PST,3,8
76,cheka,tungalicheka,V;FIN;COND;PL;1;PST,3,8
77,kamilisha,ningalikamilisha,V;FIN;COND;SG;1;PST,3,8
78,tembea,wangetembea,V;FIN;COND;PL;3;PRS,3,8
79,meza,unameza,V;DEF;FIN;IND;SG;2;PRS,3,8
80,uliza,wanauliza,V;DEF;FIN;IND;PL;3;PRS,3,8
81,anza,tungeanza,V;FIN;COND;PL;1;PRS,3,8
82,cheka,mhucheka,V;HAB;FIN;IND;PL;2;PRS,3,8
83,cheka,wangecheka,V;FIN;COND;PL;3;PRS,3,8
84,lala,ungalilala,V;FIN;COND;SG;2;PST,3,8
85,sema,ungesema,V;FIN;COND;SG;2;PRS,3,8
86,anza,wangeanza,V;FIN;COND;PL;3;PRS,3,8
87,kusanya,ungekusanya,V;FIN;COND;SG;2;PRS,3,8
