,lemma,form,tags,family,language
0,bulala,ngabulala,V;SG;1;PST+RMT,3,9
1,chasisa,ngichasise,V;SG;1;PST+RCT,3,9
2,fundisa,ngiyofundisa,V;SG;1;FUT,3,9
3,qabula,ngaqabula,V;SG;1;PST+RMT,3,9
4,mema,ngimema,V;SG;1;PRS,3,9
5,khala,ngiyakhala,V;SG;1;PRS,3,9
6,qeda,ngaqeda,V;SG;1;PST+RMT,3,9
7,qala,ngiqale,V;SG;1;PST+RCT,3,9
8,buza,ngabuza,V;SG;1;PST+RMT,3,9
9,sebenza,ngiyosebenza,V;SG;1;FUT,3,9
10,nza,ngenza,V;SG;1;PRS,3,9
11,hleka,ngihleke,V;SG;1;PST+RCT,3,9
12,khetha,ngikhetha,V;SG;1;PRS,3,9
13,sebenzisa,ngasebenzisa,V;SG;1;PST+RMT,3,9
14,qonda,ngiyoqonda,V;SG;1;FUT,3,9
15,hamba,ngahamba,V;SG;1;PST+RMT,3,9
16,mukela,ngizokwamukela,V;SG;1;FUT+IMMED,3,9
17,qala,ngiyoqala,V;SG;1;FUT,3,9
18,zi,ngikwaze,V;SG;1;PST+RCT,3,9
19,mukela,ngiyamukela,V;SG;1;PRS,3,9
20,gijima,ngigijime,V;SG;1;PST+RCT,3,9
21,thatha,ngithatha,V;SG;1;PRS,3,9
22,vala,ngivale,V;SG;1;PST+RCT,3,9
23,naka,nginaka,V;SG;1;PRS,3,9
24,phuza,ngaphuza,V;SG;1;PST+RMT,3,9
25,lalela,ngalalela,V;SG;1;PST+RMT,3,9
26,vula,ngivule,V;SG;1;PST+RCT,3,9
27,nqoba,ngiyanqoba,V;SG;1;PRS,3,9
28,dinga,ngiyodinga,V;SG;1;FUT,3,9
29,qonda,ngiqonde,V;SG;1;PST+RCT,3,9
30,phuma,ngiyophuma,V;SG;1;FUT,3,9
31,bulala,ngiyobulala,V;SG;1;FUT,3,9
32,sukuma,ngisukuma,V;SG;1;PRS,3,9
33,ma,ngiyokuma,V;SG;1;FUT,3,9
34,naka,nginake,V;SG;1;PST+RCT,3,9
35,thengisa,ngizothengisa,V;SG;1;FUT+IMMED,3,9
36,sebenzisa,ngizosebenzisa,V;SG;1;FUT+IMMED,3,9
37,nqoba,nganqoba,V;SG;1;PST+RMT,3,9
38,lwa,ngilwe,V;SG;1;PST+RCT,3,9
39,biza,ngibize,V;SG;1;PST+RCT,3,9
40,bonakala,ngabonakala,V;SG;1;PST+RMT,3,9
41,bamba,ngibambe,V;SG;1;PST+RCT,3,9
42,lahlekelwa,ngilahlekelwe,V;SG;1;PST+RCT,3,9
43,bamba,ngabamba,V;SG;1;PST+RMT,3,9
44,khala,ngakhala,V;SG;1;PST+RMT,3,9
45,zisa,ngizisa,V;SG;1;PRS,3,9
46,khumbula,ngikhumbule,V;SG;1;PST+RCT,3,9
47,hamba,ngihamba,V;SG;1;PRS,3,9
48,khuluma,ngizokhuluma,V;SG;1;FUT+IMMED,3,9
49,thuma,ngiyothuma,V;SG;1;FUT,3,9
50,qabula,ngizoqabula,V;SG;1;FUT+IMMED,3,9
51,hlisa,ngehlisa,V;SG;1;PST+RMT,3,9
52,za,ngiyoza,V;SG;1;FUT,3,9
53,bonakala,ngiyobonakala,V;SG;1;FUT,3,9
54,nza,ngiyokwenza,V;SG;1;FUT,3,9
55,dlala,ngadlala,V;SG;1;PST+RMT,3,9
56,vula,ngivula,V;SG;1;PRS,3,9
57,za,ngiyeza,V;SG;1;PRS,3,9
58,lala phansi,ngiyolala phansi,V;SG;1;FUT,3,9
59,nqoba,ngiyonqoba,V;SG;1;FUT,3,9
60,biza,ngibiza,V;SG;1;PRS,3,9
61,dla,ngiyokudla,V;SG;1;FUT,3,9
62,vula,ngavula,V;SG;1;PST+RMT,3,9
63,linda,ngilinde,V;SG;1;PST+RCT,3,9
64,hlangana,ngihlangana,V;SG;1;PRS,3,9
65,phila,ngaphila,V;SG;1;PST+RMT,3,9
66,buyela,ngibuyele,V;SG;1;PST+RCT,3,9
