,lemma,form,tags,family,language
0,n⁵ndí⁵skuʔ¹²,to³ndí⁵skuʔ¹²,V;PROG;SG;3;PST,4,1
1,n⁵ndí⁵biʔ¹²,to³ndí⁵bʔi¹²oʔ³,V;PROG;PL;3;PST,4,1
2,n⁵ndí⁵ñèʔ¹ ki³tʔeo³⁵,to³ndí⁵ñèʔ¹ki³tyue³⁵oʔ³,V;PROG;PL;3;PST,4,1
3,n⁵ndí⁵nké⁵ ndʔɔ³,n⁵ngo³ndí⁵nké⁵ndʔɔ⁵³,V;PROG;SG;1;FUT,4,1
4,n⁵ndí⁵ntykwiʔ¹²,tí⁵ntykwiʔ¹²,V;PFV;SG;3;PST,4,1
5,n⁵ndí⁵bì¹,tí⁵bì¹ʔo³,V;PFV;PL;3;PST,4,1
6,n⁵ndyio³ tyiù¹,n⁵ndyio³oʔ³tyiù¹,V;IRR;PL;3;FUT,4,1
7,n⁵ndyiaʔ³⁵ na³bìʔ¹,n⁵ngo³hndyʔiá¹²oʔ³na³bìʔ¹,V;PROG;PL;3;FUT,4,1
8,n⁵ndí⁵ntkónʔ⁵,to³ndí⁵ntkɔn⁵³,V;PROG;SG;1;PST,4,1
9,n⁵ndí⁵nchhiʔ³⁵tzʔon³,n⁵ndí⁵nchhiʔ³⁵nʔo³oʔ³,V;IRR;PL;3;FUT,4,1
10,n⁵ndí⁵tʔeó⁵,tí⁵tʔeó⁵ha³,V;PFV;SG;1;PST,4,1
11,n⁵ndyí⁵,ʔ⁵hndyɔ³,V;PFV;SG;1;PST,4,1
12,n⁵nduí⁵na³ nho⁵³,to³nduí⁵na³nho⁵³ʔu³,V;PROG;SG;2;PST,4,1
13,n⁵ndí⁵thanʔ³⁴,n⁵ngo³ndí⁵than⁵³,V;PROG;SG;1;FUT,4,1
14,n⁵ndyiaʔ³⁵ ʔá⁵ kí⁵ʔna³,n⁵ngo³hndyʔiâ³¹ʔá⁵kí⁵ʔna³,V;PROG;PL;1+EXCL;FUT,4,1
15,n⁵ndí⁵saʔ¹²tzʔon³,n⁵ndí⁵saʔ¹²nʔo³oʔ³,V;IRR;PL;3;FUT,4,1
16,n⁵ndʔui³⁵,ko³tʔuè¹oʔ³,V;IPFV;PL;3;PRS,4,1
17,n⁵ndí⁵beʔ¹²tzʔon³,to³ndí⁵beʔ¹²tzʔɔn⁵³,V;PROG;SG;1;PST,4,1
18,n⁵ndyiaʔ³⁵bʔi³⁵,ki³hndyʔia¹²bhe³⁵oʔ³,V;SBJV;PL;3,4,1
19,n⁵ndí⁵yà¹tzʔan⁵³,yà¹tzʔan⁵³ha³,V;IPFV;SG;1;PRS,4,1
