,lemma,form,tags,family,language
0,slaq¹,nslaq¹ renq²⁴,V;PROG;PL;3,4,2
1,yqwi⁴,yqwi⁴ renq⁴,V;PFV;PL;3,4,2
2,yno¹,kno¹,V;PROSP;SG;3,4,2
3,sti⁴,xtyi⁴²,V;PROSP;SG;2,4,2
4,yqwi⁴,yqwi⁴ wa⁴²,V;PFV;PL;1+EXCL,4,2
5,kwa¹⁴,kwa¹⁴,V;PFV;SG;3,4,2
6,sna³,xna²⁰,V;PROSP;SG;2,4,2
7,yja¹,ntyja²⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
8,nten³,sten¹⁴ renq⁰,V;PROSP;PL;3,4,2
9,lu¹,nlon⁴,V;HAB;SG;1,4,2
10,skonq³,skonq³ wa⁴²,V;PFV;PL;1+EXCL,4,2
11,nya¹⁴,nya¹⁴,V;PFV;SG;3,4,2
12,ntsiq³,ntsenq²en¹,V;PROG;PL;1+INCL,4,2
13,yqan⁴²,yqan²⁴ wan⁴,V;PROSP;PL;2,4,2
14,yja¹,ntyja¹,V;PROG;SG;3,4,2
15,ja¹,ntjan⁴,V;HAB;SG;1,4,2
16,ykuq²,ntykonq²on¹,V;PROG;PL;1+INCL,4,2
17,ndon⁴²,ndyon²⁴,V;HAB;SG;3,4,2
18,ntqan¹,ntqan⁴,V;HAB;SG;1,4,2
19,xqwa¹⁰,xqwa²⁰,V;PROSP;SG;2,4,2
20,xin⁴²,xin⁴² renq⁴,V;PROSP;PL;3,4,2
21,ntykonq⁴²,ntykonq⁴² wa²,V;PFV;PL;1+EXCL,4,2
22,ston⁴²,ston⁴² renq⁴,V;PFV;PL;3,4,2
23,lya¹⁴,jlya¹⁴⁰ wa⁴²,V;PROSP;PL;1+EXCL,4,2
24,ne¹⁴,nni¹⁰ wa⁴²,V;PROG;PL;1+EXCL,4,2
25,ja¹,ntja¹,V;PROG;SG;3,4,2
26,ntyka²,ntyka² wa⁴²,V;PROG;PL;1+EXCL,4,2
27,ncha¹,kcha²⁰ renq²⁴,V;PROSP;PL;3,4,2
28,swenq³,nswenq¹⁴⁰ wa⁴²,V;HAB;PL;1+EXCL,4,2
29,kwa¹⁴,kwa¹⁴ renq⁰,V;PFV;PL;3,4,2
30,qne⁴²,nqne²⁴ renq³²,V;HAB;PL;3,4,2
