,lemma,form,tags,family,language
0,tsáiɁ¹²,mi³-huaiɁ¹²,V;IPFV;2;PST,4,3
1,kø²+káng¹²,kø²+kang¹²,V;IPFV;PL;1;PRS,4,3
2,guiágɁ¹²,guiagɁ¹³,V;IRR;2;FUT,4,3
3,bø²+hmé²,bø¹+hme³,V;IRR;SG;1;FUT,4,3
4,ɁnóɁ¹² dsí²,ɁnoɁ¹²,V;IPFV;PL;1;PRS,4,3
5,dsánɁ¹²,mi³-dsanɁ¹²,V;IPFV;2;PST,4,3
6,Ɂuø¹²,Ɂuø³,V;IPFV;2;PRS,4,3
7,guión²,mi³-guion³,V;IPFV;SG;1;PST,4,3
8,lǿɁ²,leɁ²,V;IRR;2;FUT,4,3
9,tií²,tií²,V;IRR;3;FUT,4,3
10,guiénɁ²,guiénɁ²,V;IPFV;3;PRS,4,3
11,héinɁ¹²,héinɁ¹²,V;IPFV;3;PRS,4,3
12,Ɂien¹²,Ɂien¹³,V;IRR;2;FUT,4,3
13,mi²+kionɁ¹,mi³-mi²+kionɁ¹³,V;IPFV;SG;1;PST,4,3
14,hénɁ²,henɁ²,V;IPFV;2;PRS,4,3
15,hǿɁ¹²,mi³-høɁ¹²,V;IPFV;PL;1;PST,4,3
16,chi²+dsán²,chi¹+dsan³,V;IRR;SG;1;FUT,4,3
17,mi²+dsøg¹²,mi¹+dsøg¹³,V;IRR;2;FUT,4,3
18,guieɁ¹²,mi³-guieɁ²,V;IPFV;2;PST,4,3
19,mi²+chian¹²,mi²+chian³,V;IPFV;2;PRS,4,3
20,guiúg²,guiúg²,V;IPFV;3;PRS,4,3
21,Ɂon¹²,mi³-Ɂøng²,V;IPFV;2;PST,4,3
22,niá¹²,mi³-niá¹²,V;IPFV;3;PST,4,3
23,tangɁ²,mi³-tangɁ²,V;IPFV;3;PST,4,3
24,Ɂan¹²,Ɂan¹³,V;IPFV;PL;1;PRS,4,3
25,dsian¹²,mi³-dsian¹²,V;IPFV;PL;1;PST,4,3
26,heinɁ²,mi³-heinɁ²,V;IPFV;3;PST,4,3
27,dság¹²,nei³,V;IRR;PL;1;FUT,4,3
28,hmóngɁ¹²,hmongɁ³,V;IRR;2;FUT,4,3
29,chi²+dsí²,chi³+dsí²,V;IRR;3;FUT,4,3
30,tsanɁ¹²,huanɁ³,V;IPFV;SG;1;PRS,4,3
31,tánɁ¹²,tánɁ¹³,V;IRR;3;FUT,4,3
32,kuøin¹²,kuøin¹,V;IRR;3;FUT,4,3
33,gógɁ¹²,mi³-gogɁ¹²,V;IPFV;2;PST,4,3
34,tsø²+nióɁ¹²,tsø¹+nioɁ¹,V;IRR;2;FUT,4,3
35,ɁuáiɁ¹²,ɁuaiɁ¹²,V;IPFV;SG;1;PRS,4,3
36,mi²+hénɁ²,mi²+henɁ³,V;IPFV;SG;1;PRS,4,3
37,ti²+líɁ¹,ti²+liɁ¹,V;IPFV;PL;1;PRS,4,3
38,hánɁ¹²,hanɁ¹,V;IRR;2;FUT,4,3
39,mi²+kiíngɁ²,mi²+kiíngɁ²,V;IPFV;3;PRS,4,3
40,ɁúgɁ²,mi³-ɁogɁ³,V;IPFV;SG;1;PST,4,3
41,tieɁ¹²,mi³-tieɁ¹²,V;IPFV;3;PST,4,3
42,hiúg²,mi³-hiug³,V;IPFV;2;PST,4,3
43,chio¹²,chio¹²,V;IPFV;3;PRS,4,3
44,hinɁ³,hinɁ¹,V;IRR;SG;1;FUT,4,3
45,tian¹²,mi³-tian¹²,V;IPFV;SG;1;PST,4,3
46,mi²+hmḗ²,mi³-mi²+hmē³,V;IPFV;SG;1;PST,4,3
47,ngē¹²,ngē¹²,V;IPFV;3;PRS,4,3
48,tieɁ¹²,taɁ¹³,V;IRR;SG;1;FUT,4,3
49,lanɁ¹²,mi³-lanɁ¹²,V;IPFV;PL;1;PST,4,3
50,ngái¹²,mi³-ngai³,V;IPFV;SG;1;PST,4,3
51,tión²,tion²,V;IPFV;2;PRS,4,3
52,tsø²+kuenɁ¹²,tsø²+kuenɁ¹²,V;IPFV;PL;1;PRS,4,3
53,Ɂøa¹²,mi³-Ɂi²,V;IPFV;PL;1;PST,4,3
54,hngiáɁ²,hngiaɁ¹³,V;IRR;SG;1;FUT,4,3
55,ngioɁ¹²,mi³-ngioɁ¹²,V;IPFV;3;PST,4,3
56,dsánɁ¹²,dsanɁ¹²,V;IPFV;2;PRS,4,3
57,ngøa¹²,ngøa¹³,V;IRR;SG;1;FUT,4,3
58,ɁlianɁ²,ɁlianɁ²,V;IPFV;SG;1;PRS,4,3
59,køɁ¹²,køɁ¹,V;IRR;3;FUT,4,3
60,hngióɁ¹²,hngioɁ¹³,V;IPFV;2;PRS,4,3
61,se¹²,se¹³,V;IRR;2;FUT,4,3
62,héinɁ¹²,mi³-heinɁ³,V;IPFV;SG;1;PST,4,3
63,chi²+dsí²,mi³-chi²+dsi³,V;IPFV;SG;1;PST,4,3
64,tsǿɁ¹²,mi³-tsǿɁ¹²,V;IPFV;3;PST,4,3
65,guiú²,guiu¹²,V;IPFV;2;PRS,4,3
66,ta¹²,ta³,V;IRR;2;FUT,4,3
67,rónɁ¹²,rang¹²,V;IPFV;SG;1;PRS,4,3
68,tian¹²,mi³-tian¹²,V;IPFV;PL;1;PST,4,3
69,ha²+Ɂan³,ha²+Ɂan³,V;IPFV;3;PRS,4,3
70,kúgɁ¹²,kugɁ¹²,V;IPFV;SG;1;PRS,4,3
71,nioɁ²,nioɁ²,V;IPFV;PL;1;PRS,4,3
72,huúɁ¹²,mi³-huúɁ¹²,V;IPFV;3;PST,4,3
73,kágɁ¹²,mi³-kágɁ¹²,V;IPFV;3;PST,4,3
74,guái²,guai¹³,V;IRR;SG;1;FUT,4,3
75,hḗnɁ²,hēnɁ¹³,V;IRR;SG;1;FUT,4,3
76,mi²+hnia¹²,mi¹+hnia¹³,V;IRR;2;FUT,4,3
77,chi²+kián²,chi³+kián²,V;IRR;3;FUT,4,3
78,hian¹²,hian¹²,V;IPFV;3;PRS,4,3
79,ku² hmo¹²,ku³,V;IRR;2;FUT,4,3
80,kión²,kion³,V;IPFV;SG;1;PRS,4,3
81,téiɁ¹²,mi³-teiɁ²,V;IPFV;PL;1;PST,4,3
82,lóɁ¹²,mi³-loɁ¹²,V;IPFV;SG;1;PST,4,3
83,tsog¹²,tsog¹³,V;IPFV;2;PRS,4,3
84,hnḗɁ²,hnēɁ³,V;IRR;2;FUT,4,3
85,ɁóɁ²,ɁóɁ²,V;IPFV;3;PRS,4,3
86,ngē²,ngie¹,V;IRR;SG;1;FUT,4,3
87,mi²+dsēn¹²,mi¹+dsēn¹³,V;IRR;2;FUT,4,3
88,mi²+ɁḗɁ²,mi²+ɁēɁ³,V;IPFV;PL;1;PRS,4,3
