,lemma,form,tags,family,language
0,xtya,nxtya¹,V;HAB;3,4,4
1,tʔan,ntʔan³ᐟ,V;HAB;2,4,4
2,ne,ne³ᐟ,V;HAB;2,4,4
3,tuʔ,tyuʔ⁴³,V;PROSP;1,4,4
4,ʔni,nkiʔni¹,V;PROG;1,4,4
5,kisa,nkisa³,V;PROG;1,4,4
6,kin,skin⁴³,V;PROSP;1,4,4
7,kyoʔ,nkyoʔ²³,V;PFV;1,4,4
8,ta,nta³,V;HAB;1,4,4
9,swiʔ,nwswiʔ⁴³,V;PFV;1,4,4
10,tzu,ktzu³,V;PROSP;3,4,4
11,suʔ,nkisuʔ¹,V;PROG;2,4,4
12,sʔwe,nsʔwe⁴³,V;PROG;1,4,4
13,jkaʔ,nwjkaʔ³ᐟ,V;PFV;2,4,4
14,naʔ,nkwnaʔ³,V;PFV;3,4,4
15,taʔ,ktaʔ²¹,V;PROSP;1,4,4
16,jkwan,jykwan²⁴,V;PROSP;3,4,4
17,sʔna,nsʔna²,V;PROG;1,4,4
18,xne,nwxne:¹⁴,V;PFV;3,4,4
19,tywiʔ,tywiʔ³ᐟ,V;PROSP;2,4,4
20,la,ntla²⁴,V;HAB;3,4,4
21,loʔ,kwlo⁴³,V;PROSP;1,4,4
22,tʔan,tyʔan³ᐟ,V;PROSP;2,4,4
23,ka,ka⁴³,V;PROSP;1,4,4
24,ja / ji,ntji²,V;HAB;1,4,4
25,xʔwa,nxʔwa²¹,V;HAB;1,4,4
26,jnya,jnya²¹,V;PROSP;3,4,4
27,wen,nkwen⁴³,V;PFV;1,4,4
28,kila,nkila²,V;PFV;2,4,4
29,kyoʔ,kyoʔ²,V;PROSP;2,4,4
30,tya,nwtya³ᐟ,V;PFV;2,4,4
31,jkwan,njkwan³ᐟ,V;PROG;3,4,4
32,skwin,nskwin³,V;HAB;1,4,4
33,ta,nttya/ntta³ᐟ,V;HAB;2,4,4
34,tkwa,ntkwa¹⁴,V;PROG;3,4,4
35,sweʔ,nsweʔ¹⁴,V;PROG;3,4,4
36,xkwen,nwxkwen²⁴,V;PFV;3,4,4
37,tyka,nwtyka²³,V;PFV;1,4,4
