,lemma,form,tags,family,language
0,i¹-hni²,nkw-i¹-hni²,V;PFV,4,5
1,u¹-hlya²,nka¹-hlya²,V;PFV,4,5
2,u-s-u¹kwa²,nt-u-s-u¹kwa²,V;HAB,4,5
3,i-lyakwa¹,nte-lyakwa¹,V;PROG,4,5
4,u¹-xę²,nte¹-xę²,V;PROG,4,5
5,tehę¹,tyehę¹,V;POT,4,5
6,itzu,nt-itzu,V;HAB,4,5
7,u¹-t-i²sę,t-i²sę,V;POT,4,5
8,u-te¹hę²,nka-te¹hę²,V;PFV,4,5
9,u¹-tu²kwi,nte¹-tu²kwi,V;PROG,4,5
10,u-tu¹kwa²,k-u-tu¹kwa²,V;POT,4,5
11,la²ti¹,nti-lati,V;HAB,4,5
12,u-s-ene¹,nte-s-ene¹,V;PROG,4,5
13,i-sukwa¹,nkw-i-sukwa¹,V;PFV,4,5
14,ku²ti,nti¹-ku²ti,V;HAB,4,5
15,la²kwi,nku-la²kwi,V;PFV,4,5
16,u-kalaʔ,k-u-kalaʔ,V;POT,4,5
17,u-nakǫʔ,nka-nakǫʔ,V;PFV,4,5
18,aą,y-aą,V;PFV,4,5
19,i-k-isu,nte-kisu,V;PROG,4,5
20,i-lyaa,nkw-i-lyaa,V;PFV,4,5
21,i¹-s-a²ta,nte¹-s-a²ta,V;PROG,4,5
22,y-a¹kǫ²ʔ,ch-akǫ¹ʔ,V;POT,4,5
23,u-nakǫʔ,nte-nakǫʔ,V;PROG,4,5
24,u-ke¹la²,nt-u-ke¹la²,V;HAB,4,5
25,ku²ti,nte¹-kuti²,V;PROG,4,5
26,kaʔa,nku-kaʔa,V;PFV,4,5
27,i-s-uweʔ,nte-s-uweʔ,V;PROG,4,5
28,u-ta¹ʔą²,nt-u-ta¹ʔą²,V;HAB,4,5
29,tuuʔ,nte-tuuʔ,V;PROG,4,5
30,tyehna¹,nte-tyehna¹,V;PROG,4,5
31,yaa,nk-yaa,V;PFV,4,5
32,yaa¹ʔ,n-chaa¹ʔ,V;HAB,4,5
33,a¹lu²,nch-alu¹,V;PROG,4,5
34,u-ti¹te²,nt-u-ti¹te²,V;HAB,4,5
35,witi,nte-witi,V;PROG,4,5
36,ni¹i²,nte-ni¹i²,V;PROG,4,5
37,atzaʔ,nku-tzaʔ,V;PFV,4,5
38,u-hawi,nka¹-hawi,V;PFV,4,5
39,u-tyele,nte-tye²le¹,V;PROG,4,5
40,ohoʔ,y-ohoʔ,V;PFV,4,5
41,y-u²kwa¹,nte-y-u²kwa¹,V;PROG,4,5
42,lakwi,ki-lakwi,V;POT,4,5
43,a¹su²ʔ,k-a¹su²ʔ,V;POT,4,5
44,taa,nte-taa,V;PROG,4,5
45,a¹kwi²,kwi²,V;PFV,4,5
46,wini,nku-wini,V;PFV,4,5
47,aa,tala nch-aa,V;HAB,4,5
48,u¹-na²na,na²na,V;POT,4,5
49,u-lukwa¹,nka-lukwa¹,V;PFV,4,5
50,y-uʔu,ch-uʔu,V;POT,4,5
51,la²ʔwa,ki¹-la²ʔwa,V;POT,4,5
52,te²e¹ʔ,tyeeʔ,V;POT,4,5
53,naʔa,nyaʔa,V;POT,4,5
54,u-lakwa¹,nt-u-lakwa¹,V;HAB,4,5
55,i-lyakwa¹,k-i-lyakwa¹,V;POT,4,5
56,u-la²a¹,k-u-laa,V;POT,4,5
57,i-tyaʔą,k-i-tyaʔą,V;POT,4,5
58,u-xu¹ʔu²,k-u-xu¹ʔu²,V;POT,4,5
59,ahi,k-aha,V;POT,4,5
60,u-t-alaʔ,nka-t-alaʔ,V;PFV,4,5
61,u-loʔo,k-u-loʔo,V;POT,4,5
62,la²ti¹,nte-la²ti¹,V;PROG,4,5
63,tikąʔ,nti-tikąʔ,V;HAB,4,5
64,na¹ʔa²,nti-na¹ʔa²,V;HAB,4,5
65,y-alaʔ,ch-alaʔ,V;POT,4,5
66,ta¹a²ʔ,tyaa¹ʔ,V;POT,4,5
67,u-tikąʔ,nt-u-tikąʔ,V;HAB,4,5
68,u-la²a¹,nka-la²a¹,V;PFV,4,5
69,u-tzaʔ,y-u-tzaʔ,V;PFV,4,5
70,una,y-una,V;PFV,4,5
71,tu²we,nku-tu²we,V;PFV,4,5
72,i-sukwa¹,nt-i-sukwa¹,V;PROG,4,5
73,ki¹tzę²,nte-ki¹tzę²,V;PROG,4,5
74,achi¹,nku-chi¹,V;PFV,4,5
75,u-kiʔi,nka-kiʔi,V;PFV,4,5
76,sa¹ą²,nti-sa¹ą²,V;HAB,4,5
77,u¹-ke²ʔ,nt-u-ke¹ʔ,V;HAB,4,5
78,suuʔ,nti-suuʔ,V;HAB,4,5
79,y-atiʔ,n-ch-atiʔ,V;HAB,4,5
80,u-s-atą,nt-u-s-atą,V;HAB,4,5
81,u-tzaʔ,k-u-tzaʔ,V;POT,4,5
82,u-te¹hę²,k-u-tehę¹,V;POT,4,5
83,ta²kwi,n-tya²kwi,V;HAB,4,5
84,yakwęʔ,nk-yakwęʔ,V;PFV,4,5
85,u¹-xę²,nka¹-xę²,V;PFV,4,5
86,lye¹ʔe²,ki¹-lye¹ʔe²,V;POT,4,5
87,a¹ta²ʔ,nti¹-ta²ʔ,V;HAB,4,5
88,akwę¹,y-akwę¹,V;PFV,4,5
89,alaʔ,nch-alaʔ,V;PROG,4,5
90,tyu²kwa,nte¹-tyu²kwa,V;PROG,4,5
91,tikwę,nti-tikwę,V;HAB,4,5
92,u¹-s-a²ta,nte¹-s-a²ta,V;PROG,4,5
93,aʔna¹,k-aʔna,V;POT,4,5
94,yaʔne,nk-yaʔne,V;PFV,4,5
