,lemma,form,tags,family,language
0,bo¹²,gi bo,V;IRR;SG;2,4,6
1,ja¹²-hme,xki jahme,V;PRF;3;PST,4,6
2,huä¹²ʔtsi,bi huäʔtsi,V;PFV;SG;3,4,6
3,zẹdi,xki zẹdi,V;PRF;3;PST,4,6
4,ʔbẹ²di,stá ʔbẹdi,V;PRF;SG;1;PRS,4,6
5,hña²ndi,bi hñandi,V;PFV;SG;3,4,6
6,ntsu²ni,dí ntsuni,V;IPFV;SG;1;PRS,4,6
7,mit’i,xkí mit’i,V;PRF;2;PST,4,6
8,nu²-ma²ñʔụ,xká numañʔụ,V;PRF;SG;2;PRS,4,6
9,hñä²mbä²-nt’ẹi,gí hñämbant’ẹi,V;IPFV;SG;2;PRS,4,6
10,hmät’i,xká hmät’i,V;PRF;SG;2;PRS,4,6
11,thädi,dí thädi,V;IPFV;SG;1;PRS,4,6
12,ʔmaʔma-nza¹²ya,xká ʔmaʔmanzaya,V;PRF;SG;2;PRS,4,6
13,xä¹²ki,stá xäki,V;PRF;SG;1;PRS,4,6
14,ta²ka²-pa,xká takapa,V;PRF;SG;2;PRS,4,6
15,xi²ni,dá xini,V;PFV;SG;1,4,6
16,xa²ndä-po,stí xandäpo,V;PRF;1;PST,4,6
17,ʔua²m-t’ä¹²hä,gi ʔuamt’ähä,V;IRR;SG;2,4,6
18,tho²hni,stí thohni,V;PRF;1;PST,4,6
19,ʔbọnt’e,da ʔbọnt’e,V;IRR;SG;3,4,6
20,tets’e,ga tets’e,V;IRR;SG;1,4,6
21,jo²hni,xa johni,V;PRF;SG;3;PRS,4,6
22,tsụi,xkí tsụi,V;PRF;2;PST,4,6
23,kụ²t’i,ngí kụt’i,V;IPFV;SG;2;PST,4,6
24,ne²xni,dí nexni,V;IPFV;SG;1;PRS,4,6
25,kụ¹²hni,dá kụhni,V;PFV;SG;1,4,6
26,kụ²ʔtsi,da kụʔtsi,V;IRR;SG;3,4,6
27,gu¹²st’i,ngí gust’i,V;IPFV;SG;2;PST,4,6
28,ho²ki,ndí hoki,V;IPFV;SG;1;PST,4,6
29,kụ²ʔtsi,xkí kụʔtsi,V;PRF;2;PST,4,6
30,pu²ni,gi puni,V;IRR;SG;2,4,6
31,do²-mbi,dombi,V;IPFV;SG;3;PRS,4,6
32,ntsụtua-bọznä,stá ntsụtuabọznä,V;PRF;SG;1;PRS,4,6
33,the²n-the,xkí nthenthe,V;PRF;2;PST,4,6
34,pẹ²-hwä,dá pẹhwä,V;PFV;SG;1,4,6
35,pẹ¹²ʔtsi,dá pẹʔtsi,V;PFV;SG;1,4,6
36,pasia,dá pasia,V;PFV;SG;1,4,6
37,pe²,xká pe,V;PRF;SG;2;PRS,4,6
38,ts’ahni,ga ts’ahni,V;IRR;SG;1,4,6
39,ñäti,ngí ñäti,V;IPFV;SG;2;PST,4,6
40,fa²s-te,xká mfaste,V;PRF;SG;2;PRS,4,6
41,pi²t’i,ngí pit’i,V;IPFV;SG;2;PST,4,6
42,tu²di,tudi,V;IPFV;SG;3;PRS,4,6
43,ọde,ʔọde,V;IPFV;SG;3;PRS,4,6
44,ko¹²ts’i,gi kots’i,V;IRR;SG;2,4,6
45,nts’angi,ndí nts’angi,V;IPFV;SG;1;PST,4,6
46,po¹²nt’a²-ʔyẹ,bi pont’aʔyẹ,V;PFV;SG;3,4,6
47,k’ụ¹²nts’i,stí nk’ụnts’i,V;PRF;1;PST,4,6
48,mä-ya,gá mäya,V;PFV;SG;2,4,6
49,magi,xa magi,V;PRF;SG;3;PRS,4,6
50,fat’i,ga fat’i,V;IRR;SG;1,4,6
51,a²fi,da ʔñafi,V;IRR;SG;3,4,6
52,mpụ¹²nts’i,stí mpụnts’i,V;PRF;1;PST,4,6
53,hui¹²,xki hui,V;PRF;3;PST,4,6
54,kat’i,dá kat’i,V;PFV;SG;1,4,6
55,ʔuẹni,stí ʔuẹni,V;PRF;1;PST,4,6
56,pụ²xki,bi mụxki,V;PFV;SG;3,4,6
57,nka²yo,gi nkayo,V;IRR;SG;2,4,6
58,tsa²-te,xkí ntsate,V;PRF;2;PST,4,6
59,mbätsi,mbätsi,V;IPFV;SG;3;PRS,4,6
60,t’i,xki t’i,V;PRF;3;PST,4,6
61,tsụ²-t’yụi,stí ntsụtʔyụi,V;PRF;1;PST,4,6
62,nthụ²ni,da nthụni,V;IRR;SG;3,4,6
63,jua²-sẹ¹²hẹ,xa ʔuasẹhẹ,V;PRF;SG;3;PRS,4,6
64,pẹ²,dí pẹ,V;IPFV;SG;1;PRS,4,6
65,hñahni,mí hñahni,V;IPFV;SG;3;PST,4,6
66,pu²ra,ga pura,V;IRR;SG;1,4,6
67,e²ʔtsa²-te,ngí ʔëʔtsate,V;IPFV;SG;2;PST,4,6
68,ne²ka-ntsụ²ʔtsi,xa nekantsụʔtsi,V;PRF;SG;3;PRS,4,6
69,ñä²hni,xkí ñähni,V;PRF;2;PST,4,6
70,hi,stí nhyi,V;PRF;1;PST,4,6
71,a²-the,gi ʔñathe,V;IRR;SG;2,4,6
72,bu²hla,dá buhla,V;PFV;SG;1,4,6
73,ʔmẹ-mpi¹²ts’i,dí ʔmẹmpits’i,V;IPFV;SG;1;PRS,4,6
74,aki,da ʔyaki,V;IRR;SG;3,4,6
75,mä-ya,gi mäya,V;IRR;SG;2,4,6
