,lemma,form,tags,family,language
0,tẹ²ki,bi-n tẹki,V;PFV;SG;3,4,7
1,ha²nni,gí-dí hanni,V;IPFV;SG;2;PRS,4,7
2,ʔba²ʔt’i,xká ʔbaʔt’i,V;PRF;SG;2,4,7
3,pa¹k-pi,i pakpi,V;IPFV;SG;3;PRS,4,7
4,ʔe¹nts’i,gá ʔyents’i,V;PFV;SG;2,4,7
5,k’wẹ¹²nt’i,xtá-n k’wẹnt’i,V;PRF;SG;1,4,7
6,yo¹ndi²bi,gi yo+ndibi,V;IRR;SG;2,4,7
7,hwï²gi,bi hwïgi,V;PFV;SG;3,4,7
8,tsạ¹ti,gi tsạti,V;IRR;SG;2,4,7
9,mu²ʔts’i,mí-n muʔts’i,V;IPFV;SG;3;PST,4,7
10,thẹ¹ni,mí thẹni,V;IPFV;SG;1;PST,4,7
11,tsẹ¹²ni,xká tsẹni,V;PRF;SG;2,4,7
12,hä¹²xi,da hyäxi,V;IRR;SG;3,4,7
13,kʉ¹,mí kʉ,V;IPFV;SG;3;PST,4,7
14,fẹ¹n-za,xí mbẹnza,V;PRF;PL;3,4,7
15,kạ¹ts’i,gí kạts’i,V;IPFV;SG;2;PRS,4,7
16,xẹ¹ki,mí xẹki,V;IPFV;SG;1;PST,4,7
17,n=hyạ²t’i,da-n hyạt’i,V;IRR;SG;1,4,7
18,ju¹ʔmi,xkí juʔmi,V;PRF;PL;2,4,7
19,po²ki,mí poki,V;IPFV;SG;1;PST,4,7
20,ʔo¹ʔt’i,xká ʔyoʔt’i,V;PRF;SG;2,4,7
21,hu¹ʔts’i,ga huʔts’i,V;IRR;SG;1,4,7
22,ʔo¹²h-fʉ²ni,ga-n ʔohfʉni,V;IRR;SG;2,4,7
23,tsʉ²ʔt’i,i tsʉʔt’i,V;IPFV;SG;3;PRS,4,7
24,pø²n-ni¹go,xa-n pønnigo,V;PRF;SG;3,4,7
25,mba²-xä¹nni,mí-dí mbaxänni,V;IPFV;SG;1;PST,4,7
26,te¹,g-mí te,V;IPFV;SG;2;PST,4,7
27,n=pʉ²gi,xa-n pʉgi,V;PRF;SG;3,4,7
28,ʔë¹²ts’i,gí ʔëts’i,V;IPFV;SG;2;PRS,4,7
29,n=kø²ni,gá-n køni,V;PFV;SG;2,4,7
30,tʉ²ʔts’i,g-mí tʉʔts’i,V;IPFV;SG;2;PST,4,7
31,ʔbẹ²-jwa,mí ʔbẹjwa,V;IPFV;SG;1;PST,4,7
32,hʉ²m-bi,xtá hʉmbi,V;PRF;SG;1,4,7
33,n=ʔạ²di,dí-n ʔạdi,V;IPFV;SG;1;PRS,4,7
34,pä²ʔts’i,gá päʔts’i,V;PFV;SG;2,4,7
35,tẹ²s-pi,g-mí tẹspi,V;IPFV;SG;2;PST,4,7
36,n=mu²ʔts’i,dá-n muʔts’i,V;PFV;SG;1,4,7
37,ʔbe²ʔmi,bi ʔbeʔmi,V;PFV;SG;3,4,7
38,tsa²-ʔyä,xtá tsaʔyä,V;PRF;SG;1,4,7
39,n=tu¹²ʔts’i,ga-n tuʔts’i,V;IRR;SG;2,4,7
40,tu²-the,xa-n tuthe,V;PRF;SG;3,4,7
41,tsi¹²ya,mí tsiya,V;IPFV;SG;3;PST,4,7
42,fʉ²nts’i,xká fʉnts’i,V;PRF;SG;2,4,7
43,n=ʔyạ²ni,xa-n ʔyạni,V;PRF;SG;3,4,7
44,hë¹ki,xká hyëki,V;PRF;SG;2,4,7
45,thä¹mmi,xa dämmi,V;PRF;SG;3,4,7
46,da²t’i,xkí dat’i,V;PRF;PL;2,4,7
47,di¹²nts’i,gá dints’i,V;PFV;SG;2,4,7
48,ʔe¹²xke,i ʔexke,V;IPFV;SG;3;PRS,4,7
49,tä²-te,dá-n täte,V;PFV;SG;1,4,7
50,ʔu²ti,mí ʔuti,V;IPFV;SG;3;PST,4,7
51,tsạ¹²-mhyä,xtá tsạmhyä,V;PRF;PL;1,4,7
52,pø²ʔts’e,da mbøʔts’e,V;IRR;SG;3,4,7
53,te¹²de,dá tede,V;PFV;SG;1,4,7
54,pø²ni,ga pøni,V;IRR;SG;1,4,7
55,tø¹²te,bi tøte,V;PFV;SG;3,4,7
56,yä²-njo²t’re,xa-n yänjot’re,V;PRF;SG;3,4,7
57,ta¹ni,ga tani,V;IRR;SG;1,4,7
58,te¹,xtá te,V;PRF;PL;1,4,7
59,hë¹ʔts’i,gá hyëʔts’i,V;PFV;SG;2,4,7
60,pʉ¹t’i,xká pʉt’i,V;PRF;SG;2,4,7
61,tẹ²ki,(i-)dí tẹki,V;IPFV;SG;3;PRS,4,7
62,n=pʉ¹²nts’i,(i-)dí-n pʉnts’i,V;IPFV;SG;3;PRS,4,7
63,mu¹hni,dá muhni,V;PFV;SG;1,4,7
64,n=hyø¹mmi,xí-n hyømmi,V;PRF;PL;3,4,7
65,ʔwe¹²ʔts’e,gi ʔweʔts’e,V;IRR;SG;2,4,7
66,xä¹²ndi,xtá xändi,V;PRF;PL;1,4,7
67,ja²-pi,g-mí japi,V;IPFV;SG;2;PST,4,7
68,n=de¹be,mí-dí-n debe,V;IPFV;SG;3;PST,4,7
69,he²,g-mí he,V;IPFV;SG;2;PST,4,7
70,pa¹t’i,xká pat’i,V;PRF;SG;2,4,7
71,n=ts’ạ²-mbʉ¹²i,ga-n ts’ạmbʉi,V;IRR;SG;2,4,7
72,hä¹²xi,xtá häxi,V;PRF;SG;1,4,7
