,lemma,form,tags,family,language
0,–kaf,i¹kaf²n,V;PL;2;PST+IMMED,4,8
1,–ngwe,e¹ngwe²,V;SG;2;PST+IMMED,4,8
2,–sa,na²sa¹,V;SG;3;SS;LGSPEC1,4,8
3,–pon,siᵈ¹n ga²mbon²,V;PL;3;NEG;FUT,4,8
4,–ga,tu¹ga²,V;SG;1;PST+RMT,4,8
5,–kets,ku²kets¹hų²,V;PL;1+EXCL;PST+RCT,4,8
6,–khar,siᵈ¹n ki²khar¹n,V;PL;2;NEG;FUT,4,8
7,–tü,ni²tü¹mᵖ,V;POT;DU;1+EXCL;FUT,4,8
8,–kuʔ,na¹kuʔ²,V;POT;PL;3;FUT,4,8
9,–paa,i¹ngwaa²n,V;PL;2;PST+IMMED,4,8
10,–ʔün,nu²ʔün¹n,V;PL;1+INCL;SS;LGSPEC1,4,8
11,–ta,u²ta²mᵖ,V;DU;1+EXCL;PST+IMMED,4,8
12,–me,za¹mer²n,V;PL;2;SS;LGSPEC1,4,8
13,–tsę,su¹tsę²mᵖ,V;DU;1+EXCL;NEG,4,8
14,–hą,ki¹hą²s,V;DU;2;PST+RCT,4,8
15,–tso,ku²zo²,V;SG;3;PST+RCT,4,8
16,–rho,zu²ntho¹,V;PL;3;PST+IMMED,4,8
17,–sų,mi²sų²,V;POT;SG;2;FUT,4,8
18,–po,e²po¹n,V;PL;1+INCL;PRS,4,8
19,–ke,ku²g^e¹,V;SG;3;PST+RCT,4,8
20,–nef,siᵈ¹n ga²nef¹n,V;PL;1+INCL;NEG;FUT,4,8
21,–khar,u²khar¹mᵖ,V;DU;1+EXCL;PST+IMMED,4,8
22,–mir,siᵈ¹n ti¹mir²n,V;PL;1+INCL;NEG;FUT,4,8
23,–tu,siᵈ¹n ga²tu¹mᵖ,V;DU;1+EXCL;NEG;FUT,4,8
24,–mą,siᵈ¹n ka²mą²s,V;DU;2;NEG;FUT,4,8
25,–hi,mi²nhi²n,V;POT;PL;2;FUT,4,8
26,–ʔü,su²ʔü¹mᵖ,V;DU;1+EXCL;NEG,4,8
27,–poo,i¹poo²hų²,V;PL;1+EXCL;PST+IMMED,4,8
28,–no,tu²no¹s,V;DU;1+INCL;PRS,4,8
29,–por,e²phor¹,V;PL;3;PST+IMMED,4,8
30,–ʔi,ti²ʔi²mᵖ,V;DU;1+EXCL;PST+RMT,4,8
31,–kün,nu²kün¹,V;POT;SG;1;FUT,4,8
32,–sempf,ki²sempf¹,V;IND;SG;2;FUT,4,8
33,–sa,e²sa²,V;SG;3;PST+IMMED,4,8
34,–ngwa¹as,ga¹pa¹as²,V;IND;SG;3;FUT,4,8
35,–tü,ka²tü¹,V;SG;1;PST+IMMED,4,8
36,–nef,siᵈ¹n ki²nef¹n,V;PL;2;NEG;FUT,4,8
37,–hun,nu¹hun²hų²,V;POT;PL;1+EXCL;FUT,4,8
38,–to,ki¹ndo²s,V;DU;2;PST+RCT,4,8
39,–mur,za²mur²,V;SG;2;SS;LGSPEC1,4,8
40,–her,ku¹nher²,V;SG;3;PST+RCT,4,8
41,–te,na²ter¹,V;POT;PL;3;FUT,4,8
42,–ppi,siᵈ¹n ga²ppi¹s,V;DU;1+INCL;NEG;FUT,4,8
43,–tets,siᵈ¹n ga²tets¹hų²,V;PL;1+EXCL;NEG;FUT,4,8
44,–po,u²por²hų²,V;PL;1+EXCL;PRS,4,8
45,–tsa,ga²za¹,V;IND;SG;3;FUT,4,8
46,–mben,ki²mben¹s,V;DU;2;PST+RCT,4,8
47,–sü,su¹sü²,V;SG;1;NEG,4,8
48,–sus,u²sus¹s,V;DU;1+INCL;PST+IMMED,4,8
49,–to,mi¹to²s,V;POT;DU;2;FUT,4,8
50,–ha,nu²ha²mᵖ,V;POT;DU;1+EXCL;FUT,4,8
51,–ʔor,nu²ʔor¹n,V;POT;PL;1+INCL;FUT,4,8
52,–kaf,ki¹kaf²,V;SG;2;PRS,4,8
53,–te,ta²te¹,V;IND;PL;3;FUT,4,8
54,–ppar,gi²ppar¹s,V;DU;2;SS;LGSPEC1,4,8
55,–ʔę,gu²ʔę¹hų²,V;IND;PL;1+EXCL;FUT,4,8
56,–ʔe,i¹ʔe²mᵖ,V;DU;1+EXCL;PST+IMMED,4,8
57,–hunts,sa²hunts¹n,V;PL;2;PST+RMT,4,8
58,–kets,ga²kets¹,V;IND;SG;1;FUT,4,8
59,–pof,ki¹pof²n,V;PL;2;PST+RCT,4,8
60,–pe,ra¹pe²mᵖ,V;DU;1+EXCL;SS;LGSPEC1,4,8
61,–to,ki¹to²n,V;PL;2;PRS,4,8
62,–ʔi,e¹ʔi²n,V;PL;2;PST+IMMED,4,8
63,–kkü,ma²kkü¹,V;POT;SG;3;FUT,4,8
64,–pof,su¹pof²n,V;PL;1+INCL;NEG,4,8
65,–sempf,ki²sempf¹s,V;DU;2;PST+RMT,4,8
66,–ser,za²ser¹,V;POT;SG;2;FUT,4,8
67,–ʔe,nu¹ʔe²s,V;POT;DU;1+INCL;FUT,4,8
68,–mą,u²mą²mᵖ,V;DU;1+EXCL;PST+IMMED,4,8
69,–ʔür,e²ʔür¹n,V;PL;1+INCL;PRS,4,8
70,–tu,mi²tu¹n,V;POT;PL;2;FUT,4,8
71,–kun,si²kun¹,V;SG;2;NEG,4,8
72,–ngwi¹ʔi,ma¹ngwi¹ʔi²n,V;POT;PL;2;FUT,4,8
73,–khar,mi²khar¹n,V;POT;PL;2;FUT,4,8
74,–tan,u²tan¹mᵖ,V;DU;1+EXCL;PST+IMMED,4,8
75,–pen,ki¹pen²,V;SG;2;PRS,4,8
76,–maf,siᵈ¹n ki¹maf²,V;SG;2;NEG;FUT,4,8
77,–tets,e²tets¹n,V;PL;2;PST+IMMED,4,8
78,–tü,tu¹tü²hų²,V;PL;1+EXCL;PRS,4,8
79,–ʔo,siᵈ¹n ga¹rʔo²,V;PL;3;NEG;FUT,4,8
80,–tsen,nu²tsen¹s,V;POT;DU;1+INCL;FUT,4,8
81,–men,gu¹men²hų²,V;IND;PL;1+EXCL;FUT,4,8
82,–ngweʔn,za¹ngweʔn²,V;SG;2;SS;LGSPEC1,4,8
83,–ʔü,ku²ʔü¹n,V;PL;1+INCL;PST+RCT,4,8
84,–ʔets,siᵈ¹n ki²tits¹n,V;PL;2;NEG;FUT,4,8
85,–ʔi,mi²ʔir²n,V;POT;PL;2;FUT,4,8
86,–tets,tu²tets¹hų²,V;PL;1+EXCL;PST+RMT,4,8
87,–tan,tu²tan¹n,V;PL;1+INCL;PST+RMT,4,8
88,–ta,siᵈ¹n ga¹ra²,V;SG;3;NEG;FUT,4,8
89,–ʔün,ki²ʔün¹,V;SG;2;PRS,4,8
90,–tsü,i²tsü¹,V;SG;3;PRS,4,8
91,–hu,u²hu¹,V;SG;1;PST+IMMED,4,8
92,–seni,i²seni¹,V;SG;2;PST+IMMED,4,8
93,–pii,ku²mbiin¹mᵖ,V;DU;1+EXCL;PST+RCT,4,8
