,lemma,form,tags,family,language
0,naʔ¹ma¹,naʔ¹ma¹,V;PFV;LGSPEC2,4,9
1,nda³-nu¹na⁴,nda¹³-nu¹na⁴,V;PFV;LGSPEC2,4,9
2,chi³ndaʔ³a⁴,chi³ndaʔ³a⁴,V;IRR,4,9
3,ka³si²,nda⁴si²,V;STAT,4,9
4,ka¹an¹,ka¹an¹,V;PFV;LGSPEC2,4,9
5,ndo³ko³,ndo⁴ko³,V;IPFV,4,9
6,nda³-tiʔ³bi³,nda³-tiʔ³bi³,V;IRR,4,9
7,ku³-ndi³chi²,ku¹⁴-ndi³chi²,V;IRR;NEG,4,9
8,nda³-tu¹u³,ni¹-nda³-tu¹u³,V;PFV;LGSPEC1,4,9
9,nda³-ko¹o³,nda³-ko¹o³,V;IRR,4,9
10,chi³chin⁴,chi¹⁴chi⁴,V;IRR;NEG,4,9
11,chuʔ³u⁴,chuʔ³u⁴,V;IRR,4,9
12,na³ma³,na³ma³,V;IRR,4,9
13,ka³chi²,ka³chi²,V;IRR,4,9
14,nda³-xi⁴ta³,nda³-xi⁴ta³,V;IRR,4,9
15,ka¹ya¹,ka⁴ya¹,V;IPFV,4,9
16,nu¹na⁴,nu¹⁴na¹⁴,V;IRR;NEG,4,9
17,nda³-nu¹na⁴,nda⁴-nu¹na⁴,V;IPFV,4,9
18,nda³ka³ka³,nda³ka³ka³,V;IRR,4,9
19,kaʔ³an⁴,kaʔ¹⁴an⁴,V;IRR;NEG,4,9
20,tu³un²,tu⁴un²,V;IPFV,4,9
21,ndu³-bi³ta⁴²,ni¹-ndu³-bi³ta⁴²,V;PFV;LGSPEC1,4,9
22,ka³kuʔ¹un³,ka¹⁴kuʔ¹un³,V;IRR;NEG,4,9
23,ku³-xaʔ¹a¹,ku³-xaʔ¹a¹,V;IRR,4,9
24,sa⁴-kwaʔ³a³,ni¹-sa⁴kwaʔ³a³,V;PFV;LGSPEC1,4,9
25,ku³-ndaʔ⁴bi²,ku³-ndaʔ⁴bi²,V;IRR,4,9
26,ku³-kiʔ⁴bi³,ku¹⁴-kiʔ⁴bi³,V;IRR;NEG,4,9
27,ka³a⁴,ka¹³a⁴,V;PFV;LGSPEC2,4,9
28,na³ni²,na³ni²,V;IRR,4,9
29,ka³chi²,ka¹⁴chi²,V;IRR;NEG,4,9
30,kwi¹i⁴,kwi¹i⁴,V;IRR,4,9
31,nda³kwa³tu³,nda¹³kwa³tu³,V;PFV;LGSPEC2,4,9
32,nda³-taʔ¹bi⁴,nda⁴-taʔ¹bi⁴,V;IPFV,4,9
33,ka³ta³,xi¹³ta³,V;PFV;LGSPEC2,4,9
34,ku³-nda³si⁴,ni¹-ku³-nda³si⁴,V;PFV;LGSPEC1,4,9
35,naʔ¹a¹,naʔ¹⁴a¹,V;IRR;NEG,4,9
36,kwe³ta³,jwe⁴ta³,V;IPFV,4,9
37,sa³na³,sa¹³na³,V;PFV;LGSPEC2,4,9
38,ta³a³,ni¹-ta³a³,V;PFV;LGSPEC1,4,9
39,xa³xa⁴,xa⁴xa⁴,V;IPFV,4,9
40,ka³si⁴,ka¹⁴si⁴,V;IRR;NEG,4,9
41,nde¹e³,nde¹e³,V;IRR,4,9
42,i¹chi¹,i¹⁴chi¹,V;IRR;NEG,4,9
43,kwi³i³,kwi¹⁴i³,V;IRR;NEG,4,9
44,kaʔ³nda²,taʔ⁴nda¹,V;STAT,4,9
45,ti³xi⁴tin⁴,ni¹-ti³xi⁴tin⁴,V;PFV;LGSPEC1,4,9
46,xa¹a¹,xa⁴a¹,V;IPFV,4,9
47,sa³na³,sa¹⁴na³,V;IRR;NEG,4,9
48,ku³-baʔ¹a³,ku⁴-baʔ¹a³,V;IPFV,4,9
49,kwi¹ya⁴,ni¹-xi¹ya⁴,V;PFV;LGSPEC1,4,9
50,ka³-ta³ka³a³,ka¹⁴-ta³ka³a³,V;IRR;NEG,4,9
51,kwaʔ³nu³,xaʔ¹³nu³,V;PFV;LGSPEC2,4,9
52,ku³-xi³yo³,ni¹-ju³xi³yo³,V;PFV;LGSPEC1,4,9
53,xa¹⁴bi²,i⁴xa¹⁴bi²,V;IPFV,4,9
