,lemma,form,tags,family,language
0,dxaʔ,txâʔ,V;POT,4,10
1,u+zu,gúzu,V;POT,4,10
2,zu,rzu,V;HAB,4,10
3,bwĭ,gulĭ,V;PFV,4,10
4,u+ldaˀatsi,gúldaˀatsi,V;POT,4,10
5,dzhitshi,tshĭtshi,V;POT,4,10
6,na,gína,V;POT,4,10
7,răʔa,birăʔa,V;PFV,4,10
8,gĭʔi,rgĭʔi,V;HAB,4,10
9,u+kidzí,rukidzí,V;HAB,4,10
10,u+s+iăka,rusiăka,V;HAB,4,10
11,dziiˀba,gudziiˀba,V;PFV,4,10
12,iăka,dxîăka,V;POT,4,10
13,u+la,rula,V;HAB,4,10
14,u+txiˀidzhu,gútxiˀidzhu,V;POT,4,10
15,atxi,gâtxi,V;POT,4,10
16,diiˀdzhi,rdiiˀdzhi,V;HAB,4,10
17,a+tăʔa,ratăʔa,V;HAB,4,10
18,îˀi,dxîˀi,V;POT,4,10
19,a+zaaˀ,razaaˀ,V;HAB,4,10
20,taˀa=nĭku,bitaˀa=nĭku,V;PFV,4,10
21,u+sházhí,gúsházhí,V;POT,4,10
22,u+kidzí,gúkidzí,V;POT,4,10
23,atshí,ratshi,V;HAB,4,10
24,usha,rusha,V;HAB,4,10
25,bwĕza,gulĕza,V;PFV,4,10
26,u+kăʔa,rukăʔa,V;HAB,4,10
27,u+tshibi,gútshibi,V;POT,4,10
28,za,rza,V;HAB,4,10
29,u+tooˀ,gútooˀ,V;POT,4,10
30,dxiˀida,txîˀida,V;POT,4,10
31,u+txiˀibí,rutxiˀibí,V;HAB,4,10
32,guuˀ,kŭuˀ,V;POT,4,10
33,u+sa+dubi,rusadubi,V;HAB,4,10
34,u+kwaˀan,bakwaˀan,V;PFV,4,10
35,inn,rinn,V;HAB,4,10
36,ropá,rropá,V;HAB,4,10
37,baaˀba,bibaaˀba,V;PFV,4,10
38,u+sa+g+uaˀa,gúsaguaˀa,V;POT,4,10
39,u+shiˀidxi,bashiˀidxi,V;PFV,4,10
40,u+z+aˀa,bazaˀa,V;PFV,4,10
41,u+sa+g+uˀun,rusaguˀun,V;HAB,4,10
42,gin,rgin,V;HAB,4,10
43,dxĭnn,txĭnn,V;POT,4,10
44,u+dzhuˀuyi,gúdzhuˀuyi,V;POT,4,10
45,ieˀedu,rieˀedu,V;HAB,4,10
46,u+sa,rusa,V;HAB,4,10
47,a+lasa,gálasa,V;POT,4,10
48,inn,dxînn,V;POT,4,10
49,zudzi,rzudzi,V;HAB,4,10
50,bishi,rbishi,V;HAB,4,10
51,dzita,rdzita,V;HAB,4,10
52,u+ñitxi,ruñitxi,V;HAB,4,10
53,zhăla,gízhăla,V;POT,4,10
54,ioʔ,dxîoʔ,V;POT,4,10
55,biˀiyi,gubiˀiyi,V;PFV,4,10
56,atxi,gutxi,V;PFV,4,10
57,ieˀe,bieˀe,V;PFV,4,10
58,ieˀetu,rieˀetu,V;HAB,4,10
59,a+ra,gára,V;POT,4,10
60,u+sa+dzhaga,gúsadzhaga,V;POT,4,10
61,u+laˀaga,balaˀaga,V;PFV,4,10
62,tăaˀa,gítăaˀa,V;POT,4,10
63,u+ldaˀatsi,ruldaˀatsi,V;HAB,4,10
64,asi,guta=zhgasi,V;PFV,4,10
65,dxipa,txĭpa,V;POT,4,10
66,u+kaˀatsi,bakaˀatsi,V;PFV,4,10
67,iaʔn,riaʔn,V;HAB,4,10
68,dzhitshi,gudzhitshi,V;PFV,4,10
69,a+dubi,gádubi,V;POT,4,10
70,gaˀazhu,rgaˀazhu,V;HAB,4,10
71,tuyí,gítuyí,V;POT,4,10
72,u+luˀuyi,gúluˀuyi,V;POT,4,10
73,a+dyăʔa,badyăʔa,V;PFV,4,10
74,u+s+iela,rusiela,V;HAB,4,10
75,dxipa,gudxipa,V;PFV,4,10
76,u+s+iunga,rusiunga,V;HAB,4,10
77,zhătxi,rzhătxi,V;HAB,4,10
78,baˀagú,bibaˀagú,V;PFV,4,10
79,bagu,gulagu,V;PFV,4,10
80,biˀiyi,gíbiˀiyi,V;POT,4,10
81,u+shiˀidxi,gúshiˀidxi,V;POT,4,10
82,zhaˀata,rzhaˀata,V;HAB,4,10
83,zeʔ,rzeʔ,V;HAB,4,10
84,txâˀan,bitxâˀan,V;PFV,4,10
