,lemma,form,tags,family,language
0,kustutama,ärgu kustutagu,V;IMP;SG;3;NEG;PRS;ACT,5,1
1,eitama,eitasite,V;IND;PL;2;POS;PST;ACT,5,1
2,jooma,oli joonud,V;PRF;COND;SG;3;POS;PRS;ACT,5,1
3,mõis,mõisal,N;AT+ESS;SG,5,1
4,keemik,keemikutes,N;IN+ESS;PL,5,1
5,masturbeerima,olevat masturbeerinud,V;PRF;QUOT;POS;PRS;ACT,5,1
6,omama,omagem,V;IMP;PL;1;POS;PRS;ACT,5,1
7,viinakuu,viinakuul,N;AT+ESS;SG,5,1
8,külastama,olete külastanud,V;PRF;IND;PL;2;POS;PRS;ACT,5,1
9,põletama,oleksin põletanud,V;PRF;COND;POS;PRS;ACT,5,1
10,kuritöö,kuritöid,N;PRT;PL,5,1
11,kiirendama,olgu kiirendanud,V;PRF;IMP;PL;POS;PRS;ACT,5,1
12,peaminister,peaministriks,N;TRANS;SG,5,1
13,välismaa,välismaaks,N;TRANS;SG,5,1
14,looma,ärgu olgu loonud,V;PRF;IMP;SG;NEG;PRS;ACT,5,1
15,õppima,õpitavat,V;QUOT;POS;PRS;PASS,5,1
16,sõitma,ei ole sõidetud,V;PRF;IND;NEG;PRS;PASS,5,1
17,varastama,olin varastanud,V;PRF;COND;SG;1;POS;PRS;ACT,5,1
18,algama,algate,V;IND;PL;2;POS;PRS;ACT,5,1
19,jäätuma,jäätuksid,V;COND;PL;3;POS;PRS;ACT,5,1
20,september,septembritena,N;FRML;PL,5,1
21,teadma,teadev,V.PTCP;PRS;ACT,5,1
22,nokkima,nokitav,V.PTCP;PRS;PASS,5,1
23,välismaa,välismaa,N;NOM;SG,5,1
24,kuldmedal,kuldmedalitest,N;IN+ABL;PL,5,1
25,kohtama,kohtame,V;IND;PL;1;POS;PRS;ACT,5,1
26,kiirendama,kiirendatagu,V;IMP;POS;PRS;PASS,5,1
27,lõvi,lõvi,N;GEN;SG,5,1
28,võitma,oli võitnud,V;PRF;COND;PL;3;POS;PRS;ACT,5,1
29,alalõualuu,alalõualuud,N;PRT;SG,5,1
30,aaker,aakris,N;IN+ESS;SG,5,1
31,aken,aknal,N;AT+ESS;SG,5,1
32,masturbeerimine,masturbeerimiste,N;GEN;PL,5,1
33,riidekoi,riidekoiks,N;TRANS;SG,5,1
34,elama,ärgu olgu elatud,V;PRF;IMP;NEG;PRS;PASS,5,1
35,käitumine,käitumistes,N;IN+ESS;PL,5,1
36,imik,imikud,N;ACC;PL,5,1
37,panema,ärgu olgu pandud,V;PRF;IMP;NEG;PRS;PASS,5,1
38,kaltsedon,kaltsedondeni,N;TERM;PL,5,1
39,inimkaubandus,inimkaubandusena,N;FRML;SG,5,1
40,türklane,türklased,N;ACC;PL,5,1
41,aatom,aatomiks,N;TRANS;SG,5,1
42,klooster,kloostrites,N;IN+ESS;PL,5,1
43,oliivipuu,oliivipuudeni,N;TERM;PL,5,1
44,korjama,korjaks,V;COND;SG;3;POS;PRS;ACT,5,1
45,meeldima,ärge meeldige,V;IMP;PL;2;NEG;PRS;ACT,5,1
46,õpilane,õpilastena,N;FRML;PL,5,1
47,nikkuma,oleks nikkunud,V;PRF;COND;SG;3;POS;PRS;ACT,5,1
48,muutus,muutusele,N;AT+ALL;SG,5,1
49,lendur,lendurina,N;FRML;SG,5,1
50,gei,geidena,N;FRML;PL,5,1
51,otsima,ärgu otsitagu,V;IMP;NEG;PRS;PASS,5,1
52,telefon,telefonid,N;ACC;PL,5,1
53,asuma,asutaks,V;COND;POS;PRS;PASS,5,1
54,kaasa,kaasadelt,N;AT+ABL;PL,5,1
55,kaasaütlev,kaasaütlevat,N;PRT;SG,5,1
56,helistama,olgu helistanud,V;PRF;IMP;PL;POS;PRS;ACT,5,1
57,jäätama,olgu jäätanud,V;PRF;IMP;SG;POS;PRS;ACT,5,1
58,püüdma,püüdev,V.PTCP;PRS;ACT,5,1
59,sõltlane,sõltlaseks,N;TRANS;SG,5,1
60,kaubanduskeskus,kaubanduskeskuse,N;GEN;SG,5,1
61,kobisema,oleksid kobisenud,V;PRF;COND;SG;2;POS;PRS;ACT,5,1
62,neeger,neegrites,N;IN+ESS;PL,5,1
63,kaamel,kaameli,N;GEN;SG,5,1
64,dubnium,dubniume,N;PRT;PL,5,1
65,narkar,narkarid,N;ACC;PL,5,1
66,nokkima,ärgu olgu nokitud,V;PRF;IMP;NEG;PRS;PASS,5,1
67,summutama,on summutanud,V;PRF;IND;SG;3;POS;PRS;ACT,5,1
68,rula,rulana,N;FRML;SG,5,1
69,asuma,asutud,V.PTCP;PST;PASS,5,1
70,sündima,oleme sündinud,V;PRF;IND;PL;1;POS;PRS;ACT,5,1
71,rikastuma,rikastugem,V;IMP;PL;1;POS;PRS;ACT,5,1
72,peatama,olgu peatanud,V;PRF;IMP;SG;POS;PRS;ACT,5,1
73,kiitma,ärgem kiitkem,V;IMP;PL;1;NEG;PRS;ACT,5,1
74,petma,olevat petnud,V;PRF;QUOT;POS;PRS;ACT,5,1
75,olema,olema,V;NFIN,5,1
76,itaallane,itaallaseni,N;TERM;SG,5,1
77,ettur,etturi,N;ACC;SG,5,1
78,kaklus,kaklused,N;NOM;PL,5,1
79,pensionär,pensionärdena,N;FRML;PL,5,1
80,pronksmedal,pronksmedalis,N;IN+ESS;SG,5,1
81,trofee,trofeedest,N;IN+ABL;PL,5,1
82,omastav,omastavad,N;ACC;PL,5,1
83,liivlane,liivlane,N;NOM;SG,5,1
84,kaklema,ei olevat kakelnud,V;PRF;QUOT;NEG;PRS;ACT,5,1
85,asuma,asuvad,V;IND;PL;3;POS;PRS;ACT,5,1
86,veenma,olin veennud,V;PRF;COND;SG;1;POS;PRS;ACT,5,1
87,varastama,olgu varastanud,V;PRF;IMP;PL;POS;PRS;ACT,5,1
88,loendama,loendavat,V;QUOT;POS;PRS;ACT,5,1
89,kuurium,kuuriumilt,N;AT+ABL;SG,5,1
90,ameeriklane,ameeriklased,N;NOM;PL,5,1
91,käitumine,käitumised,N;NOM;PL,5,1
92,polüester,polüestrid,N;ACC;PL,5,1
93,loodus,loodust,N;PRT;SG,5,1
94,hõivama,olid hõivanud,V;PRF;COND;SG;2;POS;PRS;ACT,5,1
95,kaugus,kaugustele,N;AT+ALL;PL,5,1
96,arutelu,arutelusid,N;PRT;PL,5,1
97,omandama,omandasime,V;IND;PL;1;POS;PST;ACT,5,1
98,muusik,muusik,N;NOM;SG,5,1
99,ukrainlane,ukrainlastega,N;COM;PL,5,1
100,alumiinium,alumiiniumdele,N;AT+ALL;PL,5,1
101,sadama,sajate,V;IND;PL;2;POS;PRS;ACT,5,1
102,harjutus,harjutustes,N;IN+ESS;PL,5,1
103,vaatama,on vaadatud,V;PRF;IND;POS;PRS;PASS,5,1
104,roojamine,roojamiselt,N;AT+ABL;SG,5,1
105,kinaver,kinaverdest,N;IN+ABL;PL,5,1
106,hommik,hommikutega,N;COM;PL,5,1
107,kiirendama,oli kiirendatud,V;PRF;IND;POS;PST;PASS,5,1
108,ohutu,ohutuni,N;TERM;SG,5,1
109,otsima,olime otsinud,V;PRF;COND;PL;1;POS;PRS;ACT,5,1
110,vesiveski,vesiveskidena,N;FRML;PL,5,1
111,kaaries,kaarieseni,N;TERM;SG,5,1
112,õpilane,õpilasi,N;PRT;PL,5,1
113,soomlane,soomlasena,N;FRML;SG,5,1
114,astuma,astunud,V.PTCP;PST;ACT,5,1
115,vaatama,ei ole vaadatud,V;PRF;IND;NEG;PRS;PASS,5,1
116,sündima,ärgu sündigu,V;IMP;SG;3;NEG;PRS;ACT,5,1
117,toitma,ei toidetud,V;IND;NEG;PST;PASS,5,1
118,kaas,kaane,N;GEN;SG,5,1
119,seisma,seisab,V;IND;SG;3;POS;PRS;ACT,5,1
120,näiline,näilised,N;NOM;PL,5,1
121,kaelakee,kaelakeede,N;GEN;PL,5,1
122,kiirgus,kiirguses,N;IN+ESS;SG,5,1
123,pronksmedal,pronksmedalitega,N;COM;PL,5,1
