,lemma,form,tags,family,language
0,kukka,kukiks,N;TRANS;PL,5,3
1,seppä,seppää,N;PRT;SG,5,3
2,luu,luiks,N;TRANS;PL,5,3
3,säkki,säkkilöihe,N;IN+ALL;PL,5,3
4,korppi,korppiloille,N;AT+ALL;PL,5,3
5,järvi,järven,N;GEN;SG,5,3
6,kassen,kastmen,N;GEN;SG,5,3
7,leipä,leivät,N;NOM;PL,5,3
8,vezi,vee'ez,N;IN+ESS;SG,5,3
9,süän,süämmiin,N;ESS;PL,5,3
10,hammaz,hammast,N;PRT;SG,5,3
11,iez,ikehiin,N;GEN;PL,5,3
12,aampuussen,aampuustmiin,N;ESS;PL,5,3
13,pää,pää,N;NOM;SG,5,3
14,karhu,karhuloin,N;GEN;PL,5,3
15,olut,oluelt,N;AT+ABL;SG,5,3
16,jää,jäist,N;IN+ABL;PL,5,3
17,kassen,kastmiks,N;TRANS;PL,5,3
18,päivä,päivist,N;IN+ABL;PL,5,3
19,käzi,käzi,N;NOM;SG,5,3
20,lumi,lumiloin,N;ESS;PL,5,3
21,kala,kalloin,N;ESS;PL,5,3
22,lapsi,lapsiloiks,N;TRANS;PL,5,3
23,nain,naizelle,N;AT+ALL;SG,5,3
24,lapsi,lapsen,N;GEN;SG,5,3
25,säkki,säkit,N;NOM;PL,5,3
26,variz,variksiin,N;ESS;PL,5,3
27,lapsi,lasta,N;PRT;SG,5,3
28,öö,ööt,N;NOM;PL,5,3
29,pää,päilt,N;AT+ABL;PL,5,3
30,mäki,mäkilöil,N;AT+ESS;PL,5,3
31,tüär,tütärelt,N;AT+ABL;SG,5,3
32,ikkuna,ikkunoilt,N;AT+ABL;PL,5,3
33,käzi,kättä,N;PRT;SG,5,3
34,seppä,sepält,N;AT+ABL;SG,5,3
35,jalka,jalaal,N;AT+ESS;SG,5,3
36,ikä,ikkää,N;PRT;SG,5,3
37,öö,öölt,N;AT+ABL;SG,5,3
38,karhu,karhuloille,N;AT+ALL;PL,5,3
39,pää,pääst,N;IN+ABL;SG,5,3
40,järvi,järveks,N;TRANS;SG,5,3
41,lumi,lumelle,N;AT+ALL;SG,5,3
42,tähti,tähee,N;IN+ALL;SG,5,3
43,lammaz,lampahaal,N;AT+ESS;SG,5,3
44,luu,luiz,N;IN+ESS;PL,5,3
45,süän,süämiks,N;TRANS;PL,5,3
46,pökköiheinä,pökköiheinii,N;IN+ALL;PL,5,3
47,kala,kalaaz,N;IN+ESS;SG,5,3
48,näkö,näöst,N;IN+ABL;SG,5,3
49,nain,naissiin,N;ESS;PL,5,3
50,maa,maaks,N;TRANS;SG,5,3
51,lammaz,lampahiks,N;TRANS;PL,5,3
52,aampuussen,aampuustmelt,N;AT+ABL;SG,5,3
53,kuu,kuul,N;AT+ESS;SG,5,3
54,hüvä,hüvä,ADJ;NOM;SG,5,3
55,aika,aijjoiz,N;IN+ESS;PL,5,3
56,meez,meehelle,N;AT+ALL;SG,5,3
57,järvi,järvilöille,N;AT+ALL;PL,5,3
58,leipä,leiviil,N;AT+ESS;PL,5,3
59,öö,öön,N;ESS;SG,5,3
60,säkki,säkille,N;AT+ALL;SG,5,3
61,silmä,silmiiz,N;IN+ESS;PL,5,3
62,lapsi,lapsiloihe,N;IN+ALL;PL,5,3
63,päivä,päivä,N;NOM;SG,5,3
64,aika,aijjalt,N;AT+ABL;SG,5,3
65,seppä,sepoilt,N;AT+ABL;PL,5,3
66,aika,aikkoja,N;PRT;PL,5,3
67,aika,aijjoist,N;IN+ABL;PL,5,3
68,lupa,luppaa,N;IN+ALL;SG,5,3
69,käzi,kässii,N;IN+ALL;PL,5,3
70,lammaz,lampahiin,N;GEN;PL,5,3
71,seppä,sepät,N;NOM;PL,5,3
72,joki,jokkiia,N;PRT;SG,5,3
73,pökköiheinä,pökköiheinilt,N;AT+ABL;PL,5,3
74,variz,varikset,N;NOM;PL,5,3
75,karhu,karhuloihe,N;IN+ALL;PL,5,3
76,variz,varikseen,N;ESS;SG,5,3
77,aika,aijjaal,N;AT+ESS;SG,5,3
78,pökköiheinä,pökköiheinän,N;GEN;SG,5,3
79,käzi,kättee,N;IN+ALL;SG,5,3
80,lammaz,lampahist,N;IN+ABL;PL,5,3
81,velli,velliä,N;PRT;SG,5,3
82,daatša,daatšoist,N;IN+ABL;PL,5,3
83,kukka,kukkiin,N;ESS;PL,5,3
84,tüär,tüär,N;NOM;SG,5,3
85,iez,ikeheks,N;TRANS;SG,5,3
86,daatša,daatšoil,N;AT+ESS;PL,5,3
87,tüär,tütäreen,N;ESS;SG,5,3
88,käzi,käzilt,N;AT+ABL;PL,5,3
89,kala,kaloilt,N;AT+ABL;PL,5,3
90,kukka,kukist,N;IN+ABL;PL,5,3
91,izä,izöil,N;AT+ESS;PL,5,3
92,käzi,käeez,N;IN+ESS;SG,5,3
93,velli,vellet,N;NOM;PL,5,3
94,kaunehusse,kaunehuksiiz,N;IN+ESS;PL,5,3
95,daatša,daatšaa,N;PRT;SG,5,3
96,nain,naizeks,N;TRANS;SG,5,3
97,aampuussen,aampuustmeez,N;IN+ESS;SG,5,3
98,leipä,leippää,N;IN+ALL;SG,5,3
99,leipä,leivääz,N;IN+ESS;SG,5,3
100,vezi,vee'el,N;AT+ESS;SG,5,3
101,karhu,karhuloiks,N;TRANS;PL,5,3
102,aika,aijjaaz,N;IN+ESS;SG,5,3
103,olut,oluelle,N;AT+ALL;SG,5,3
104,öö,öin,N;ESS;PL,5,3
105,süän,süämelle,N;AT+ALL;SG,5,3
106,lumi,lumeel,N;AT+ESS;SG,5,3
107,olut,oluiziks,N;TRANS;PL,5,3
108,pää,pään,N;ESS;SG,5,3
109,kukka,kukkii,N;IN+ALL;PL,5,3
110,karhu,karhun,N;GEN;SG,5,3
111,käzi,käelle,N;AT+ALL;SG,5,3
112,päivä,päivält,N;AT+ABL;SG,5,3
113,lapsi,lapsiloilt,N;AT+ABL;PL,5,3
114,tähti,tähilöihe,N;IN+ALL;PL,5,3
115,daatša,daatšaa,N;IN+ALL;SG,5,3
116,aika,aijjaks,N;TRANS;SG,5,3
117,pökköiheinä,pökköiheinään,N;ESS;SG,5,3
118,kukka,kukat,N;NOM;PL,5,3
119,kevät,keväiiz,N;IN+ESS;PL,5,3
120,aampuussen,aampuustmii,N;IN+ALL;PL,5,3
121,ikä,ikkiin,N;GEN;PL,5,3
122,izä,izöist,N;IN+ABL;PL,5,3
123,öö,öitä,N;PRT;PL,5,3
124,jalka,jalkoin,N;ESS;PL,5,3
125,siar,sizarelt,N;AT+ABL;SG,5,3
126,siar,sizarelle,N;AT+ALL;SG,5,3
127,hüvä,hüvvää,ADJ;IN+ALL;SG,5,3
128,süän,süämmee,N;IN+ALL;SG,5,3
129,nain,naizeez,N;IN+ESS;SG,5,3
130,leipä,leivist,N;IN+ABL;PL,5,3
131,kaunehusse,kaunehuksia,N;PRT;PL,5,3
132,izä,izän,N;GEN;SG,5,3
133,kevät,keväeen,N;ESS;SG,5,3
134,luu,luijjen,N;GEN;PL,5,3
135,lammaz,lampahaks,N;TRANS;SG,5,3
136,kukka,kukka,N;NOM;SG,5,3
137,ikä,ikä,N;NOM;SG,5,3
138,luu,luuks,N;TRANS;SG,5,3
139,silmä,silmmää,N;PRT;SG,5,3
140,iez,ikehest,N;IN+ABL;SG,5,3
141,maa,maalt,N;AT+ABL;SG,5,3
142,käzi,kätteen,N;ESS;SG,5,3
143,iez,ikeheel,N;AT+ESS;SG,5,3
144,kevät,keväest,N;IN+ABL;SG,5,3
145,ikkuna,ikkunoiz,N;IN+ESS;PL,5,3
146,velli,vellee,N;IN+ALL;SG,5,3
147,karhu,karhuloiz,N;IN+ESS;PL,5,3
148,näkö,näölt,N;AT+ABL;SG,5,3
149,seppä,seppää,N;IN+ALL;SG,5,3
150,öö,ööhö,N;IN+ALL;SG,5,3
151,mäki,mäeel,N;AT+ESS;SG,5,3
152,süän,süämmii,N;IN+ALL;PL,5,3
153,siar,sizaresse,N;IN+ALL;SG,5,3
154,pää,päiks,N;TRANS;PL,5,3
155,juusso,juusost,N;IN+ABL;SG,5,3
156,silmä,silmält,N;AT+ABL;SG,5,3
157,meez,meehiin,N;ESS;PL,5,3
158,juusso,juussoloil,N;AT+ESS;PL,5,3
159,olut,oluisii,N;IN+ALL;PL,5,3
160,siar,sissaaren,N;GEN;SG,5,3
161,näkö,näkölöiz,N;IN+ESS;PL,5,3
162,tähti,tähen,N;GEN;SG,5,3
163,süän,süämilt,N;AT+ABL;PL,5,3
164,kuu,kuut,N;NOM;PL,5,3
165,lapsi,lapsiloiz,N;IN+ESS;PL,5,3
166,aika,aikkoin,N;GEN;PL,5,3
167,hammaz,hampahiks,N;TRANS;PL,5,3
168,kassen,kastmiiz,N;IN+ESS;PL,5,3
169,mäki,mäeks,N;TRANS;SG,5,3
170,mäki,mäkkeen,N;ESS;SG,5,3
171,juusso,juussoloin,N;GEN;PL,5,3
172,säkki,säkkiin,N;ESS;SG,5,3
173,jää,jääks,N;TRANS;SG,5,3
174,öö,öö,N;NOM;SG,5,3
175,jalka,jaloiks,N;TRANS;PL,5,3
176,voi,voille,N;AT+ALL;SG,5,3
177,käzi,käziiz,N;IN+ESS;PL,5,3
178,lupa,luvilt,N;AT+ESS;PL,5,3
179,leipä,leivälle,N;AT+ALL;SG,5,3
180,säkki,säkkiä,N;PRT;SG,5,3
181,siar,sizariil,N;AT+ESS;PL,5,3
182,kuu,kuuz,N;IN+ESS;SG,5,3
183,ikkuna,ikkunoil,N;AT+ESS;PL,5,3
184,voi,voihe,N;IN+ALL;PL,5,3
185,meez,meez,N;NOM;SG,5,3
186,meez,meest,N;PRT;SG,5,3
187,järvi,järvelle,N;AT+ALL;SG,5,3
188,kevät,keväelt,N;AT+ABL;SG,5,3
189,ikä,ikkään,N;ESS;SG,5,3
190,kevät,keväilt,N;AT+ABL;PL,5,3
191,meez,meehiin,N;GEN;PL,5,3
192,vezi,veen,N;GEN;SG,5,3
193,hammaz,hampahiin,N;ESS;PL,5,3
194,korppi,korppi,N;NOM;SG,5,3
195,päivä,päivii,N;IN+ALL;PL,5,3
196,järvi,järvest,N;IN+ABL;SG,5,3
197,kevät,kevvääet,N;NOM;PL,5,3
198,izä,issöjä,N;PRT;PL,5,3
199,tähti,tähelt,N;AT+ABL;SG,5,3
200,pää,pääl,N;AT+ESS;SG,5,3
201,maa,mailt,N;AT+ABL;PL,5,3
202,ikä,ikääl,N;AT+ESS;SG,5,3
203,lapsi,lapsiloin,N;ESS;PL,5,3
204,öö,ööl,N;AT+ESS;SG,5,3
205,vezi,vettee,N;IN+ALL;SG,5,3
206,säkki,säkin,N;GEN;SG,5,3
207,ikkuna,ikkunalt,N;AT+ABL;SG,5,3
208,lapsi,lapsee,N;IN+ALL;SG,5,3
209,luu,luuz,N;IN+ESS;SG,5,3
210,silmä,silmiil,N;AT+ESS;PL,5,3
211,kevät,keväiä,N;PRT;PL,5,3
212,kuu,kuijjen,N;GEN;PL,5,3
213,aika,aijjoil,N;AT+ESS;PL,5,3
214,korppi,korppiloilt,N;AT+ABL;PL,5,3
215,lupa,luppiin,N;TRANS;PL,5,3
216,silmä,silmmään,N;ESS;SG,5,3
217,lumi,lumet,N;NOM;PL,5,3
218,jää,jäitä,N;PRT;PL,5,3
219,siar,sizarilt,N;AT+ABL;PL,5,3
220,joki,jokiloihe,N;IN+ALL;PL,5,3
221,näkö,näön,N;GEN;SG,5,3
222,tähti,täheel,N;AT+ESS;SG,5,3
223,hammaz,hampahilt,N;AT+ABL;PL,5,3
224,luu,luulle,N;AT+ALL;SG,5,3
225,lammaz,lammaz,N;NOM;SG,5,3
226,siar,sizareez,N;IN+ESS;SG,5,3
227,öö,öiz,N;IN+ESS;PL,5,3
228,joki,jokiloiks,N;TRANS;PL,5,3
229,vezi,veelt,N;AT+ABL;SG,5,3
230,juusso,juussoloiks,N;TRANS;PL,5,3
231,ikä,ikkiiä,N;PRT;PL,5,3
232,izä,izäks,N;TRANS;SG,5,3
233,variz,variksiiz,N;IN+ESS;PL,5,3
234,lapsi,lapsiloil,N;AT+ESS;PL,5,3
235,järvi,järvilöin,N;ESS;PL,5,3
236,pää,päält,N;AT+ABL;SG,5,3
237,joki,joest,N;IN+ABL;SG,5,3
238,käzi,käelt,N;AT+ABL;SG,5,3
239,öö,öölle,N;AT+ALL;SG,5,3
240,lapsi,lapselle,N;AT+ALL;SG,5,3
241,nain,nain,N;NOM;SG,5,3
242,käzi,käzist,N;IN+ABL;PL,5,3
243,izä,izälle,N;AT+ALL;SG,5,3
244,aika,aijjoiks,N;TRANS;PL,5,3
245,voi,voihe,N;IN+ALL;SG,5,3
246,meez,meehet,N;NOM;PL,5,3
247,lammaz,lampahasse,N;IN+ALL;SG,5,3
248,aampuussen,aampuustmeen,N;ESS;SG,5,3
249,tähti,tähilöiks,N;TRANS;PL,5,3
250,hammaz,hampahalt,N;AT+ABL;SG,5,3
251,seppä,sepääl,N;AT+ESS;SG,5,3
252,leipä,leivält,N;AT+ABL;SG,5,3
253,vezi,veziil,N;AT+ESS;PL,5,3
254,maa,maast,N;IN+ABL;SG,5,3
255,kukka,kukaks,N;TRANS;SG,5,3
256,voi,voiz,N;IN+ESS;SG,5,3
257,aika,aikkaa,N;PRT;SG,5,3
258,karhu,karhuloja,N;PRT;PL,5,3
259,lapsi,lapsiloist,N;IN+ABL;PL,5,3
260,aika,aijjoille,N;AT+ALL;PL,5,3
261,jalka,jalast,N;IN+ABL;SG,5,3
262,käzi,kässiin,N;GEN;PL,5,3
263,daatša,daatšat,N;NOM;PL,5,3
264,lumi,lummee,N;IN+ALL;SG,5,3
265,voi,voita,N;PRT;PL,5,3
266,maa,maat,N;NOM;PL,5,3
267,olut,olueel,N;AT+ESS;SG,5,3
268,velli,velleel,N;AT+ESS;SG,5,3
269,aampuussen,aampuustmiks,N;TRANS;PL,5,3
270,pää,päähä,N;IN+ALL;SG,5,3
271,olut,olut,N;NOM;SG,5,3
272,juusso,juussoloihe,N;IN+ALL;PL,5,3
