,lemma,form,tags,family,language
0,iskie,olet isken,V;PRF;IND;SG;2;POS;PRS,5,4
1,loppie,et liene loppen,V;PRF;POT;SG;2;NEG;PRS,5,4
2,lekkuo,ei olis’ lekuttu,V;PRF;COND;PL;3;NEG;PST,5,4
3,otvečaija,en ole otvečainun,V;PRF;IND;SG;1;NEG;PRS,5,4
4,armaš,armahista,ADJ;IN+ABL;PL,5,4
5,kezrätä,emmä kezräis’,V;IPFV;COND;PL;1;NEG;PST,5,4
6,goreuduo,elgäh goreudukkah,V;IMP;SG;3;NEG,5,4
7,kätyt,kätkyzičči,N;PROL;PL,5,4
8,viššata,emmä ollun viššannun,V;PRF;IND;PL;1;NEG;PST,5,4
9,piettyö,ei pietyttänne,V;POT;PL;3;NEG;PRS,5,4
10,jähyttiä,elgäh jähyttäkkäh,V;IMP;SG;3;NEG,5,4
11,temmata,lienettä temmannun,V;PRF;POT;PL;2;POS;PRS,5,4
12,kezrätä,että kezriä,V;IND;PL;2;NEG;PRS,5,4
13,mureta,murennet,V;POT;SG;2;POS;PRS,5,4
14,lykkie,olima lykkin,V;PRF;IND;PL;1;POS;PST,5,4
15,madouduo,olis’ madouvuttu,V;PRF;COND;PL;3;POS;PST,5,4
16,laulaja,laulaja,N;NOM;SG,5,4
17,lykkie,ei lykitty,V;IPFV;IND;PL;3;NEG;PST,5,4
18,kobristua,en kobristanne,V;POT;SG;1;NEG;PRS,5,4
19,torguija,torguiččizima,V;IPFV;COND;PL;1;POS;PST,5,4
20,muru,muruo,N;PRT;SG,5,4
21,ihaššuttua,ihaššuttazit,V;IPFV;COND;SG;2;POS;PST,5,4
22,orla,orlalda,N;AT+ABL;SG,5,4
23,elauduo,olis’ elaudun,V;PRF;COND;SG;3;POS;PST,5,4
24,paissoš,paissokšista,N;IN+ABL;PL,5,4
25,rakovina,rakovinoitta,N;PRIV;PL,5,4
26,varuštuačie,lienettä varuštuačen,V;PRF;POT;PL;2;POS;PRS,5,4
27,levittiäčie,levittiäči,V;IPFV;IND;SG;3;POS;PST,5,4
28,banka,bankua,N;PRT;SG,5,4
29,torokkana,torokkanoilla,N;AT+ESS+ALL;PL,5,4
30,šorrella,šorrelgah,V;IMP;SG;3;POS,5,4
31,torata,ei torua,V;IND;SG;3;NEG;PRS,5,4
32,harpie,emmä harpi,V;IND;PL;1;NEG;PRS,5,4
33,šiändyö,olizin šiändyn,V;PRF;COND;SG;1;POS;PST,5,4
34,kalas’t’ua,kalasti,V;IPFV;IND;SG;3;POS;PST,5,4
35,muijota,muijottanneh,V;POT;PL;3;POS;PRS,5,4
36,lyyvä,en ollun lyönyn,V;PRF;IND;SG;1;NEG;PST,5,4
37,lebiäčie,emmä ole lebiäčen,V;PRF;IND;PL;1;NEG;PRS,5,4
38,arba,arvašša,N;IN+ESS;SG,5,4
39,stuada,stuadoissa,N;IN+ESS;PL,5,4
40,unahtuačie,en unahtuačis’,V;IPFV;COND;SG;1;NEG;PST,5,4
41,bes’ouduija,bes’ouduinnet,V;POT;SG;2;POS;PRS,5,4
42,kerda,kerrakši,N;TRANS;SG,5,4
43,carica,caricalda,N;AT+ABL;SG,5,4
44,nurmi,nurmekši,N;TRANS;SG,5,4
45,piäššä,en piäže,V;IND;SG;1;NEG;PRS,5,4
46,moda,modat,N;NOM;PL,5,4
47,zavodiečie,lienöy zavodiečen,V;PRF;POT;SG;3;POS;PRS,5,4
48,puhuo,että olis’ puhun,V;PRF;COND;PL;2;NEG;PST,5,4
49,lullu,lullučči,N;PROL;SG,5,4
50,ohotuš,ohotukših,N;IN+ALL;PL,5,4
51,lopettua,olit lopettan,V;PRF;IND;SG;2;POS;PST,5,4
52,diekkuna,diekkunoilda,N;AT+ABL;PL,5,4
53,läzeydyö,ei läzeyvyttäis’,V;IPFV;COND;PL;3;NEG;PST,5,4
54,hämmendiä,et ollun hämmendän,V;PRF;IND;SG;2;NEG;PST,5,4
55,lymmyttiä,että lymmyttäis’,V;IPFV;COND;PL;2;NEG;PST,5,4
56,palava,palavatta,ADJ;PRIV;SG,5,4
57,čola,čolilda,N;AT+ABL;PL,5,4
58,kuivata,emmä ollun kuivannun,V;PRF;IND;PL;1;NEG;PST,5,4
59,viruta,että liene virunnun,V;PRF;POT;PL;2;NEG;PRS,5,4
60,liikkuo,liiku,V;IMP;SG;2;POS,5,4
61,lymmyttiä,lymmytettänneh,V;POT;PL;3;POS;PRS,5,4
62,kauha,kauhana,N;FRML;SG,5,4
63,tiedomieš,tiedomieš,N;NOM;SG,5,4
64,käškie,että käškenne,V;POT;PL;2;NEG;PRS,5,4
65,kiččerätukka,kiččerätukissa,N;IN+ESS;PL,5,4
66,präisätä,olemma präisännyn,V;PRF;IND;PL;1;POS;PRS,5,4
67,haukkuo,olin haukkun,V;PRF;IND;SG;1;POS;PST,5,4
68,varuštuačie,et ole varuštuačen,V;PRF;IND;SG;2;NEG;PRS,5,4
69,varuštuačie,elgäh varuštuačekkah,V;IMP;PL;3;NEG,5,4
70,viššata,että ollun viššannun,V;PRF;IND;PL;2;NEG;PST,5,4
71,viruta,emmä liene virunnun,V;PRF;POT;PL;1;NEG;PRS,5,4
72,n’apšua,ei n’apšanne,V;POT;SG;3;NEG;PRS,5,4
73,kanfetka,kanfetkoičči,N;PROL;PL,5,4
74,hengittiä,oldih hengitetty,V;PRF;IND;PL;3;POS;PST,5,4
75,ristituatto,ristituatošša,N;IN+ESS;SG,5,4
76,huukkua,ei ole huukkan,V;PRF;IND;SG;3;NEG;PRS,5,4
77,šuattua,emmä šuattanne,V;POT;PL;1;NEG;PRS,5,4
78,viina,viinoin,N;INS;PL,5,4
