,lemma,form,tags,family,language
0,võțīm,võțmõdõn,N;DAT;PL,5,5
1,līdõ,līgõd,V;FIN;PL;1;POS;PRS;ACT;LGSPEC1,5,5
2,nūoŗkazām,nūoŗkazām,N;GEN;SG,5,5
3,genitīv,genitīvõn,N;DAT;SG,5,5
4,lǟdõ,algõ läkkõ,V;FIN;SG;1;NEG;PRS;ACT;LGSPEC1,5,5
5,kuolmi,kuolmižiz,ADJ;IN+ALL;PL,5,5
6,märts,märtsõks,N;INS;SG,5,5
7,prepozītsij,prepozītsijḑi,N;PRT;PL,5,5
8,vȱlda,vȯļļi,V;QUOT;FIN;SG;3;POS;PRS;ACT,5,5
9,pärsōn,pärsōnst,N;IN+ABL;SG,5,5
10,īdõkstuoistõnz,īdõkstuoistõndõst,ADJ;IN+ABL;SG,5,5
11,lǟdõ,lekš,V;FIN;IND;SG;3;POS;PST;ACT,5,5
12,detsembõr,detsembõrdõks,N;INS;PL,5,5
13,lǟdõ,lǟmõt,V;LGSPEC4,5,5
14,alīztas,alīztassõn,N;DAT;SG,5,5
15,tūontõz,tūontõndis,ADJ;IN+ESS;PL,5,5
16,värb,värbõn,N;DAT;SG,5,5
17,pärsōn,pärsōnõdõn,N;DAT;PL,5,5
18,vȱlda,ät vȯlkstõ,V;FIN;COND;PL;2;NEG;PRS;ACT,5,5
19,läpš,lapsõs,N;IN+ESS;SG,5,5
20,āigast,āigastõd,N;NOM;PL,5,5
21,seismõztuoistõnz,seismõztuoistõndõn,ADJ;DAT;SG,5,5
22,kōdõkssadāz,kōdõkssadāndõst,ADJ;IN+ABL;SG,5,5
23,tūlda,tūlda,V;INF,5,5
24,kūlõ,kūlõt,V;FIN;IND;PL;2;POS;PRS;ACT,5,5
25,pǟgiņlug,pǟgiņluggõ,N;IN+ALL;SG,5,5
26,nūoŗ,nūorsõ,ADJ;IN+ESS;SG,5,5
27,ežžõmpǟva,ežžõmpäuvõ,N;IN+ALL;SG,5,5
28,blēḑ,blēḑštõ,N;IN+ABL;SG,5,5
29,jellõ,jelājid,V;QUOT;FIN;PL;1;POS;PRS;ACT,5,5
30,analīz,analīziž,N;IN+ALL;PL,5,5
31,neļļõndpǟva,neļļõndpäuvšti,N;IN+ABL;PL,5,5
32,pǟvaīe,pǟvaīed,N;NOM;PL,5,5
33,tuoi,tuoiži,ADJ;PRT;PL,5,5
34,ūomõg,ūomõgst,N;IN+ABL;SG,5,5
35,rōntõz,rōntõ,N;GEN;SG,5,5
36,izā,izādõks,N;INS;PL,5,5
37,tūlda,tulks,V;FIN;COND;SG;1;POS;PRS;ACT,5,5
38,piņ,piņkõks,N;INS;SG,5,5
39,alli,alīžiz,ADJ;IN+ALL;PL,5,5
40,pǟ,pǟ,N;GEN;SG,5,5
41,äl,ällõ,N;PRT;SG,5,5
42,nominatīv,nominatīvõks,N;INS;SG,5,5
43,kuolmsadāz,kuolmsadāndõd,ADJ;NOM;PL,5,5
44,knaš,knašīd,ADJ;NOM;PL,5,5
45,tīepǟva,tīepǟva,N;NOM;SG,5,5
46,analīz,analīzist,N;IN+ABL;PL,5,5
47,rištīng,rištīng,N;NOM;SG,5,5
48,lǟdõ,äb lī lǟnd,V;PRF;FIN;IND;SG;1;NEG;FUT;ACT,5,5
49,seissadāz,seissadānd,ADJ;GEN;SG,5,5
50,likkõ,likkõn,V.PTCP;ACT,5,5
51,kūdtuoistõnz,kūdtuoistõndõd,ADJ;GEN;PL,5,5
52,īdõkstuoistõnz,īdõkstuoistõndõn,ADJ;DAT;SG,5,5
53,partitīv,partitīvst,N;IN+ABL;SG,5,5
54,īdõkskimdõz,īdõkskimdõndõs,ADJ;IN+ESS;SG,5,5
55,ummitsõnā,ummitsõnād,N;NOM;PL,5,5
56,kōdõkstuoistõnz,kōdõkstuoistõndõst,ADJ;IN+ABL;SG,5,5
57,ablatīv,ablatīvõks,N;INS;SG,5,5
58,tūlda,tulgõd,V;FIN;PL;3;POS;PRS;ACT;LGSPEC1,5,5
59,jellõ,algõ jelāg,V;FIN;SG;2;NEG;PRS;ACT;LGSPEC1,5,5
60,pōr,pōrõd,N;NOM;PL,5,5
61,alīz,alīzõs,N;IN+ESS;SG,5,5
62,nǟdõ,äd nǟ,V;FIN;IND;SG;2;NEG;PRS;ACT,5,5
63,pivāpǟva,pivāpäuvḑi,N;PRT;PL,5,5
64,kūdkimdõz,kūdkimdõndõst,ADJ;IN+ABL;SG,5,5
65,joutõmläpš,joutõmlaps,N;GEN;SG,5,5
66,veļ,veļīst,N;IN+ABL;PL,5,5
67,pānda,līd pand,V;PRF;FIN;IND;SG;2;POS;FUT;ACT,5,5
68,kūlõ,kūlõb,V;FIN;IND;SG;3;POS;PRS;ACT,5,5
69,ūomõg,ūomõgt,N;PRT;SG,5,5
