,lemma,form,tags,family,language
0,диаспора,диаспоратне,N;NOM;DEF;PL;LGSPEC1,5,6
1,маркетинг,маркетингснон,N;GEN;SG;PSS3P;LGSPEC1,5,6
2,удомс,удомс,V;NFIN;TR,5,6
3,панжемс,панжине,V;AC3;SG;1;TR,5,6
4,опека,опекань,N;GEN;SG;LGSPEC1,5,6
5,клуб,клубоньконь,N;GEN;SG;PSS1P;LGSPEC1,5,6
6,азондомс,азондыхть,V;PL;3;TR,5,6
7,лаборатория,лабораториятне,N;NOM;PL;PSS2S;LGSPEC1,5,6
8,маразь,маразь,N;NOM;SG,5,6
9,тела,телатнень,N;GEN;DEF;PL;LGSPEC1,5,6
10,автобиография,автобиографиязень,N;GEN;SG;PSS1S;LGSPEC1,5,6
11,шарьхкодемс,шарьхкодеть,V;SG;2;PST;TR,5,6
12,фонд,фондть,N;GEN;DEF;SG;LGSPEC1,5,6
13,фронт,фронттнень,N;GEN;PL;PSS2S;LGSPEC1,5,6
14,этнокультура,этнокультурась,N;NOM;DEF;SG;LGSPEC1,5,6
15,забота,забота,N;NOM;SG;LGSPEC1,5,6
16,сотомс,сотфт,V.PTCP;NOM;PL;PST;TR,5,6
17,оболочка,оболочканц,N;GEN;SG;PSS3S;LGSPEC1,5,6
18,дата,дататненди,N;DAT;PL;PSS2S;LGSPEC1,5,6
19,заместитель,заместителькс,N;HUM;TRANS;SG;LGSPEC1,5,6
20,командарм,командармть,N;HUM;GEN;DEF;SG;LGSPEC1,5,6
21,кемай,кемайсь,ADJ;NOM;DEF;SG,5,6
22,мялям,мялямга,N;NOM;SG;LGSPEC_AMP,5,6
23,диалект,диалектса,N;IN+ESS;SG;LGSPEC1,5,6
24,маршал,маршалхне,N;HUM;NOM;DEF;PL;LGSPEC1,5,6
25,тёждялгодомс,теждялгодсть,V;PL;3;PST;INTR,5,6
26,репетиция,репетицияса,N;IN+ESS;SG;LGSPEC1,5,6
27,потямс,потяв,V;NEG;TR;PASS,5,6
28,симомс,симондев,V;NEG;TR;PASS,5,6
29,кула,кулось,ADJ;NOM;DEF;SG,5,6
30,сурбря,сурбряса,N;IN+ESS;SG,5,6
31,венч,венчста,N;IN+ABL;SG,5,6
32,училища,училищань,N;GEN;SG;LGSPEC1,5,6
33,зал,залонза,N;NOM;PL;PSS3S;LGSPEC1,5,6
34,юниорка,юниоркатне,N;HUM;NOM;DEF;PL;LGSPEC1,5,6
35,баржа,баржать,N;GEN;DEF;SG;LGSPEC1,5,6
36,вишкомомс,вишкомсть,V;AC3;PL;2;INTR,5,6
37,главнай,главнай,ADJ;LGSPEC1,5,6
38,шувомс,шувондомс,V;NFIN;TR,5,6
39,эрь,эрьда,ADJ;ABL;SG,5,6
40,нешкопере,нешкоперезон,N;IN+ALL;SG;PSS1S,5,6
41,ёндол,ёндолда,N;ABL;SG,5,6
42,строитель,строительхненди,N;HUM;DAT;DEF;PL;LGSPEC1,5,6
43,республика,республиказонк,N;IN+ALL;SG;PSS1P;LGSPEC1,5,6
44,доказательства,доказательствада,N;ABL;SG;LGSPEC1,5,6
45,контроль,контролень,N;GEN;SG;LGSPEC1,5,6
46,урадомс,ураткшнихть,V;PL;3;INTR,5,6
47,пенгя,пенгакс,N;TRANS;SG,5,6
48,шаба,шабалень,N;HUM;SG;1;PST,5,6
49,солдат,солдатоньке,N;HUM;GEN;SG;LGSPEC_AMP;LGSPEC1,5,6
50,рисунка,рисункась,N;NOM;DEF;SG;LGSPEC1,5,6
51,тур,турхне,N;HUM;NOM;DEF;PL,5,6
52,стирь,стирезе,N;HUM;NOM;SG;PSS1S,5,6
53,конь,конезень,N;GEN;SG;PSS1S;LGSPEC1,5,6
54,крьвяземс,крьвяземань,V;AC1;SG;3;INTR,5,6
55,корреспондент,корреспондентонь,N;HUM;GEN;SG;LGSPEC1,5,6
56,рукопашнай,рукопашнай,ADJ;LGSPEC1,5,6
57,куцемс,куцендсть,V;AC3;PL;2;INTR,5,6
58,сявомс,сявондевсть,V;PL;3;PST;TR;PASS,5,6
59,тев,тевозонза,N;IN+ALL;SG;PSS3S,5,6
60,явления,явлениятне,N;NOM;DEF;PL;LGSPEC1,5,6
61,валондомс,валондовсть,V;AC3;IMP;PL;2;INTR;PASS,5,6
62,вокалист,вокалистонь,N;HUM;GEN;SG;LGSPEC1,5,6
63,сооружения,сооружениякс,N;TRANS;SG;LGSPEC1,5,6
64,сола,солальхть,ADJ;PL;3;PST,5,6
65,прилагательнай,прилагательнайхнень,N;GEN;PL;PSS1S;LGSPEC1,5,6
66,стена,стенава,N;PROL;SG;LGSPEC1,5,6
67,лицей,лицейти,N;DAT;DEF;SG;LGSPEC1,5,6
68,пяль,пялень,N;GEN;SG,5,6
69,солдат,солдаттненди,N;HUM;DAT;DEF;PL;LGSPEC1,5,6
70,ака,ака,N;HUM;NOM;SG,5,6
71,сатирик,сатирикнень,N;HUM;GEN;DEF;PL;LGSPEC1,5,6
72,нармонь,нармоттненди,N;HUM;DAT;PL;PSS2S,5,6
73,эрямс,эряде,V;PL;2;PST;INTR,5,6
74,калма,калмостост,N;IN+ABL;SG;PSS3P,5,6
75,трудендамс,трудендан,V;SG;1;INTR;LGSPEC1,5,6
76,юкстамс,юкстайне,V;AC3;SG;1;TR,5,6
77,сивомс,сивфтить,V;AC3;SG;2;CAUS,5,6
78,пирьф,пирьфу,N;AT+ALL;SG,5,6
79,режим,режим,N;NOM;SG;LGSPEC1,5,6
80,наём,наемс,N;IN+ALL;SG;LGSPEC1,5,6
81,ши,шистонк,N;IN+ABL;SG;PSS1P,5,6
