,lemma,form,tags,family,language
0,ráhkistuvvat,ráhkistuvvabeahtti,V;IND;DU;2;PRS,5,9
1,doahput,dobošit,V;COND;SG;2,5,9
2,čieskat,čisket,V;IMP;PL;2,5,9
3,ruitu,ruittut,N;NOM;PL,5,9
4,luoddut,luttuide,V;IND;DU;2;PST,5,9
5,atnit,atne,V;IND;DU;1;PRS,5,9
6,vuođgŋit,vuođŋŋášeiddet,V;COND;PL;2,5,9
7,suddit,suddi,V;IMP;DU;2,5,9
8,villat,villažeahppi,V;POT;DU;2,5,9
9,čuovggahit,čuovggaheažžat,V;POT;PL;1,5,9
10,vuoigŋat,vuoiŋŋažit,V;POT;PL;3,5,9
11,snuhrrat,snuhraidet,V;IND;PL;2;PST,5,9
12,rinčát,rinčášeigga,V;COND;DU;3,5,9
13,skuhčat,skuhčo,V;IMP;DU;3,5,9
14,goahcat,gohcet,V;IND;PL;3;PRS,5,9
15,cissat,cissaime,V;IND;DU;1;PST,5,9
16,máhccat,máhcan,V;IND;SG;1;PRS,5,9
17,báŋku,báŋkkut,N;NOM;PL,5,9
18,juhkaluvvat,juhkaluvvot,V;IMP;PL;1,5,9
19,duostil,duostiliid,ADJ;GEN;PL,5,9
20,márfut,márffošeiddet,V;COND;PL;2,5,9
21,ađahuvvat,ađahuvat,V;IND;SG;2;PRS,5,9
22,ceahkki,cehkiide,N;IN+ALL;PL,5,9
23,dárustit,dárustivččii,V;COND;SG;3,5,9
24,loahppat,loahppabehtet,V;IND;PL;2;PRS,5,9
25,gossan,gossamiid,N;GEN;PL,5,9
26,laggat,lagge,V;IND;PL;3;PST,5,9
27,ráhkistuvvat,ráhkistuvašeimmet,V;COND;PL;1,5,9
28,bindut,binddožat,V;POT;SG;2,5,9
29,spatnjat,spanjat,V;IND;SG;2;PRS,5,9
30,poasta,poasttaide,N;IN+ALL;PL,5,9
31,amas,apmasiiguin,ADJ;COM;PL,5,9
32,veaddit,vettiidet,V;IND;PL;2;PST,5,9
33,bállit,bálát,V;IND;SG;2;PRS,5,9
34,guorsat,gurse,V;IND;DU;1;PRS,5,9
35,njallat,njalažeahppi,V;POT;DU;2,5,9
36,gulcat,gulccaime,V;IND;DU;1;PST,5,9
37,basahat,basahahkii,N;IN+ALL;SG,5,9
38,reahccut,rehcošit,V;COND;SG;2,5,9
39,čulkit,čulkot,V;IMP;PL;1,5,9
40,arkeologiija,arkeologiijaide,N;IN+ALL;PL,5,9
41,suolu,sulluid,N;ACC;PL,5,9
42,duhtavaš,duhtavaččain,ADJ;PRP;PL,5,9
43,addes,addesin,ADJ;FRML;SG,5,9
44,snuđđat,snuđđet,V;IND;SG;2;PST,5,9
45,čohkkát,čohkkájit,V;IND;PL;3;PRS,5,9
46,searvat,searvvažan,V;POT;SG;1,5,9
47,gosahit,gosaheimme,V;IND;DU;1;PST,5,9
48,abstrákta,abstrávttat,ADJ;NOM;PL,5,9
49,suotna,suonaid,N;ACC;PL,5,9
50,hihttát,hihttájetne,V;IND;DU;1;PRS,5,9
51,suomastit,suomastehket,V;IMP;PL;2,5,9
52,oaggut,okkolii,V;COND;SG;3;LGSPEC1,5,9
53,skirrát,skir'rážeahppi,V;POT;DU;2,5,9
54,rančát,rančájehkos,V;IMP;SG;3,5,9
55,seabbát,seabbášeimme,V;COND;DU;1,5,9
56,gohcut,gozo,V;IMP;SG;2,5,9
57,skávgat,skávggalii,V;COND;SG;3;LGSPEC1,5,9
58,gieldit,gildoset,V;IMP;PL;3,5,9
59,biigot,biigoleidde,V;COND;DU;2;LGSPEC1,5,9
60,davrát,davráidet,V;IND;PL;2;PST,5,9
61,boaldit,bolddežeaba,V;POT;DU;3,5,9
62,nuondat,nuonddaleigga,V;COND;DU;3;LGSPEC1,5,9
63,vuoddját,vuoddjába,V;IND;DU;3;PRS,5,9
64,muitit,muitiba,V;IND;DU;3;PRS,5,9
65,buolláhit,buol'láheažžabehtet,V;POT;PL;2,5,9
66,ruššat,rušaiga,V;IND;DU;3;PST,5,9
67,baste,bastte,N;GEN;SG,5,9
68,ohcat,ozalit,V;COND;SG;2;LGSPEC1,5,9
69,hoallat,hoalažehpet,V;POT;PL;2,5,9
70,njuikut,njuikkošeimmet,V;COND;PL;1,5,9
71,gaŋkát,gaŋkášeimmet,V;COND;PL;1,5,9
72,loktat,lovttažeaba,V;POT;DU;3,5,9
73,luddat,luttažetne,V;POT;DU;1,5,9
74,ateista,ateistta,N;GEN;SG,5,9
75,čuorpmas,čuorbmasiin,N;PRP;PL,5,9
76,goikáseamos,goikásepmosiin,ADJ;PRP;PL,5,9
77,astat,aston,V;IMP;SG;1,5,9
78,buvru,buvrruid,N;ACC;PL,5,9
79,aritmetihkka,aritmetihkkii,N;IN+ALL;SG,5,9
80,cuvzat,cuvzabehtet,V;IND;PL;2;PRS,5,9
81,guoktenuppelogát,guoktenuppelogádat,ADJ;NOM;PL,5,9
82,váddut,váttošii,V;COND;SG;3,5,9
83,loaidat,loaiddažeaba,V;POT;DU;3,5,9
84,šearrát,šear'rášeidde,V;COND;DU;2,5,9
85,ruskat,ruskkaiga,V;IND;DU;3;PST,5,9
86,báidnit,báidnon,V;IMP;SG;1,5,9
87,cukcat,cuvccaleimme,V;COND;DU;1;LGSPEC1,5,9
88,gullat,gullon,V;IMP;SG;1,5,9
89,njurgut,njurgoska,V;IMP;DU;3,5,9
90,dadjat,dajažetne,V;POT;DU;1,5,9
91,loavdit,loavddáše,V;COND;PL;3,5,9
92,gollat,golalit,V;COND;SG;2;LGSPEC1,5,9
93,oađđit,ođđe,V;IND;PL;3;PST,5,9
94,ráhput,rábožat,V;POT;SG;2,5,9
95,bindut,binddošin,V;COND;SG;1,5,9
96,bohčit,bohče,V;IND;PL;3;PST,5,9
97,geahčastallat,geahčastalašii,V;COND;SG;3,5,9
98,bárdnat,bártnai,V;IND;SG;3;PST,5,9
99,buoibmat,buibmoska,V;IMP;DU;3,5,9
100,leandit,leanddášii,V;COND;SG;3,5,9
101,šiegamus,šiegamussan,ADJ;FRML;SG,5,9
102,šnjirgut,šnjirgos,V;IMP;SG;3,5,9
103,dolastaddat,dolastad,V;IMP;PL;3,5,9
104,ráhkistit,ráhkistin,V;IND;SG;1;PST,5,9
105,buddet,budde,V;IMP;SG;2,5,9
106,huhpat,huhpet,V;IND;PL;3;PRS,5,9
107,átnut,ánun,V;IND;SG;1;PRS,5,9
108,gievrrat,gievrrabuin,ADJ;PRP;PL,5,9
109,njartat,njarttale,V;COND;PL;3;LGSPEC1,5,9
110,šealgut,šelgon,V;IND;SG;1;PST,5,9
111,bámbu,bámbbut,N;NOM;PL,5,9
112,gallet,gallet,V;IND;PL;1;PRS,5,9
113,gulcat,gulccašin,V;COND;SG;1,5,9
114,huikit,huikkát,V;IND;SG;2;PRS,5,9
115,deavdit,devddiide,V;IND;DU;2;PST,5,9
116,sodnját,sodnjájehket,V;IMP;PL;2,5,9
117,russat,rusažan,V;POT;SG;1,5,9
118,máhccut,máhcožan,V;POT;SG;1,5,9
119,luohti,luđiid,N;GEN;PL,5,9
120,diehtit,diđežeahppi,V;POT;DU;2,5,9
121,skuhčat,skuža,V;IMP;SG;2,5,9
122,bibliografiija,bibliografiijii,N;IN+ALL;SG,5,9
123,bokset,boksiide,V;IND;DU;2;PST,5,9
124,bohčit,božežeaba,V;POT;DU;3,5,9
125,algŋa,algŋan,N;FRML;SG,5,9
126,bárgut,bárggožit,V;POT;PL;1,5,9
127,bahá,baháin,ADJ;COM;SG,5,9
128,geassemánnu,geassemánnun,N;FRML;SG,5,9
129,vuoššat,vuš'šet,V;IND;PL;3;PRS,5,9
130,máhttit,máhtton,V;IMP;SG;1,5,9
131,njoarostit,njoarostii,V;IND;SG;3;PST,5,9
132,addilit,addilivččiide,V;COND;DU;2,5,9
133,albmudit,albmudivččet,V;COND;SG;2,5,9
134,dállu,dálu,N;ACC;SG,5,9
135,sirgŋat,sirkŋažehpet,V;POT;PL;2,5,9
136,nuollat,nullet,V;IND;SG;2;PST,5,9
137,čahrrat,čahražan,V;POT;SG;1,5,9
138,skillat,skilažat,V;POT;SG;2,5,9
139,gaivát,gaivájehkos,V;IMP;SG;3,5,9
140,savvit,savášii,V;COND;SG;3,5,9
141,čuoldit,čuldon,V;IMP;SG;1,5,9
142,báffat,báfaiga,V;IND;DU;3;PST,5,9
143,álkit,álkibut,ADJ;NOM;PL,5,9
144,ledjon,ledjoniin,N;PRP;PL,5,9
145,cuvket,cuvkežeahppi,V;POT;DU;2,5,9
146,bivvát,biv'vášeimme,V;COND;DU;1,5,9
147,vihpat,vibašin,V;COND;SG;1,5,9
148,oahkut,ohkot,V;IND;SG;2;PST,5,9
149,suollit,sullon,V;IMP;SG;1,5,9
150,ájáhallat,ájáhalaše,V;COND;PL;3,5,9
151,cuvket,cuvkejin,V;IND;SG;1;PST,5,9
152,gártat,gárttaiga,V;IND;DU;3;PST,5,9
153,miehtat,mieđašeidde,V;COND;DU;2,5,9
154,bivvát,biv'vábehtet,V;IND;PL;2;PRS,5,9
155,máhtu,máhtu,N;NOM;SG,5,9
156,stivát,stivájehkoska,V;IMP;DU;3,5,9
157,uhkidit,uhkidehkot,V;IMP;PL;1,5,9
158,guoggát,guoggášeimmet,V;COND;PL;1,5,9
159,čuohcat,čuozašeidde,V;COND;DU;2,5,9
160,sápmelaš,sápmelaččat,N;NOM;PL,5,9
161,doarrát,doar'ráide,V;IND;DU;2;PST,5,9
162,guoddit,guottálii,V;COND;SG;3;LGSPEC1,5,9
163,roggat,rokkašeidde,V;COND;DU;2,5,9
164,beahkit,beagálii,V;COND;SG;3;LGSPEC1,5,9
165,eaidat,eidet,V;IND;SG;2;PST,5,9
166,guolbmat,guolmman,V;IND;SG;1;PRS,5,9
167,divrras,divrasiid,ADJ;GEN;PL,5,9
168,analogiija,analogiija,N;GEN;SG,5,9
169,addit,addet,V;IND;PL;3;PRS,5,9
170,suossat,suosažit,V;POT;PL;3,5,9
171,massit,massežetne,V;POT;DU;1,5,9
172,hahppit,hahpiidet,V;IND;PL;2;PST,5,9
173,botnjat,bonjaiga,V;IND;DU;3;PST,5,9
174,vardát,vardálii,V;COND;SG;3;LGSPEC1,5,9
175,juohkit,jugežehpet,V;POT;PL;2,5,9
176,čallat,čalašeidde,V;COND;DU;2,5,9
177,suola,suola,N;NOM;SG,5,9
178,reakcut,reavccut,V;IND;SG;2;PRS,5,9
179,stuorát,stuorábu,ADJ;GEN;SG,5,9
180,njartat,njartu,V;IMP;DU;1,5,9
181,bargat,barggaiga,V;IND;DU;3;PST,5,9
182,oažžut,ožžon,V;IND;SG;1;PST,5,9
183,vurket,vurkežeahppi,V;POT;DU;2,5,9
184,oažži,oččiiguin,N;COM;PL,5,9
185,suostat,susten,V;IND;SG;1;PST,5,9
186,gollat,golaše,V;COND;PL;3,5,9
187,suostat,suosttaše,V;COND;PL;3,5,9
188,čiekčat,čievččaleidde,V;COND;DU;2;LGSPEC1,5,9
