,lemma,form,tags,family,language
0,nain,naissa,N;PRT;SG,5,11
1,susi,sutaa,N;IN+ALL;SG,5,11
2,tähti,tähele,N;AT+ALL;SG,5,11
3,jõtši,jõgõll,N;AT+ESS;SG,5,11
4,võtii,võttimiina,N;ESS;PL,5,11
5,varõz,varõhsijeka,N;COM;PL,5,11
6,sõbra,sõbra,N;GEN;SG,5,11
7,maa,mailt,N;AT+ABL;PL,5,11
8,ilozuz,ilozuiz,N;IN+ESS;PL,5,11
9,juusso,juussoina,N;ESS;PL,5,11
10,õlud,õluisõ,N;IN+ALL;PL,5,11
11,velli,velleka,N;COM;SG,5,11
12,tähti,tähtiinä,N;ESS;PL,5,11
13,tütär,tüttärell,N;AT+ESS;SG,5,11
14,vesi,veessi,N;TRANS;SG,5,11
15,velli,velliinä,N;ESS;PL,5,11
16,jalka,jalgoissi,N;TRANS;PL,5,11
17,ammaz,ampaisõ,N;IN+ALL;PL,5,11
18,kõrva,kõrviz,N;IN+ESS;PL,5,11
19,mätši,mätšee,N;IN+ALL;SG,5,11
20,lahsi,lahsõna,N;ESS;SG,5,11
21,ilozuz,ilozuz,N;NOM;SG,5,11
22,mätši,mäed,N;NOM;PL,5,11
23,võtii,võttimõz,N;IN+ESS;SG,5,11
24,lammaz,lammassa,N;PRT;SG,5,11
25,susi,susiise,N;IN+ALL;PL,5,11
26,uhsi,uhsiss,N;IN+ABL;PL,5,11
27,päivä,päiviise,N;IN+ALL;PL,5,11
28,leipä,leipoika,N;COM;PL,5,11
29,lintu,lintuiisõssa,N;TERM;PL,5,11
30,sipuli,sipuliissi,N;TRANS;PL,5,11
31,ammaz,ampailõ,N;AT+ALL;PL,5,11
32,itšä,iässi,N;TRANS;SG,5,11
33,velli,vellisessa,N;TERM;PL,5,11
34,üü,üise,N;IN+ALL;PL,5,11
35,sõzar,sõsarillessa,N;TERM;PL,5,11
36,koira,koirõika,N;COM;PL,5,11
37,jää,jäänä,N;ESS;SG,5,11
38,isä,izäle,N;AT+ALL;SG,5,11
39,seppä,seppäse,N;IN+ALL;SG,5,11
40,isä,izässi,N;TRANS;SG,5,11
41,uhsi,uhsijeka,N;COM;PL,5,11
42,töö,töile,N;AT+ALL;PL,5,11
43,velli,vellissi,N;TRANS;PL,5,11
44,üü,üüssi,N;TRANS;SG,5,11
45,õlud,õlutta,N;PRT;SG,5,11
46,mätši,mätšiinä,N;ESS;PL,5,11
47,jalka,jalgaka,N;COM;SG,5,11
48,jõtši,jõgõlõssa,N;TERM;SG,5,11
49,tševäd,tševäilt,N;AT+ABL;PL,5,11
50,tšäsi,tšäenä,N;ESS;SG,5,11
51,jõtši,jõkõa,N;PRT;SG,5,11
52,võtii,võttimije,N;GEN;PL,5,11
53,vesi,vee,N;GEN;SG,5,11
54,akkuna,akkuna,N;NOM;SG,5,11
55,tširjai,tširjaimõllõ,N;AT+ALL;SG,5,11
56,isä,isije,N;GEN;PL,5,11
57,õźźa,õźďiisõ,N;IN+ALL;PL,5,11
58,tševäd,tševäise,N;IN+ALL;PL,5,11
59,tširjai,tširjaimilt,N;AT+ABL;PL,5,11
60,tähti,tähess,N;IN+ABL;SG,5,11
