Cyrillic 	Latin(2018) 	Latin(2017) 	Latin(QazAqparat) 	Latin 	Braille 	Arabic‎ 	Name_Arabic 	IPA
А а 	A a 	A a 	A a 	A a 	⠁ 	ا‎ 	Alif 	/ɑ/
Ә ә 	Á á 	Aʼ aʼ 	Ä ä 	Ä ä 	⠜ 	ٵ‎ 	Hamza + Alif 	/æ/
Б б 	B b 	B b 	B b 	B b 	⠃ 	ب‎ 	Ba 	/b/
В в 	V v 	V v 	V v 	V v 	⠺ 	ۆ‎ 	Waw with V 	/v/
Г г 	G g 	G g 	G g 	G g 	⠛ 	گ‎ 	Gaf 	/ɡ/
Ғ ғ 	Ǵ ǵ 	Gʼ gʼ 	Ğ ğ 	Gh gh 	⠻ 	غ‎ 	Ghain 	/ʁ/
Д д 	D d 	D d 	D d 	D d 	⠙ 	د‎ 	Dal 	/d/
Е е 	E e 	E e 	E e 	E e 	⠑ 	ە‎ 	Ha 	/jɪ/
Ё ё 	Io ıo 		Yo yo 	– 	⠡ 	يو‎ 	Ya + Waw 	/jo/
Ж ж 	J j 	J j 	J j 	J j 	⠚ 	ج‎ 	Jeem 	/ʑ/
З з 	Z z 	Z z 	Z z 	Z z 	⠵ 	ز‎ 	Za 	/z/
И и 	I ı 	Iʼ iʼ 	Ï ï 	Iy / iy 	⠊ 	ٸ‎ 	Hamza + Ya 	/ɪj/, /əj/
Й й 	I ı 	Iʼ iʼ 	Y y 	Y y 	⠯ 	ي‎ 	Ya 	/j/
К к 	K k 	K k 	K k 	K k 	⠅ 	ك‎ 	Kaf 	/k/
Қ қ 	Q q 	Q q 	Q q 	Q q 	⠹ 	ق‎ 	Qaf 	/q/
Л л 	L l 	L l 	L l 	L l 	⠇ 	ل‎ 	Lam 	/l/
М м 	M m 	M m 	M m 	M m 	⠍ 	م‎ 	Meem 	/m/
Н н 	N n 	N n 	N n 	N n 	⠝ 	ن‎ 	Noon 	/n/
Ң ң 	Ń ń 	Nʼ nʼ 	Ñ ñ 	Ng ng 	⠩ 	ڭ‎ 	Ng 	/ŋ/
О о 	O o 	O o 	O o 	O o 	⠕ 	و‎ 	Waw 	/wʊ/
Ө ө 	Ó ó 	Oʼ oʼ 	Ö ö 	Ö ö 	⠣ 	ٶ‎ 	Hamza + Waw 	/wʏ/
П п 	P p 	P p 	P p 	P p 	⠏ 	پ‎ 	Pa 	/p/
Р р 	R r 	R r 	R r 	R r 	⠗ 	ر‎ 	Ra 	/ɾ/
С с 	S s 	S s 	S s 	S s 	⠎ 	س‎ 	Seen 	/s/
Т т 	T t 	T t 	T t 	T t 	⠞ 	ت‎ 	Ta 	/t/
У у 	Ý ý 	Yʼ yʼ 	W w 	Uw uw 	⠥ 	ۋ‎ 	Waw with 3 dots 	/w/, /ʊw/, /ʏw/
Ұ ұ 	U u 	U u 	U u 	U u 	⠌ 	ۇ‎ 	Waw with damma 	/ʊ/
Ү ү 	Ú ú 	Uʼ uʼ 	Ü ü 	Ü ü 	⠬ 	ٷ‎ 	Hamza + Waw with damma 	/ʏ/
Ф ф 	F f 	F f 	F f 	F f 	⠋ 	ف‎ 	Fa 	/f/
Х х 	H h 	H h 	X x 	H h 	⠓ 	ح‎ 	Ḥa 	/q/, /χ/
Һ һ 	H h 	H h 	H h 	– 	⠧ 	ھ‎ 	Initial Ha 	/h/
Ц ц 	S s 		C c 	– 	⠉ 	تس‎ 	Ta + Seen 	/ts/
Ч ч 	Ch ch 	Cʼ cʼ 	Ç ç 	Ć ć (in case of need) 	⠟ 	چ‎ 	Cheem/Che 	/tɕ/
Ш ш 	Sh sh 	Sʼ sʼ 	Ş ş 	C c 	⠱ 	ش‎ 	Sheen 	/ɕ/
Щ щ 	Sh sh 		Şş şş 	C c (allophone of C) 	⠭ 	شش‎ 	Sheen + Sheen 	/ɕtɕ/
Ъ ъ 			(ʺ) 	– 	⠷ 	-- 	-- 	--
Ы ы 	Y y 	Y y 	I ı 	Eu eu 	⠮ 	ى‎ 	Alif maqṣūrah 	/ə/
І і 	I i 	I i 	İ i 	İ i 	⠽ 	ٸ‎ 	Hamza + Alif maqṣūrah 	/ɪ/
Ь ь 			(ʹ) 	– 	⠾ 	-- 	-- 	--
Э э 	E e 		É é 	– 	⠪ 	ە‎ 	Ha 	/ɛ/
Ю ю 	Iý ıý 		Yw yw 	Yuw/yüw/yıw/yiw 	⠳ 	يۋ‎ 	Ya + Waw with 3 dots 	/jʉw/, /jʊw/
Я я 	Ia ıa 		Ya ya 	Ya/ye/yä 	⠫ 	يا‎ 	Ya + Alif 	/jɑ, jæ/
